time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 10:26:00,Netflix's 10-For-1 Stock Split Takes Effect: Hold for Now or Fold?  ( Revised ) ,0.302973,Somewhat-Bullish,AAPL
2025-11-21 10:18:38,"OpenAI Teams Up With Foxconn To Design And Manufacture AI Hardware In The US - Apple  ( NASDAQ:AAPL ) , Advanced Micro Devices  ( NASDAQ:AMD ) ",0.222398,Somewhat-Bullish,AAPL
2025-11-21 10:00:00,Warren Buffett Is Selling Apple and Buying This Brilliant Growth Stock Instead,0.175237,Somewhat-Bullish,AAPL
2025-11-21 01:00:07,Vanguard S&P 500 ETF Offers Lower Costs Than SPDR SPY -- But Should You Care?,0.094743,Neutral,AAPL
2025-11-20 15:47:11,"Warren Buffett, Marjorie Taylor Greene Bet On The Same 9 Stocks - Here's What They Know - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ",0.216078,Somewhat-Bullish,AAPL
2025-11-20 15:25:04,"How To Trade SPY, Top Tech Stocks Using Technical Analysis - Alphabet  ( NASDAQ:GOOGL ) , Apple  ( NASDAQ:AAPL ) ",0.079854,Neutral,AAPL
2025-11-20 15:00:42,"Insights Into Apple's Performance Versus Peers In Technology Hardware, Storage & Peripherals Sector - Apple  ( NASDAQ:AAPL ) ",0.246977,Somewhat-Bullish,AAPL
2025-11-20 15:00:14,"Louisiana Rep. Cleo Fields Bought Over $216K Worth of Netflix Stock: Here's What You Should Know - Netflix  ( NASDAQ:NFLX ) , Apple  ( NASDAQ:AAPL ) ",0.124704,Neutral,AAPL
2025-11-20 13:06:27,"Trump Administration Mulls Delaying Semiconductor Tariffs To Avoid China Clash: Report - Apple  ( NASDAQ:AAPL ) ,  ( HXSCL ) ",-0.081792,Neutral,AAPL
2025-11-20 11:20:02,Should Invesco Russell 1000 Dynamic Multifactor ETF  ( OMFL )  Be on Your Investing Radar?,0.308209,Somewhat-Bullish,AAPL
2025-11-20 11:20:02,Is FlexShares Quality Dividend ETF  ( QDF )  a Strong ETF Right Now?,0.222296,Somewhat-Bullish,AAPL
2025-11-20 11:02:00,Netflix vs. Apple: Which Stock Should You Buy Now?,0.281,Somewhat-Bullish,AAPL
2025-11-20 10:19:58,What's Going On With Taiwan Semiconductor Stock Wednesday? - Taiwan Semiconductor  ( NYSE:TSM ) ,0.223823,Somewhat-Bullish,AAPL
2025-11-20 09:26:00,"23.4% of Warren Buffett's $309 Billion Portfolio Is Invested in 3 ""Magnificent Seven"" Stocks",0.236331,Somewhat-Bullish,AAPL
2025-11-20 09:05:00,Will Berkshire Hathaway Still Be a Good Buy After Warren Buffett Departs as CEO?,0.186872,Somewhat-Bullish,AAPL
2025-11-20 04:21:00,Bitget Shatters New Milestone with $5B in Stock Futures Cumulative Trading Volume,0.249694,Somewhat-Bullish,AAPL
2025-11-20 01:26:11,"Crypto, tech stocks climb on Nvidia's blowout Q3 earnings",0.095169,Neutral,AAPL
2025-11-19 23:45:06,Two Paths to the Total US Market: Vanguard's Total Stock Market ETF vs. iShares' Core S&P Total US Stock Market ETF,0.18231,Somewhat-Bullish,AAPL
