time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 11:25:00,3 Healthcare Mutual Funds Standing Out Amid Mixed Labor Data,0.230064,Somewhat-Bullish,ABBV
2025-11-20 18:01:20,Unpacking the Latest Options Trading Trends in AbbVie - AbbVie  ( NYSE:ABBV ) ,0.144644,Neutral,ABBV
2025-11-20 16:30:00,VKTX Completes Enrollment in First Late-Stage Study on Obesity Drug,0.124211,Neutral,ABBV
2025-11-20 12:05:00,Beyond GLP-1: Eli Lilly's Expanding Drug Portfolio Lifts Sales,0.208517,Somewhat-Bullish,ABBV
2025-11-19 22:31:07,"If You Invested $100 In AbbVie Stock 10 Years Ago, You Would Have This Much Today - AbbVie  ( NYSE:ABBV ) ",0.158543,Somewhat-Bullish,ABBV
2025-11-19 17:24:46,Why Johnson & Johnson's Share Price Is Popping This Month,0.01457,Neutral,ABBV
2025-11-19 14:08:00,"AbbVie Stock Rebounds After Q3 Dip: Time to Buy, Hold or Sell?",0.188001,Somewhat-Bullish,ABBV
2025-11-19 14:00:02,AbbVie Inc.  ( ABBV )  Is a Trending Stock: Facts to Know Before Betting on It,0.225879,Somewhat-Bullish,ABBV
2025-11-19 06:00:00,European Commission approves Roche's Lunsumio subcutaneous for relapsed or refractory follicular lymphoma,0.202345,Somewhat-Bullish,ABBV
2025-11-18 15:59:00,Pfizer Trading Above 50-Day SMA: Is it a Good Time to Buy the Stock?,0.182798,Somewhat-Bullish,ABBV
2025-11-18 14:37:00,Here's How Neuroscience Drugs Aided AbbVie's Top-line Growth in Q3,0.247199,Somewhat-Bullish,ABBV
2025-11-18 14:23:00,"2 Vanguard ETFs to Buy With $1,000 and Hold Forever",0.167134,Somewhat-Bullish,ABBV
2025-11-17 21:00:53,A Look Into AbbVie Inc's Price Over Earnings - AbbVie  ( NYSE:ABBV ) ,-0.042513,Neutral,ABBV
2025-11-17 14:52:45,Nvidia and 19 Other Stocks Now Make Up 50% of the S&P 500. Here's What It Means for Your Investment Portfolio.,0.18357,Somewhat-Bullish,ABBV
2025-11-17 12:17:00,AbbVie Stock Falls 4% -- What Investors Need to Know,0.277149,Somewhat-Bullish,ABBV
2025-11-17 10:25:00,"This Sector Is Suddenly Crushing the Broader Market. Should You Invest $1,000?",0.215176,Somewhat-Bullish,ABBV
2025-11-17 06:52:24,James M. O'Brien Appointed Chief Financial Officer at Mesoblast - Mesoblast  ( NASDAQ:MESO ) ,0.050313,Neutral,ABBV
2025-11-17 06:52:00,James M. O'Brien Appointed Chief Financial Officer at Mesoblast,0.124231,Neutral,ABBV
2025-11-16 18:11:23,The Schwab U.S. Dividend Equity ETF  ( SCHD )  Offers a Higher Yield and Lower Cost Than the iShares Core High Dividend ETF  ( HDV ) ,0.186464,Somewhat-Bullish,ABBV
2025-11-16 09:23:00,These 2 Dividend ETFs Are a Retiree's Best Friend,0.223536,Somewhat-Bullish,ABBV
2025-11-15 12:25:00,Want Decades of Passive Income? 3 Stocks to Buy Now and Hold Forever.,0.389151,Bullish,ABBV
2025-11-14 17:30:00,AbbVie Partners with Award-Winning Filmmaker on Film About the Dynamic and Resilient Lives of Those Living with Blood Cancer - AbbVie  ( NYSE:ABBV ) ,0.256506,Somewhat-Bullish,ABBV
2025-11-14 13:53:00,Can Lilly's Next-Gen Obesity Drugs Help Sustain Its Market Dominance?,0.085105,Neutral,ABBV
2025-11-14 12:59:00,Pharma ETFs in Spotlight Following Robust Q3 Earnings Results,0.176987,Somewhat-Bullish,ABBV
2025-11-13 15:36:00,"IRWD Rises 110% in a Month: Should You Buy, Sell or Hold the Stock?",0.247116,Somewhat-Bullish,ABBV
2025-11-13 14:21:00,"Stock Market News for Nov 13, 2025",0.145785,Neutral,ABBV
2025-11-13 13:07:00,Shine a Light on Healthcare ETFs Amid National Alzheimer's Awareness Month,0.30221,Somewhat-Bullish,ABBV
2025-11-13 12:30:00,Xilio Therapeutics Announces Pipeline and Business Updates and Third Quarter 2025 Financial Results,0.164603,Somewhat-Bullish,ABBV
