time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 11:25:00,3 Healthcare Mutual Funds Standing Out Amid Mixed Labor Data,0.230064,Somewhat-Bullish,AMGN
2025-11-20 17:53:24,"FDA Signs Off On Bayer's New Lung Cancer Drug - Early Results Look Promising - Bayer  ( OTC:BAYRY ) , Amgen  ( NASDAQ:AMGN ) ",0.012057,Neutral,AMGN
2025-11-18 17:01:24,Check Out What Whales Are Doing With AMGN - Amgen  ( NASDAQ:AMGN ) ,0.120963,Neutral,AMGN
2025-11-17 15:24:00,NVO Down 10% in 3 Months: Is This an Indication to Sell the Stock?,0.160894,Somewhat-Bullish,AMGN
2025-11-17 10:25:00,"This Sector Is Suddenly Crushing the Broader Market. Should You Invest $1,000?",0.215176,Somewhat-Bullish,AMGN
2025-11-16 18:11:23,The Schwab U.S. Dividend Equity ETF  ( SCHD )  Offers a Higher Yield and Lower Cost Than the iShares Core High Dividend ETF  ( HDV ) ,0.186464,Somewhat-Bullish,AMGN
2025-11-14 15:03:07,Amgen EVP Sold $2.32M In Company Stock - Amgen  ( NASDAQ:AMGN ) ,0.205614,Somewhat-Bullish,AMGN
2025-11-14 15:03:02,Sell Alert: Rachna Khosla Cashes Out $299K In Amgen Stock - Amgen  ( NASDAQ:AMGN ) ,0.226597,Somewhat-Bullish,AMGN
2025-11-14 13:53:00,Can Lilly's Next-Gen Obesity Drugs Help Sustain Its Market Dominance?,0.085105,Neutral,AMGN
2025-11-13 22:36:27,Why Amgen Stock Edged Past the Market on Thursday,0.231322,Somewhat-Bullish,AMGN
2025-11-13 15:07:00,2 Supercharged Dividend Stocks to Buy Now,0.342582,Somewhat-Bullish,AMGN
2025-11-13 15:02:25,A Closer Look at Amgen's Options Market Dynamics - Amgen  ( NASDAQ:AMGN ) ,0.141834,Neutral,AMGN
2025-11-13 09:08:00,"Is the Schwab U.S. Dividend Equity ETF the ""Ultimate Retirement Fund"" for Investors?",0.212133,Somewhat-Bullish,AMGN
2025-11-12 21:40:00,Alvotech Reports Results for the First Nine Months of 2025 and Provides a Business Update,0.21551,Somewhat-Bullish,AMGN
2025-11-12 21:40:00,Alvotech Reports Results for the First Nine Months of 2025 and Provides a Business Update,0.215507,Somewhat-Bullish,AMGN
2025-11-11 22:31:40,Why Amgen Stock Was a Nearly 5% Winner Today,0.317662,Somewhat-Bullish,AMGN
2025-11-11 15:50:08,Three Healthcare Buys That Wall Street Loves,0.305125,Somewhat-Bullish,AMGN
2025-11-11 14:00:02,Amgen Inc.  ( AMGN )  Is a Trending Stock: Facts to Know Before Betting on It,0.221963,Somewhat-Bullish,AMGN
2025-11-10 13:22:00,"Beat the Market the Zacks Way: Amgen, Ciena, Fair Isaac in Focus",0.197772,Somewhat-Bullish,AMGN
2025-11-08 13:31:00,Is the Schwab U.S. Dividend Equity ETF a Buy Now?,0.270863,Somewhat-Bullish,AMGN
2025-11-06 15:41:44,Amgen: Will Stock Reverse Again? A Technical Analysis - Amgen  ( NASDAQ:AMGN ) ,-0.051165,Neutral,AMGN
2025-11-06 09:56:00,"Company News for Nov 6, 2025",0.362338,Bullish,AMGN
2025-11-05 19:26:11,Why Amgen Stock Was Crushing It on Wednesday,0.403213,Bullish,AMGN
2025-11-05 16:37:00,"Amgen's Q3 Earnings & Sales Beat, 2025 Outlook Raised, Stock Up",0.155886,Somewhat-Bullish,AMGN
2025-11-04 23:13:00,"Markets Stay Lower on Valuation Questions: AI, etc.",0.176497,Somewhat-Bullish,AMGN
2025-11-04 22:15:02,Amgen  ( AMGN )  Q3 Earnings and Revenues Beat Estimates,0.150687,Somewhat-Bullish,AMGN
2025-11-04 14:10:01,3 Top Dividend Stocks to Maximize Your Retirement Income,0.249267,Somewhat-Bullish,AMGN
2025-11-03 23:17:00,Does the Market Have Bad Breadth?,0.091016,Neutral,AMGN
2025-11-03 16:41:00,Novo Nordisk Before Q3 Earnings: How Should Investors Play the Stock?,0.135891,Neutral,AMGN
2025-11-02 15:13:00,You Won't Believe What Elon Musk Just Said About Quantum Computing  ( Spoiler Alert: It's Good News ) ,0.270259,Somewhat-Bullish,AMGN
2025-10-31 14:51:00,Demographic Megatrend: Stocks Poised to Benefit From Global Aging,0.292676,Somewhat-Bullish,AMGN
