time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 13:39:18,"Wall Street Fund Managers Raise Red Flag For The First Time In 20 Years, Warn Companies Are Overspending - What's Going On? - Alphabet  ( NASDAQ:GOOGL ) , Amazon.com  ( NASDAQ:AMZN ) ",-0.033735,Neutral,AMZN
2025-11-21 13:04:49,"Nvidia CEO Jensen Huang Slams Market's Lacklustre Reaction To Blowout Quarter As AI Jitters Hit Stock: Report - Meta Platforms  ( NASDAQ:META ) , Amazon.com  ( NASDAQ:AMZN ) ",0.122675,Neutral,AMZN
2025-11-21 12:32:00,Meet The Newest Artificial Intelligence  ( AI )  Stock That Billionaire Stanley Druckenmiller Just Bought in His Duquesne Family Office,0.211992,Somewhat-Bullish,AMZN
2025-11-21 10:26:00,Netflix's 10-For-1 Stock Split Takes Effect: Hold for Now or Fold?  ( Revised ) ,0.302973,Somewhat-Bullish,AMZN
2025-11-21 09:32:00,Here's 1 Number From Nvidia That You Shouldn't Ignore. It Says Something Momentous About the AI Giant's Growth.,0.286251,Somewhat-Bullish,AMZN
2025-11-21 08:59:00,"'Why Are Stocks Falling?': Top Analyst Issues Bombshell Warning As Volatility Hits Wall Street - Alphabet  ( NASDAQ:GOOG ) , Amazon.com  ( NASDAQ:AMZN ) ",0.026598,Neutral,AMZN
2025-11-21 08:51:00,"Institutional Investors Piled Into IonQ, Rigetti Computing, D-Wave Quantum, and Quantum Computing Inc. Stocks -- and They'll Likely Regret It",0.193169,Somewhat-Bullish,AMZN
2025-11-20 17:43:59,Why Astera Labs Stock Rocketed Higher Today,0.337782,Somewhat-Bullish,AMZN
2025-11-20 17:01:10,"Investors Are Debating Which Companies Won't Survive The Next 10 Years. 'Every Time I Go, There's Almost Nobody In The Store' - Cracker Barrel Old  ( NASDAQ:CBRL ) , Amazon.com  ( NASDAQ:AMZN ) ",-0.038335,Neutral,AMZN
2025-11-20 15:47:11,"Warren Buffett, Marjorie Taylor Greene Bet On The Same 9 Stocks - Here's What They Know - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ",0.216078,Somewhat-Bullish,AMZN
2025-11-20 15:32:00,Here's How Chewy's Autoship Is Powering a New Phase of Growth,0.304019,Somewhat-Bullish,AMZN
2025-11-20 15:00:51,Understanding Amazon.com's Position In Broadline Retail Industry Compared To Competitors - Amazon.com  ( NASDAQ:AMZN ) ,0.282448,Somewhat-Bullish,AMZN
2025-11-20 14:55:02,Here's Why Amazon  ( AMZN )  Looks Ripe for Bottom Fishing,0.184521,Somewhat-Bullish,AMZN
2025-11-20 14:17:00,Data Center Spending to Hit $580B: Buy 3 ETFs to Ride the AI Boom,0.156289,Somewhat-Bullish,AMZN
2025-11-20 12:14:01,What's Going On With Nvidia Stock Thursday? - NVIDIA  ( NASDAQ:NVDA ) ,0.240253,Somewhat-Bullish,AMZN
2025-11-20 11:45:00,3 No-Brainer AI Stocks to Buy Right Now,0.109031,Neutral,AMZN
2025-11-20 10:41:00,3 Incredible Growth Stocks to Buy Right Now,0.304914,Somewhat-Bullish,AMZN
2025-11-20 10:00:00,The Best Stocks to Buy With $500 Right Now,0.198481,Somewhat-Bullish,AMZN
2025-11-20 09:44:00,Where Will IonQ Be in 10 Years?,0.192491,Somewhat-Bullish,AMZN
2025-11-20 09:26:00,"23.4% of Warren Buffett's $309 Billion Portfolio Is Invested in 3 ""Magnificent Seven"" Stocks",0.236331,Somewhat-Bullish,AMZN
2025-11-20 09:12:00,"2 Brilliant Stocks to Buy With $110 Before They Soar Up to 300%, According to Wall Street Analysts",0.365931,Bullish,AMZN
2025-11-20 09:00:00,Bull of the Day: Amphenol  ( APH ) ,0.245018,Somewhat-Bullish,AMZN
2025-11-20 08:58:00,"Zacks Earnings Trends Highlights: Target, Home Depot and Amazon",-0.009527,Neutral,AMZN
2025-11-20 08:45:00,Warren Buffett Has a New Favorite Quantum Computing Stock.  ( Hint: It's Not D-Wave or IonQ. ) ,0.185703,Somewhat-Bullish,AMZN
2025-11-20 06:11:20,Amazon Is Sending Automatic Refunds To Millions After Record $2.5 Billion FTC Settlement: Here's What You Must Do To Claim Yours - Amazon.com  ( NASDAQ:AMZN ) ,0.04355,Neutral,AMZN
2025-11-20 01:26:11,"Crypto, tech stocks climb on Nvidia's blowout Q3 earnings",0.095169,Neutral,AMZN
2025-11-20 01:00:00,"The 4 Smartest Quantum Computing Stocks to Buy for $1,000  ( Hint: IonQ, Rigetti Computing, and D-Wave Quantum Didn't Make the Cut ) ",0.339361,Somewhat-Bullish,AMZN
2025-11-20 00:40:00,Q3 Earnings Season: Retail Sector in Focus,-0.014221,Neutral,AMZN
2025-11-20 00:34:00,Q3 Earnings Season: Retail Sector in Focus,-0.014221,Neutral,AMZN
2025-11-19 21:35:01,Why Semrush Stock Skyrocketed Today,0.308407,Somewhat-Bullish,AMZN
2025-11-19 16:26:00,BOOT's Omnichannel Strength: Is AI the New Profit Driver?,0.408224,Bullish,AMZN
2025-11-19 15:34:52,"Katamaran Capital Loads Up on Tower Semiconductor Stock, Buying 74,000 Shares",0.135577,Neutral,AMZN
2025-11-19 15:19:00,MongoDB Surges 59% in Three Months: Is the Stock Still Worth Buying?,0.214355,Somewhat-Bullish,AMZN
2025-11-19 15:00:49,Analyzing Amazon.com In Comparison To Competitors In Broadline Retail Industry - Amazon.com  ( NASDAQ:AMZN ) ,0.298929,Somewhat-Bullish,AMZN
2025-11-19 14:01:00,Amazon Just Sold Shares of 2 of the Hottest Stocks in Quantum Computing and Artificial Intelligence  ( AI ) ,0.206589,Somewhat-Bullish,AMZN
2025-11-19 13:18:17,"Amazon's Slow March Forward May Get A Political Boost, Drawing Attention Toward Direxion's AMZU, AMZD ETFs - Direxion Daily AMZN Bear 1X Shares  ( NASDAQ:AMZD ) , Direxion Daily AMZN Bull 2X Shares  ( NASDAQ:AMZU ) ",0.004859,Neutral,AMZN
2025-11-19 13:18:00,MercadoLibre vs Amazon: Which E-Commerce Giant Stock Has More Upside?,0.302883,Somewhat-Bullish,AMZN
2025-11-19 12:05:00,Every Amazon  ( AMZN )  Investor Should Keep an Eye on This Number,0.22968,Somewhat-Bullish,AMZN
2025-11-19 11:20:00,Why It's Great News For Nvidia Stock That Jeff Bezos Will Co-Lead the New AI Start-Up Project Prometheus,0.20767,Somewhat-Bullish,AMZN
2025-11-19 11:00:00,3 Growth Stocks to Buy and Hold Forever,0.228467,Somewhat-Bullish,AMZN
2025-11-19 10:22:00,"Why Rigetti's Revenue Miss Doesn't Matter, and the $600 Million Cash Pile Does",0.055603,Neutral,AMZN
2025-11-19 09:31:48,"China Secretly Funnels Over $200 Billion Into Nearly 2,500 US Projects Despite Trump, Biden Crackdown - Amazon.com  ( NASDAQ:AMZN ) , Boeing  ( NYSE:BA ) ",0.097955,Neutral,AMZN
2025-11-19 08:47:00,"The Zacks Analyst Blog Highlights Microsoft, Amazon.com and Eli Lilly",0.235563,Somewhat-Bullish,AMZN
2025-11-19 01:22:36,"NVDA, HD, NET, PLUG, AMZN: 5 Trending Stocks Today - NVIDIA  ( NASDAQ:NVDA ) ",-0.072402,Neutral,AMZN
2025-11-19 01:15:00,Will Nvidia Soar After Nov. 19? History Offers a Strikingly Clear Answer.,0.240859,Somewhat-Bullish,AMZN
2025-11-19 01:02:00,3 Stocks That Could Create Lasting Generational Wealth,0.19182,Somewhat-Bullish,AMZN
2025-11-18 23:47:28,Why Amazon Stock Plummeted Today,-0.077338,Neutral,AMZN
2025-11-18 23:34:00,Netflix Stock Price Lowers After 10-for-1 Split: Hold or Fold Now?  ( revised ) ,0.316187,Somewhat-Bullish,AMZN
2025-11-18 21:12:00,"Top Research Reports for Microsoft, Amazon.com & Eli Lilly",0.276104,Somewhat-Bullish,AMZN
2025-11-18 20:48:28,Amazon Stock Slides Following Rothschild & Co Downgrade - Amazon.com  ( NASDAQ:AMZN ) ,-0.10321,Neutral,AMZN
