time_published,title,sentiment_score,sentiment_label,ticker
2025-11-19 16:06:00,Is Caterpillar Set to Transform On-Site Energy for Data Centers?,0.350814,Bullish,CAT
2025-11-19 11:20:02,Should First Trust Value Line Dividend ETF  ( FVD )  Be on Your Investing Radar?,0.236896,Somewhat-Bullish,CAT
2025-11-18 14:42:11,"What's Going On With Caterpillar Stock Tuesday? - Caterpillar  ( NYSE:CAT ) , Vertiv Holdings  ( NYSE:VRT ) ",0.436047,Bullish,CAT
2025-11-18 11:51:00,"Vertiv and Caterpillar Announce Energy Optimization Collaboration to Expand End-to-End Power and Cooling Offerings for AI Data Centers - Caterpillar  ( NYSE:CAT ) , Vertiv Holdings  ( NYSE:VRT ) ",0.322763,Somewhat-Bullish,CAT
2025-11-18 08:55:27,Microsoft No Longer Top 3 Holding After Gates Foundation Sells 17 Million Shares - Microsoft  ( NASDAQ:MSFT ) ,0.238833,Somewhat-Bullish,CAT
2025-11-17 14:00:04,Caterpillar Inc.  ( CAT )  is Attracting Investor Attention: Here is What You Should Know,0.226154,Somewhat-Bullish,CAT
2025-11-17 13:40:00,"Take the Zacks Approach to Beat the Markets: Macy's, United Natural Foods & Monster Beverage in Focus",0.194098,Somewhat-Bullish,CAT
2025-11-17 13:00:34,How Do Investors Really Feel About Caterpillar Inc? - Caterpillar  ( NYSE:CAT ) ,0.250562,Somewhat-Bullish,CAT
2025-11-14 11:27:00,Caterpillar's Volume Momentum is Building: Can the Recovery Last?,0.142479,Neutral,CAT
2025-11-14 00:04:00,Like Dividends? 3 Dividend Aristocrats Worth a Look,0.330275,Somewhat-Bullish,CAT
2025-11-12 23:45:31,Here's How Much $100 Invested In Caterpillar 10 Years Ago Would Be Worth Today - Caterpillar  ( NYSE:CAT ) ,0.158543,Somewhat-Bullish,CAT
2025-11-12 22:15:00,Montage Gold Reports on its Q3-2025 Activities - Montage Gold  ( OTC:MAUTF ) ,0.15215,Somewhat-Bullish,CAT
2025-11-12 22:15:00,Montage Gold Reports on its Q3-2025 Activities,0.156799,Somewhat-Bullish,CAT
2025-11-10 18:02:55,Spotlight on Caterpillar: Analyzing the Surge in Options Activity - Caterpillar  ( NYSE:CAT ) ,0.177751,Somewhat-Bullish,CAT
2025-11-10 13:55:02,Why Investors Need to Take Advantage of These 2 Industrial Products Stocks Now,0.399612,Bullish,CAT
2025-11-10 11:20:03,Is ProShares S&P 500 Dividend Aristocrats ETF  ( NOBL )  a Strong ETF Right Now?,0.327977,Somewhat-Bullish,CAT
2025-11-10 06:54:00,"The Zacks Analyst Blog Caterpillar, Komatsu and Terex",0.247282,Somewhat-Bullish,CAT
2025-11-09 23:09:04,Vanguard VYM Offers Broader Diversification Than NOBL,0.066684,Neutral,CAT
2025-11-07 18:10:00,"Should You Buy, Sell or Hold Caterpillar Stock Post Q3 Earnings?",0.238776,Somewhat-Bullish,CAT
2025-11-07 15:03:00,"William E Schaupp Takes Money Off The Table, Sells $686K In Caterpillar Stock - Caterpillar  ( NYSE:CAT ) ",0.30756,Somewhat-Bullish,CAT
2025-11-07 15:02:54,170K Reasons To Be Bullish On Caterpillar Stock - Caterpillar  ( NYSE:CAT ) ,0.369347,Bullish,CAT
2025-11-07 01:30:00,Seeking Paydays? 3 Dividend Aristocrats Worth a Look,0.199924,Somewhat-Bullish,CAT
2025-11-05 13:20:00,Why Caterpillar Stock Surged 21% in October,0.233286,Somewhat-Bullish,CAT
2025-11-04 16:45:50,Here's How Much $1000 Invested In Caterpillar 10 Years Ago Would Be Worth Today - Caterpillar  ( NYSE:CAT ) ,0.158543,Somewhat-Bullish,CAT
2025-11-04 14:00:05,Caterpillar Inc.  ( CAT )  Is a Trending Stock: Facts to Know Before Betting on It,0.234868,Somewhat-Bullish,CAT
2025-11-01 17:05:00,"Prediction: After Gaining Just 19% in 5 years, This Dividend King Will Beat the S&P 500 Through 2030",0.281463,Somewhat-Bullish,CAT
2025-10-30 18:00:26,Caterpillar's Next Big Move Has Nothing To Do With Bulldozers - Caterpillar  ( NYSE:CAT ) ,0.284427,Somewhat-Bullish,CAT
