time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 14:00:00,Lexar Celebrates the Holiday Season with Black Friday Savings on Incredible Gear,0.393536,Bullish,COST
2025-11-21 12:25:00,WMT Stock Up 6.5% on Solid Q3 & Upbeat View: Time to Buy or Hold?,0.492901,Bullish,COST
2025-11-21 09:11:00,Costco Stock Has Had a Tough Year. Time to Buy?,0.328252,Somewhat-Bullish,COST
2025-11-21 05:26:01,Should Investors Sell Simply Good Foods After McCollum Christoferson Liquidated its Position in the Stock?,0.113269,Neutral,COST
2025-11-20 23:31:15,"They Followed Every Piece Of Advice, But Still Can't Get Their Grocery Bill Below $900. 'How Do People Only Spend $600?'",-0.009549,Neutral,COST
2025-11-20 14:30:36,"If You Invested $100 In Costco Wholesale Stock 20 Years Ago, You Would Have This Much Today - Costco Wholesale  ( NASDAQ:COST ) ",0.158543,Somewhat-Bullish,COST
2025-11-20 12:26:08,Costco Shares Close Higher After Key Trading Signal - Costco Wholesale  ( NASDAQ:COST ) ,0.373259,Bullish,COST
2025-11-19 18:31:11,Regular Walmart Shopper Shocked By 'Suddenly Outrageous' Prices Wonders If They're Price Gouging Because Of Tariffs Or A Looming Recession - Walmart  ( NYSE:WMT ) ,-0.064939,Neutral,COST
2025-11-19 17:30:38,Wealth Firm Dumps $8.5 Million in Newell Brands as Stock Drops 63% in One Year,0.228991,Somewhat-Bullish,COST
2025-11-19 16:19:07,"H-E-B Adds Food Earth to Its Aisle, Bringing Indian Flavors to Texas",0.372333,Bullish,COST
2025-11-19 15:02:52,This Is What Whales Are Betting On Costco Wholesale - Costco Wholesale  ( NASDAQ:COST ) ,0.184748,Somewhat-Bullish,COST
2025-11-19 14:15:00,Don't Give Up on Dividend Stocks. 5 Dividend Kings Down Between 5% and 33% to Buy in November,0.264236,Somewhat-Bullish,COST
2025-11-19 13:30:00,ASUS Launches Exclusive Early Black Friday Offers,0.381807,Bullish,COST
2025-11-19 13:30:00,ASUS Launches Exclusive Early Black Friday Offers,0.383701,Bullish,COST
2025-11-19 13:00:00,NEXE Innovations Inc. Announces Second Delivery of Over 300K Compostable Coffee Pods to Bridgehead Coffee for Costco Launch in Quebec - NEXE Innovations  ( OTC:NEXNF ) ,0.185164,Somewhat-Bullish,COST
2025-11-19 12:40:02,Target  ( TGT )  Beats Q3 Earnings Estimates,0.139471,Neutral,COST
2025-11-19 09:15:00,Should You Buy the Dip on Costco Wholesale Stock?,0.147615,Neutral,COST
2025-11-18 16:01:30,Target Stock Is Near 52-Week Lows Again - Will Q3 Earnings Change Anything? - Target  ( NYSE:TGT ) ,0.024041,Neutral,COST
2025-11-18 12:43:00,"WMT Gears Up for Q3 Earnings Release: Buy, Sell or Hold the Stock Now?",0.350208,Bullish,COST
2025-11-18 12:00:00,iSpring Unleashes Early Black Friday Deals on Best-Selling Water Filtration Systems - Up to 38% Off,0.492272,Bullish,COST
2025-11-18 09:41:00,"The Zacks Analyst Blog Highlights Oracle, Costco Wholesale, Cisco Systems, Universal Health Realty Income Trust",0.361215,Bullish,COST
