time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 12:00:00,Nvidia Earnings: Is the Central Bank of the AI Revolution Still a Buy After Q3 Results?,0.134902,Neutral,CSCO
2025-11-21 11:20:03,Is American Century U.S. Quality Value ETF  ( VALQ )  a Strong ETF Right Now?,0.333711,Somewhat-Bullish,CSCO
2025-11-20 15:47:31,"IBM, Cisco Plan Quantum Computing Internet By Early 2030s - Cisco Systems  ( NASDAQ:CSCO ) , IBM  ( NYSE:IBM ) ",0.223535,Somewhat-Bullish,CSCO
2025-11-20 15:29:45,This One Tech Stock Is Crushing the Entire Sector. Should You Invest?,0.042379,Neutral,CSCO
2025-11-20 15:20:00,Zoom Video Set to Report Q3 Earnings: What's in the Cards?,0.285394,Somewhat-Bullish,CSCO
2025-11-20 13:04:23,"Freeport-McMoRan, Cisco And Teradyne: CNBC's 'Final Trades' - Cisco Systems  ( NASDAQ:CSCO ) , Freeport-McMoRan  ( NYSE:FCX ) ",0.247154,Somewhat-Bullish,CSCO
2025-11-20 12:36:00,"The Zacks Analyst Blog Highlights Cisco Systems, Hewlett Packard Enterprise, Arista Networks and NVIDIA",0.3234,Somewhat-Bullish,CSCO
2025-11-20 09:21:56,"xAI To Be First Customer Of Saudi Data Center With 600,000 Nvidia Chips - Jensen Huang Praises Startup With '0 Billion' Revenue Building For Elon Musk - NVIDIA  ( NASDAQ:NVDA ) ",0.126574,Neutral,CSCO
2025-11-20 00:01:34,Why Cisco Stock Inched Higher on Wednesday,0.304229,Somewhat-Bullish,CSCO
2025-11-19 16:53:00,Cisco Up 35% in a Year: Is There More Room for the Stock to Rise?,0.337056,Somewhat-Bullish,CSCO
2025-11-19 16:40:03,DGII vs. CSCO: Which Stock Is the Better Value Option?,0.491216,Bullish,CSCO
2025-11-19 14:50:02,Why Cisco Systems  ( CSCO )  is a Top Momentum Stock for the Long-Term,0.412194,Bullish,CSCO
2025-11-18 09:41:00,"The Zacks Analyst Blog Highlights Oracle, Costco Wholesale, Cisco Systems, Universal Health Realty Income Trust",0.361215,Bullish,CSCO
2025-11-17 22:06:00,"Top Analyst Reports for Oracle, Costco & Cisco",0.41386,Bullish,CSCO
2025-11-17 14:15:03,Don't Overlook Cisco  ( CSCO )  International Revenue Trends While Assessing the Stock,0.215649,Somewhat-Bullish,CSCO
2025-11-17 14:00:04,"Investors Heavily Search Cisco Systems, Inc.  ( CSCO ) : Here is What You Need to Know",0.239556,Somewhat-Bullish,CSCO
2025-11-17 08:51:00,"Pullbacks for Quantum Computing Stocks IonQ, Rigetti Computing, and D-Wave Quantum Appear Set to Accelerate",0.174481,Somewhat-Bullish,CSCO
