time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 18:10:00,Chevron & TotalEnergies Lead Bidding War for Galp's Namibia Project,0.285006,Somewhat-Bullish,CVX
2025-11-20 15:47:11,"Warren Buffett, Marjorie Taylor Greene Bet On The Same 9 Stocks - Here's What They Know - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ",0.216078,Somewhat-Bullish,CVX
2025-11-20 10:25:00,What every Chevron Investor Should Know Before Buying,0.323956,Somewhat-Bullish,CVX
2025-11-20 08:11:00,The High-Yield ETF I'm Buying for Passive Income This November,0.495655,Bullish,CVX
2025-11-19 18:05:00,1 Top High-Yield Dividend Stock to Buy and Hold Through at Least 2030,0.311461,Somewhat-Bullish,CVX
2025-11-19 15:20:00,Chevron & Exxon Eye Lukoil's Global Assets in High-Stakes Pivot,0.294763,Somewhat-Bullish,CVX
2025-11-19 14:16:00,CVX or CNQ: Which Energy Giant Looks Stronger Right Now?,0.192729,Somewhat-Bullish,CVX
2025-11-19 10:45:59,"Trump Administration Secretly Working With Russia On New Ukraine Peace Plan: Report - Chevron  ( NYSE:CVX ) , Shell  ( NYSE:SHEL ) ",0.033774,Neutral,CVX
2025-11-19 01:23:00,1 Magnificent High-Yield Dividend Stock Down 16% to Buy and Hold Forever,0.163599,Somewhat-Bullish,CVX
2025-11-17 14:00:05,Investors Heavily Search Chevron Corporation  ( CVX ) : Here is What You Need to Know,0.228086,Somewhat-Bullish,CVX
2025-11-17 13:10:00,"The Best Warren Buffett Stocks to Buy With $2,500 Right Now",0.359828,Bullish,CVX
2025-11-17 12:58:00,Chevron Teams Up With TGS on Three-Year Seismic Services Deal,0.49843,Bullish,CVX
2025-11-17 11:45:00,1 Reason Now Is a Great Time to Buy Berkshire Hathaway Stock,0.15927,Somewhat-Bullish,CVX
2025-11-16 22:47:04,The Vanguard Dividend Appreciation Index Fund ETF  ( VIG )  Delivers Stronger Growth Than the iShares Core High Dividend ETF  ( HDV ) ,0.235136,Somewhat-Bullish,CVX
2025-11-16 18:11:23,The Schwab U.S. Dividend Equity ETF  ( SCHD )  Offers a Higher Yield and Lower Cost Than the iShares Core High Dividend ETF  ( HDV ) ,0.186464,Somewhat-Bullish,CVX
2025-11-16 09:55:00,3 Dividend Powerhouse Stocks Yielding Over 3% to Buy Today,0.212266,Somewhat-Bullish,CVX
2025-11-16 09:23:00,These 2 Dividend ETFs Are a Retiree's Best Friend,0.223536,Somewhat-Bullish,CVX
2025-11-16 09:07:00,Investors Should Raise a Glass to Constellation Brands Stock for These 3 Reasons,0.213591,Somewhat-Bullish,CVX
2025-11-14 18:00:49,How Is The Market Feeling About Chevron Corp? - Chevron  ( NYSE:CVX ) ,0.250562,Somewhat-Bullish,CVX
2025-11-14 17:15:00,4 Dividend Stocks to Double Up on Right Now,0.291008,Somewhat-Bullish,CVX
2025-11-13 18:01:22,Chevron Still A Top Pick As Analyst Sees Big Cash Flow Growth Through 2030 - Chevron  ( NYSE:CVX ) ,0.351901,Bullish,CVX
2025-11-13 13:31:00,Chord Energy Stock Rises Marginally Since Q3 Earnings Beat,0.157302,Somewhat-Bullish,CVX
2025-11-13 11:20:02,Should Invesco Dow Jones Industrial Average Dividend ETF  ( DJD )  Be on Your Investing Radar?,0.149579,Neutral,CVX
