time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 22:22:30,"Netflix Looks For Home Run With More Live Sports Rights, New MLB Deal - Netflix  ( NASDAQ:NFLX ) ",0.254663,Somewhat-Bullish,DIS
2025-11-18 21:56:00,Alliance for Women in Media Honors Eight Exceptional Female Leaders at the Gracies Leadership Awards,0.351468,Bullish,DIS
2025-11-18 13:00:01,Netflix is finally leaning into a key piece of the media playbook: Merchandising,0.211671,Somewhat-Bullish,DIS
2025-11-14 13:16:00,"Company News for Nov 14, 2025",0.192258,Somewhat-Bullish,DIS
2025-11-14 06:37:54,"Disney Isn't Jumping On The Media Consolidation Bandwagon, Top Executive Says, 'We Like The Hand That We Have' - Netflix  ( NASDAQ:NFLX ) , Walt Disney  ( NYSE:DIS ) ",0.238601,Somewhat-Bullish,DIS
2025-11-13 22:10:08,Why Webtoon Entertainment Stock Crashed Today,0.24456,Somewhat-Bullish,DIS
2025-11-13 16:01:00,Inflation Numbers Not Released at Announced Slot,-0.019205,Neutral,DIS
2025-11-13 15:28:00,"Pre-markets Down on AI Spending, Disney Earnings, Fed Rate Speculation",-0.019197,Neutral,DIS
2025-11-13 15:22:49,Walt Disney Company Q4 FY25 Earnings Call Transcript - Walt Disney  ( NYSE:DIS ) ,0.350791,Bullish,DIS
2025-11-13 14:57:00,"Zacks Investment Ideas feature highlights: Walt Disney, Amazon and Netflix",0.245253,Somewhat-Bullish,DIS
2025-11-13 08:12:49,Disney Gears Up For Q4 Print; Here Are The Recent Forecast Changes From Wall Street's Most Accurate Analysts - Walt Disney  ( NYSE:DIS ) ,0.088156,Neutral,DIS
2025-11-11 19:30:11,Disney Q4 Preview: Will Investors Ignore YouTube Dispute? - Walt Disney  ( NYSE:DIS ) ,0.052476,Neutral,DIS
2025-11-11 13:22:29,Disney: How To Earn $500 A Month Ahead Of Q4 Earnings - Walt Disney  ( NYSE:DIS ) ,0.117679,Neutral,DIS
2025-11-10 16:30:01,"Disney's newest cruise ship, the Destiny, is getting ready to set sail: Here's a peek inside",0.242726,Somewhat-Bullish,DIS
2025-11-10 15:55:00,"Disney's Q4 Earnings Coming Up: Time to Buy, Sell or Hold the Stock?",0.278917,Somewhat-Bullish,DIS
2025-11-10 13:00:00,DISNEY KICKS OFF THE SEASON WITH A NEW HOLIDAY CAMPAIGN,0.56651,Bullish,DIS
2025-11-07 15:53:27,Nancy Pelosi And Dow Jones Industrial Average Have 7 Stocks In Common: Do You Own Any Of The Top Picks? - SPDR Dow Jones Industrial Average ETF  ( ARCA:DIA ) ,0.150988,Somewhat-Bullish,DIS
2025-11-07 14:00:00,Unwrap a Magical Holiday Escape at Four Seasons Resort Orlando at Walt Disney World Resort,0.499125,Bullish,DIS
2025-11-06 19:14:57,"There's A New Livery in Town: Air Canada Reveals Special Livery in Collaboration with Disney's ""Zootopia 2""",0.284478,Somewhat-Bullish,DIS
