time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 14:00:11,What's Going On With Amazon Stock Friday? - Amazon.com  ( NASDAQ:AMZN ) ,0.232037,Somewhat-Bullish,GOOG
2025-11-21 14:00:00,"Kimpton Surfcomber Hotel Debuts Whoville-Inspired Holiday Pop-Up, ""How The Social Club Stole Christmas""",0.474172,Bullish,GOOG
2025-11-21 13:39:18,"Wall Street Fund Managers Raise Red Flag For The First Time In 20 Years, Warn Companies Are Overspending - What's Going On? - Alphabet  ( NASDAQ:GOOGL ) , Amazon.com  ( NASDAQ:AMZN ) ",-0.033735,Neutral,GOOG
2025-11-21 13:38:58,"Polymarket Rival Kalshi's Valuation Soars To $11 Billion After $1 Billion Reported Fundraise - DraftKings  ( NASDAQ:DKNG ) , Flutter Entertainment  ( NYSE:FLUT ) ",0.063509,Neutral,GOOG
2025-11-21 13:31:00,"PHE × SPIKY × Beach Boii Set to Conquer Global Charts with Explosive New Single ""DRIVE ME""",0.212731,Somewhat-Bullish,GOOG
2025-11-21 13:30:00,KraneShares Expands Single-Stock Levered ETF Suite With 2X Investment Exposure to Baidu  ( KBDU ) ,0.058474,Neutral,GOOG
2025-11-21 13:05:00,Vera Bradley Announces Appointment of Ivan Brockman to Its Board of Directors,0.158983,Somewhat-Bullish,GOOG
2025-11-21 13:05:00,Vera Bradley Announces Appointment of Ivan Brockman to Its Board of Directors - Vera Bradley  ( NASDAQ:VRA ) ,0.151719,Somewhat-Bullish,GOOG
2025-11-21 13:04:00,"Zomee Announces Early Black Friday, Cyber Mom-Day Deals and Gifting Ideas for Moms",0.507122,Bullish,GOOG
2025-11-21 13:00:06,"Alphabet, Welltower And A Consumer Cyclical Stock On CNBC's 'Final Trades' - Alphabet  ( NASDAQ:GOOG ) , Alphabet  ( NASDAQ:GOOGL ) ",0.279619,Somewhat-Bullish,GOOG
2025-11-21 13:00:00,"TICKETS ON SALE NOW FOR ""KIDZ BOP LIVE: THE CONCERT MOVIE"", COMING TO THEATERS JANUARY 2-5 - Cinemark Holdings  ( NYSE:CNK ) , AMC Entertainment Hldgs  ( NYSE:AMC ) ",0.302453,Somewhat-Bullish,GOOG
2025-11-21 12:44:27,"Forget Alphabet, This Chinese Google Rival Surges In Value Amid Aggressive AI Push Despite Michael Burry's Warning - Alphabet  ( NASDAQ:GOOG ) , Baidu  ( NASDAQ:BIDU ) ",0.149913,Neutral,GOOG
2025-11-21 12:32:00,Meet The Newest Artificial Intelligence  ( AI )  Stock That Billionaire Stanley Druckenmiller Just Bought in His Duquesne Family Office,0.211992,Somewhat-Bullish,GOOG
2025-11-21 11:00:00,"Great American Media Celebrates ""Christmas as It's Meant to Be"" as the Exclusive Broadcast Home of the 2025 National Christmas Tree Lighting",0.407375,Bullish,GOOG
2025-11-21 10:39:35,"Echobit Unveils Brand Refresh and New Slogan, Marking a New Chapter in Crypto",0.383103,Bullish,GOOG
2025-11-21 10:00:00,Warren Buffett Is Selling Apple and Buying This Brilliant Growth Stock Instead,0.175237,Somewhat-Bullish,GOOG
2025-11-21 09:00:00,"Bull of the Day: Advanced Energy Industries, Inc.  ( AEIS ) ",0.24298,Somewhat-Bullish,GOOG
2025-11-21 08:59:00,"'Why Are Stocks Falling?': Top Analyst Issues Bombshell Warning As Volatility Hits Wall Street - Alphabet  ( NASDAQ:GOOG ) , Amazon.com  ( NASDAQ:AMZN ) ",0.026598,Neutral,GOOG
2025-11-21 08:21:00,Hang Feng Technology Innovation and Animoca Brands Announce MOU for Strategic Partnership - Hang Feng Tech Innovation  ( NASDAQ:FOFO ) ,0.180041,Somewhat-Bullish,GOOG
2025-11-21 08:00:00,Bitget Wallet Adds Gas-Free Transactions on Sei Network,0.301087,Somewhat-Bullish,GOOG
2025-11-21 08:00:00,"CreatorWeek Macao 2025 Wraps Up, Showcasing Macao as a Vibrant Global Creative Hub",0.469533,Bullish,GOOG
2025-11-21 04:46:00,Japan's cabinet announces $135 billion stimulus package: NHK,0.244883,Somewhat-Bullish,GOOG
2025-11-21 04:42:07,"Nework Announces Black Friday Savings on Smart Boards & Portable TVs for Learning, Working, and Entertainment",0.466865,Bullish,GOOG
2025-11-21 02:00:00,CryptoGames Celebrates Historic 10 Billionth Bet Milestone with Enhanced Rewards and Expanded Cryptocurrency Support,0.630532,Bullish,GOOG
2025-11-21 01:01:20,"Billionaire Sam Altman's Iris Orb Dream Crumbles: $240M From Khosla Ventures Fuels 1B User Hunt, But Just 2% There As Bans Mount Worldwide",0.0,Neutral,GOOG
