time_published,title,sentiment_score,sentiment_label,ticker
2025-11-18 13:32:20,"This Honeywell Analyst Turns Bearish; Here Are Top 4 Downgrades For Tuesday - Auna  ( NYSE:AUNA ) , Federal Realty Investment  ( NYSE:FRT ) ",0.050626,Neutral,HON
2025-11-18 12:34:04,"Alphabet To Rally More Than 12%? Here Are 10 Top Analyst Forecasts For Tuesday - Auna  ( NYSE:AUNA ) , AES  ( NYSE:AES ) ",0.140344,Neutral,HON
2025-11-17 17:00:36,Looking Into Honeywell International Inc's Recent Short Interest - Honeywell Intl  ( NASDAQ:HON ) ,0.250562,Somewhat-Bullish,HON
2025-11-12 16:52:00,3M's Safety & Industrial Revenues Up in Q3: Can the Momentum Last?,0.388915,Bullish,HON
2025-11-12 02:23:00,This California-Based Company Could Be a High-Potential eVTOL Play Right Now,0.133275,Neutral,HON
2025-11-11 14:23:39,AI Meets Refining: Honeywell Pilots Experion Assistant With TotalEnergies - Honeywell Intl  ( NASDAQ:HON ) ,0.187818,Somewhat-Bullish,HON
2025-11-07 17:32:20,Global Patient Monitoring Market to Reach $55.8 Billion by End of 2030,0.356476,Bullish,HON
2025-11-06 21:35:00,Quantinuum Announces Commercial Launch of New Helios Quantum Computer that Offers Unprecedented Accuracy to Enable Generative Quantum AI  ( GenQAI ) ,0.171015,Somewhat-Bullish,HON
2025-11-03 19:14:09,Global High-Purity Solvents Market Surges Amid Demand for Precision and Sustainability,0.255183,Somewhat-Bullish,HON
2025-11-03 16:48:00,Markel Group Q3 Earnings Beat Estimates on Solid Investment Income,0.324969,Somewhat-Bullish,HON
2025-11-03 12:00:00,Whitestone REIT Acquires Grocer-Anchored Ashford Village in Houston - Whitestone REIT  ( NYSE:WSR ) ,0.110108,Neutral,HON
2025-11-02 15:13:00,You Won't Believe What Elon Musk Just Said About Quantum Computing  ( Spoiler Alert: It's Good News ) ,0.270259,Somewhat-Bullish,HON
2025-10-31 13:45:03,Why Honeywell International Inc.  ( HON )  is a Top Growth Stock for the Long-Term,0.412741,Bullish,HON
2025-10-30 23:30:00,AI Transforming the Machinery Industry Through Manufacturing Execution Systems  ( MES ) ,0.312783,Somewhat-Bullish,HON
2025-10-28 17:34:00,Here's How Cost of Sales & Services Shapes BRK.B's Margins and Growth,0.400701,Bullish,HON
2025-10-28 16:36:18,What's Going On With Honeywell Stock Tuesday? - Honeywell Intl  ( NASDAQ:HON ) ,0.275622,Somewhat-Bullish,HON
2025-10-27 19:00:59,Smart Money Is Betting Big In HON Options - Honeywell Intl  ( NASDAQ:HON ) ,0.191342,Somewhat-Bullish,HON
2025-10-27 15:40:01,MARUY or HON: Which Is the Better Value Stock Right Now?,0.48002,Bullish,HON
2025-10-24 13:26:00,"Company News for Oct 24, 2025",0.134467,Neutral,HON
2025-10-23 15:20:00,Market Awaits Existing Home Sales Report,0.18395,Somewhat-Bullish,HON
2025-10-23 15:10:00,Honeywell's Q3 Earnings Top Estimates on Strong Aerospace Momentum,0.255123,Somewhat-Bullish,HON
2025-10-23 14:44:00,Pre-markets Mostly Lower on Biggest Earnings Day of the Week,0.156662,Somewhat-Bullish,HON
2025-10-23 11:10:02,Honeywell International Inc.  ( HON )  Q3 Earnings and Revenues Surpass Estimates,0.171329,Somewhat-Bullish,HON
2025-10-23 05:27:08,"Dow Dips Over 300 Points Amid Trade Concerns: Investor Fear Increases, Greed Index Remains In 'Fear' Zone - Netflix  ( NASDAQ:NFLX ) ",-0.313409,Somewhat-Bearish,HON
2025-10-23 05:18:50,"Tesla, American Airlines And 3 Stocks To Watch Heading Into Thursday - Tesla  ( NASDAQ:TSLA ) ",0.223568,Somewhat-Bullish,HON
2025-10-22 11:15:00,2 Dividend Stocks Down Between 10% and 16% to Buy Right Now,0.356228,Bullish,HON
2025-10-20 13:15:07,Countdown to Honeywell International  ( HON )  Q3 Earnings: A Look at Estimates Beyond Revenue and EPS,0.209284,Somewhat-Bullish,HON
2025-10-20 11:47:00,Honeywell Gears Up to Report Q3 Earnings: Is a Beat in Store?,0.197846,Somewhat-Bullish,HON
2025-10-20 01:34:41,"Boeing Cargo Plane Veers Off Runway At Hong Kong Airport, Claims Two Lives - Alaska Air Gr  ( NYSE:ALK ) , Boeing  ( NYSE:BA ) ",-0.137047,Neutral,HON
2025-10-17 16:14:00,TMUS Set to Report Q3 Results: Will Higher Revenue Drive Earnings?,0.250956,Somewhat-Bullish,HON
2025-10-17 14:15:00,Honeywell's Board Gives Nod to The Solstice Spin-Off Plan,0.296359,Somewhat-Bullish,HON
2025-10-17 14:13:00,GE Aerospace Set to Report Q3 Earnings: What Lies Ahead for the Stock?,0.268644,Somewhat-Bullish,HON
2025-10-17 14:07:00,3M Gears Up to Report Q3 Earnings: Is a Beat in the Offing?,0.265339,Somewhat-Bullish,HON
2025-10-16 14:00:13,Honeywell International Inc.  ( HON )  Expected to Beat Earnings Estimates: What to Know Ahead of Q3 Release,0.174712,Somewhat-Bullish,HON
2025-10-16 13:45:00,Can Honeywell Sustain Aerospace Momentum With Robust Market Demand?,0.39551,Bullish,HON
2025-10-15 22:15:02,Honeywell International Inc.  ( HON )  Stock Falls Amid Market Uptick: What Investors Need to Know,0.143457,Neutral,HON
2025-10-13 16:24:00,Will Strength in Building Automation Continue to Drive Honeywell's Growth?,0.390779,Bullish,HON
2025-10-10 19:28:57,"Trump's Trade War Gambit: Why America May Lose More Than China in Tariff Escalation - Apple  ( NASDAQ:AAPL ) , ASML Holding  ( NASDAQ:ASML ) ",0.034353,Neutral,HON
2025-10-10 15:40:04,MARUY or HON: Which Is the Better Value Stock Right Now?,0.522191,Bullish,HON
2025-10-09 22:15:04,Why Honeywell International Inc.  ( HON )  Dipped More Than Broader Market Today,0.180203,Somewhat-Bullish,HON
2025-10-09 16:11:00,Honeywell Partners With LS ELECTRIC to Boost Data Center Efficiency,0.416281,Bullish,HON
2025-10-08 12:11:29,What's Going On With Honeywell Stock Wednesday? - Honeywell Intl  ( NASDAQ:HON ) ,0.397313,Bullish,HON
2025-10-06 16:10:04,Can Honeywell International  ( HON )  Keep the Earnings Surprise Streak Alive?,0.306038,Somewhat-Bullish,HON
2025-10-06 13:30:00,2 Overlooked Dividend Stocks With Upside,0.333336,Somewhat-Bullish,HON
2025-10-05 08:24:00,These 2 Blue Chip Stocks Just Declared Dividend Raises. Should You Buy 1 or Both?,0.198601,Somewhat-Bullish,HON
2025-10-03 20:12:00,The Hidden Opportunities in AI,0.158457,Somewhat-Bullish,HON
2025-10-02 14:35:00,Markel Group Banks on Solid Segmental Growth Amid Cost Woes,0.487024,Bullish,HON
2025-10-02 14:04:00,Honeywell Benefits From Business Strength Amid Headwinds,0.205543,Somewhat-Bullish,HON
2025-09-30 16:00:02,All You Need to Know About Honeywell International  ( HON )  Rating Upgrade to Buy,0.302848,Somewhat-Bullish,HON
2025-09-30 14:00:00,Garmin Strengthens Golf Tech Edge With Noonan Partnership,0.381171,Bullish,HON
