time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 11:20:03,Is State Street SPDR S&P Semiconductor ETF  ( XSD )  a Strong ETF Right Now?,0.196144,Somewhat-Bullish,INTC
2025-11-21 11:18:45,"What's Going On With Intel Stock Friday? - Intel  ( NASDAQ:INTC ) , Taiwan Semiconductor  ( NYSE:TSM ) ",0.088677,Neutral,INTC
2025-11-20 10:19:58,What's Going On With Taiwan Semiconductor Stock Wednesday? - Taiwan Semiconductor  ( NYSE:TSM ) ,0.223823,Somewhat-Bullish,INTC
2025-11-19 23:30:00,Don't Give Up on Dividends: This Rock-Solid Dividend Stock Will Reward You Through Thick and Thin,0.343721,Somewhat-Bullish,INTC
2025-11-19 23:18:40,Nvidia  ( NVDA )  Q3 2026 Earnings Call Transcript,0.247359,Somewhat-Bullish,INTC
2025-11-19 13:27:00,Qualcomm vs. Intel: Which Chip Stock is the Better Buy Now?,0.354818,Bullish,INTC
2025-11-19 13:25:51,"Broadcom Struggles Amid Steep AI Correction, Raising Awareness Of Direxion's AVL, AVS ETFs - Direxion Daily AVGO Bull 2X Shares  ( NASDAQ:AVL ) , Direxion Daily AVGO Bear 1X Shares  ( NASDAQ:AVS ) ",0.063255,Neutral,INTC
2025-11-18 17:31:11,"AMD And Arm Are Quietly Pulling Ahead In US Chip Shipments - While Intel Battles Shortages - Intel  ( NASDAQ:INTC ) , Advanced Micro Devices  ( NASDAQ:AMD ) , ARM Holdings  ( NASDAQ:ARM ) ",0.269839,Somewhat-Bullish,INTC
2025-11-18 12:02:00,Better Semiconductor Stock: TSMC vs. ASML,0.193598,Somewhat-Bullish,INTC
2025-11-17 18:21:00,AI Isn't Slowing -- It's Bottlenecked. TSMC Just Told Us Where.,0.20995,Somewhat-Bullish,INTC
2025-11-17 16:39:44,I Update My Rating on Intel Stock,-0.147841,Neutral,INTC
2025-11-17 12:30:00,Intel Stock Is Soaring and This Strategic Partner Could Be Next,0.198879,Somewhat-Bullish,INTC
2025-11-17 08:25:00,Billionaire David Tepper Just Sold Out of Intel and Piled Into This Consumer Goods Giant That's Been Hit By Tariffs,0.062279,Neutral,INTC
2025-11-15 04:04:29,"September Jobs Report Set For Thursday Release As Government Shutdown Data Fog Lifts - Bank of America  ( NYSE:BAC ) , Amazon.com  ( NASDAQ:AMZN ) ",-0.125952,Neutral,INTC
2025-11-14 14:15:25,"'You Do Want A Bubble,' Says Groq CEO Jonathan Ross On AI Frenzy - Insists The Money Will Be 'Returned With Interest' Despite Fears Of A Crash - Meta Platforms  ( NASDAQ:META ) , Intel  ( NASDAQ:INTC ) ",0.22547,Somewhat-Bullish,INTC
2025-11-14 12:47:00,QCOM Expands Portfolio for Industrial PCs: Will It Boost Prospects?,0.345037,Somewhat-Bullish,INTC
2025-11-14 12:20:00,NVIDIA Poised for a Q3 Earnings Surprise: Buy Before the Beat?,0.325239,Somewhat-Bullish,INTC
2025-11-14 11:20:03,Is Direxion NASDAQ-100 Equal Weighted Index Shares  ( QQQE )  a Strong ETF Right Now?,0.28454,Somewhat-Bullish,INTC
2025-11-14 00:45:44,3 reasons why Bitcoin and risk markets sold off: Is a recovery on the horizon?,-0.204625,Somewhat-Bearish,INTC
2025-11-13 22:06:48,"David Tepper's Hedge Funds Bets On AMD, Nvidia In Q3, Takes Profits On Intel - Advanced Micro Devices  ( NASDAQ:AMD ) , American Airlines Group  ( NASDAQ:AAL ) ",0.118021,Neutral,INTC
2025-11-13 20:45:00,AI Frenzy: Everybody Wants NVIDIA's Magical GPUs,0.0845,Neutral,INTC
2025-11-13 16:32:00,AMD Rides on Growing Data Center Footprint: Buy or Hold the Stock?,0.339375,Somewhat-Bullish,INTC
2025-11-13 15:09:24,Key AI Chip Supplier ASML Deepens Ties With Samsung and SK hynix in South Korea - ASML Holding  ( NASDAQ:ASML ) ,0.210146,Somewhat-Bullish,INTC
2025-11-13 14:52:00,Are Declining Earnings Estimates an Indication to Avoid INTC Stock?,0.186432,Somewhat-Bullish,INTC
2025-11-13 14:06:00,AI Boom Fuels Taiwan Semiconductor's Growth: Will It Sustain Momentum?,0.269814,Somewhat-Bullish,INTC
2025-11-13 10:30:00,"AI Skeptics Could Be Wrong, and This Stock Still Has Room to Run",0.2721,Somewhat-Bullish,INTC
2025-11-13 08:45:00,"Got $3,000? 2 Artificial Intelligence  ( AI )  Stocks to Buy and Hold for the Long Term",0.229582,Somewhat-Bullish,INTC
2025-11-12 14:37:00,3 Stocks That Have Made Epic Comebacks in 2025,0.06379,Neutral,INTC
