time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 13:30:00,Why Coca-Cola's Business Model Still Wins After 100 Years,0.310605,Somewhat-Bullish,KO
2025-11-21 09:25:00,Goldman Sachs Just Delivered Bad News for U.S. Investors ... Sort Of. Here's What You Need to Know.,0.168853,Somewhat-Bullish,KO
2025-11-21 09:15:00,Read This Before Buying PepsiCo Stock,0.060417,Neutral,KO
2025-11-20 22:25:00,J & J SNACK FOODS CORP. ANNOUNCES QUARTERLY CASH DIVIDEND,0.220127,Somewhat-Bullish,KO
2025-11-20 19:49:42,Leap Expands Marketing & Analytics Solution with New Key Leaders to Drive Growth,0.452813,Bullish,KO
2025-11-20 15:47:11,"Warren Buffett, Marjorie Taylor Greene Bet On The Same 9 Stocks - Here's What They Know - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ",0.216078,Somewhat-Bullish,KO
2025-11-20 12:49:00,TMO Stock May Rise Post New PCR Test in Collab With Coca-Cola Partner,0.175457,Somewhat-Bullish,KO
2025-11-20 11:30:00,Warren Buffett Just Loaded Up On This Unstoppable AI Stock,0.236513,Somewhat-Bullish,KO
2025-11-20 09:05:00,Will Berkshire Hathaway Still Be a Good Buy After Warren Buffett Departs as CEO?,0.186872,Somewhat-Bullish,KO
2025-11-20 08:11:00,The High-Yield ETF I'm Buying for Passive Income This November,0.495655,Bullish,KO
2025-11-19 15:24:00,PepsiCo's 2025 Playbook: Can Cost Cuts Fund an Innovation-Led Rebound?,0.32839,Somewhat-Bullish,KO
2025-11-19 14:30:00,"If I Could Only Buy and Hold a Single Stock, This Would Be It.",0.11382,Neutral,KO
2025-11-19 13:23:00,Collegium Pharma and Entegris have been highlighted as Zacks Bull and Bear of the Day,0.225902,Somewhat-Bullish,KO
2025-11-19 09:35:00,4 Reasons to Buy Coca-Cola Stock Like There's No Tomorrow,0.326564,Somewhat-Bullish,KO
2025-11-19 08:15:00,Worried About a Bear Market? 3 Reasons to Buy Coca-Cola Like There's No Tomorrow,0.21495,Somewhat-Bullish,KO
2025-11-19 01:02:00,3 Stocks That Could Create Lasting Generational Wealth,0.19182,Somewhat-Bullish,KO
2025-11-18 18:48:00,"Can Coca-Cola's ""All-Weather"" Strategy Keep Earnings Bubbling?",0.457503,Bullish,KO
2025-11-18 15:30:00,"RaceTrac Opens 600th Store in Garden City, Georgia",0.329812,Somewhat-Bullish,KO
2025-11-18 13:00:00,Build Buffett's Berkshire-Like Portfolio With These ETFs,0.168521,Somewhat-Bullish,KO
2025-11-18 09:30:00,"Could Investing $10,000 in Coca-Cola Make You a Millionaire?",0.334265,Somewhat-Bullish,KO
2025-11-18 08:25:00,3 Stocks That Could Be Easy Wealth Builders,0.346918,Somewhat-Bullish,KO
2025-11-17 20:31:19,Warren Buffett On Luck And Not Beating Yourself Up Over Mistakes,0.279187,Somewhat-Bullish,KO
2025-11-17 16:00:38,What Does the Market Think About Coca-Cola Co? - Coca-Cola  ( NYSE:KO ) ,0.276201,Somewhat-Bullish,KO
2025-11-17 11:45:00,1 Reason Now Is a Great Time to Buy Berkshire Hathaway Stock,0.15927,Somewhat-Bullish,KO
2025-11-16 18:20:00,Why Coca-Cola Consolidated Stock Skyrocketed This Week,0.258654,Somewhat-Bullish,KO
2025-11-16 16:23:00,Best Stock to Buy Right Now: Costco vs. Coca-Cola,0.322875,Somewhat-Bullish,KO
2025-11-16 09:45:00,"The Smartest ETF to Buy With $10,000 Right Now",0.180091,Somewhat-Bullish,KO
2025-11-16 09:35:00,My 3 Favorite Stocks to Buy Right Now,0.382905,Bullish,KO
2025-11-16 09:23:00,These 2 Dividend ETFs Are a Retiree's Best Friend,0.223536,Somewhat-Bullish,KO
2025-11-16 09:07:00,Investors Should Raise a Glass to Constellation Brands Stock for These 3 Reasons,0.213591,Somewhat-Bullish,KO
2025-11-15 23:15:00,3 Investing Lessons From Warren Buffett's November Letter to Berkshire Hathaway Shareholders,0.2403,Somewhat-Bullish,KO
2025-11-15 23:15:00,2 Sweet Dividend Stocks to Buy to Satisfy Your Craving for Passive Income,0.477763,Bullish,KO
2025-11-15 08:25:00,"The Best ""Training-Wheel"" Stocks for New Investors in 2025",0.317448,Somewhat-Bullish,KO
2025-11-15 08:06:00,The S&P 500 Just Did Something That Was Last Witnessed Less Than a Year Before the Dot-Com Bubble Burst -- and History Is Clear What Comes Next for Stocks,0.112469,Neutral,KO
2025-11-14 21:55:00,3 Buffett-Like Stocks for Your Short List,0.226199,Somewhat-Bullish,KO
2025-11-14 17:11:27,XLP vs. IYK: Which is the Better Consumer Staples ETF?,0.161812,Somewhat-Bullish,KO
2025-11-14 09:31:00,Want $1 Million in Retirement? 3 Simple Index Funds to Buy and Hold for Decades.,0.216789,Somewhat-Bullish,KO
2025-11-14 09:15:00,5 Dividend Stocks to Hold for the Next 5 Years,0.352055,Bullish,KO
2025-11-14 00:04:00,Like Dividends? 3 Dividend Aristocrats Worth a Look,0.330275,Somewhat-Bullish,KO
2025-11-13 19:47:00,"Showtime Sound Provides Production for G.E.M.'s Record-Breaking ""I Am Gloria World Tour""",0.313194,Somewhat-Bullish,KO
2025-11-13 15:25:00,MUSICAL ARTISTS JA RULE AND ASHANTI TO HEADLINE THE 2025 JERSEY MIKE'S SUBS BEST BUDDIES MIAMI GALA,0.519125,Bullish,KO
2025-11-13 10:25:00,1 Magnificent S&P 500 Dividend Stock Down 66% to Buy and Hold Forever,0.232983,Somewhat-Bullish,KO
2025-11-13 08:15:00,The Smartest Dividend Stocks to Buy With $600 Right Now,0.229897,Somewhat-Bullish,KO
2025-11-12 17:13:00,Can KDP Sustain Its Growth Amid Cost Pressures & Coffee Headwinds?,0.217455,Somewhat-Bullish,KO
2025-11-12 17:07:00,Coca-Cola Holds Value Share Lead Despite Latin America Flatline,0.471303,Bullish,KO
2025-11-12 16:11:00,Canopy by Hilton Toronto Yorkville Welcomes 7 Paintings™ - The Art of Dining - Hilton Worldwide Holdings  ( NYSE:HLT ) ,0.390689,Bullish,KO
2025-11-12 14:00:04,Here is What to Know Beyond Why CocaCola Company  ( The )   ( KO )  is a Trending Stock,0.22619,Somewhat-Bullish,KO
2025-11-12 13:46:06,"Top 2 Risk Off Stocks That May Collapse This Quarter - Natures Sunshine Products  ( NASDAQ:NATR ) , Coca-Cola Consolidated  ( NASDAQ:COKE ) ",0.373785,Bullish,KO
2025-11-12 13:30:00,"Brag House  ( NASDAQ: TBH )  CEO Lavell Juan Malloy II Featured in Impact Magazine, Details ""Culture to Capital"" Playbook Interview outlines strategy to merge Brag House's authentic Gen Z engagement model with House of Doge's digital ownership infrastructure - Brag House Holdings  ( NASDAQ:TBH ) ",0.188658,Somewhat-Bullish,KO
2025-11-12 13:26:00,CELH Stock Down 27% After Q3 Results: Should You Buy the Dip?,0.312022,Somewhat-Bullish,KO
