time_published,title,sentiment_score,sentiment_label,ticker
2025-11-18 12:15:00,The Three Best Bets in the Hydrogen Industry and Why They Stand to Make a Fortune,0.292211,Somewhat-Bullish,LIN
2025-11-13 15:45:54,Here's How Much $100 Invested In Linde 10 Years Ago Would Be Worth Today - Linde  ( NASDAQ:LIN ) ,0.158543,Somewhat-Bullish,LIN
2025-11-10 21:30:42,Here's How Much You Would Have Made Owning Linde Stock In The Last 20 Years - Linde  ( NASDAQ:LIN ) ,0.158543,Somewhat-Bullish,LIN
2025-11-05 18:11:00,"International Flavors Earnings Beat Estimates in Q3, Sales Dip Y/Y",0.037862,Neutral,LIN
2025-10-31 18:02:00,Linde Q3 Earnings & Revenues Top Estimates on Higher Americas Pricing,0.250573,Somewhat-Bullish,LIN
2025-10-31 14:55:26,Linde Q3 2025 Earnings Call Transcript,0.21249,Somewhat-Bullish,LIN
2025-10-31 11:05:02,Linde  ( LIN )  Q3 Earnings and Revenues Top Estimates,0.155004,Somewhat-Bullish,LIN
2025-10-28 20:01:31,What's Driving the Market Sentiment Around Linde PLC? - Linde  ( NASDAQ:LIN ) ,0.250562,Somewhat-Bullish,LIN
2025-10-28 19:05:00,Linde Gears Up to Report Q3 Earnings: What's in the Offing?,0.200334,Somewhat-Bullish,LIN
2025-10-28 14:00:31,Analysts Estimate Ashland  ( ASH )  to Report a Decline in Earnings: What to Look Out for,0.105201,Neutral,LIN
2025-10-27 08:02:00,"Meet the Spectacular Index Fund That Could Turn $200,000 Into $1 Million in Under 20 Years",0.246926,Somewhat-Bullish,LIN
2025-10-24 14:00:05,Linde  ( LIN )  Reports Next Week: Wall Street Expects Earnings Growth,0.130833,Neutral,LIN
2025-10-22 15:40:03,SYIEY vs. LIN: Which Stock Should Value Investors Buy Now?,0.483752,Bullish,LIN
2025-10-20 22:45:29,"If You Invested $1000 In Linde Stock 20 Years Ago, You Would Have This Much Today - Linde  ( NASDAQ:LIN ) ",0.158543,Somewhat-Bullish,LIN
2025-10-15 13:30:00,"Hydrogen Energy Storage Market Revenue to Hit USD 196.8 Billion by 2028, Growing at a CAGR of 76.8% - Report by MarketsandMarkets™",0.366462,Bullish,LIN
2025-09-29 12:00:00,CSX Corp. Announces Leadership Transition,0.378963,Bullish,LIN
2025-09-29 10:20:02,Should You Invest in the Fidelity MSCI Materials Index ETF  ( FMAT ) ?,0.216389,Somewhat-Bullish,LIN
2025-09-24 20:45:28,"If You Invested $1000 In Linde Stock 10 Years Ago, You Would Have This Much Today - Linde  ( NASDAQ:LIN ) ",0.160819,Somewhat-Bullish,LIN
2025-09-18 23:30:26,Here's How Much You Would Have Made Owning Linde Stock In The Last 10 Years - Linde  ( NASDAQ:LIN ) ,0.181243,Somewhat-Bullish,LIN
2025-09-16 08:59:00,"The Zacks Analyst Blog Highlights Roche, Linde, Disney and Vaso",0.139006,Neutral,LIN
2025-09-15 20:16:00,"Top Analyst Reports for Roche, Linde & Walt Disney",0.147284,Neutral,LIN
2025-09-12 13:18:00,"Stock Market News for Sep 12, 2025",0.043412,Neutral,LIN
2025-09-03 14:45:23,$100 Invested In Linde 20 Years Ago Would Be Worth This Much Today - Linde  ( NASDAQ:LIN ) ,0.181243,Somewhat-Bullish,LIN
2025-08-25 16:00:31,How Do Investors Really Feel About Linde? - Linde  ( NASDAQ:LIN ) ,0.243722,Somewhat-Bullish,LIN
2025-08-25 13:45:00,"The Zacks Analyst Blog Highlights NVIDIA, Cisco and Linde",0.225578,Somewhat-Bullish,LIN
2025-08-19 15:30:20,"If You Invested $100 In This Stock 10 Years Ago, You Would Have This Much Today - Linde  ( NASDAQ:LIN ) ",0.181243,Somewhat-Bullish,LIN
