time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 16:30:00,VKTX Completes Enrollment in First Late-Stage Study on Obesity Drug,0.124211,Neutral,LLY
2025-11-20 14:45:03,Here's Why Eli Lilly  ( LLY )  is a Strong Growth Stock,0.512592,Bullish,LLY
2025-11-20 12:05:00,Beyond GLP-1: Eli Lilly's Expanding Drug Portfolio Lifts Sales,0.208517,Somewhat-Bullish,LLY
2025-11-20 08:40:00,Novo Nordisk Just Made a Big Move in the Weight Loss Drug Market. Should You Worry About Rival Eli Lilly?,0.118188,Neutral,LLY
2025-11-19 18:59:49,"Eli Lilly To Rally More Than 12%? Here Are 10 Top Analyst Forecasts For Wednesday - Bank of America  ( NYSE:BAC ) , AECOM  ( NYSE:ACM ) ",0.144022,Neutral,LLY
2025-11-19 15:02:57,Eli Lilly Unusual Options Activity For November 19 - Eli Lilly  ( NYSE:LLY ) ,0.162843,Somewhat-Bullish,LLY
2025-11-19 14:53:00,Stock Split Watch: Could This Unstoppable Growth Stock Be Next?,0.203922,Somewhat-Bullish,LLY
2025-11-19 14:08:00,"AbbVie Stock Rebounds After Q3 Dip: Time to Buy, Hold or Sell?",0.188001,Somewhat-Bullish,LLY
2025-11-19 11:05:00,Missed Out on Eli Lilly? 2 Healthcare Stocks With Big Catalysts on the Horizon.,0.271849,Somewhat-Bullish,LLY
2025-11-19 08:47:00,"The Zacks Analyst Blog Highlights Microsoft, Amazon.com and Eli Lilly",0.235563,Somewhat-Bullish,LLY
2025-11-18 21:12:00,"Top Research Reports for Microsoft, Amazon.com & Eli Lilly",0.276104,Somewhat-Bullish,LLY
2025-11-18 21:00:00,Why Big Pharma Won't Quit the Diet. Who Will Win the Next Weight Loss Battle?,0.065652,Neutral,LLY
2025-11-18 19:23:00,Can AI Drive Peloton's Comeback?,0.130504,Neutral,LLY
2025-11-18 15:59:00,Pfizer Trading Above 50-Day SMA: Is it a Good Time to Buy the Stock?,0.182798,Somewhat-Bullish,LLY
2025-11-18 09:27:00,"The Zacks Analyst Blog Highlights Eli Lilly, Johnson & Johnson and Adverum",0.298053,Somewhat-Bullish,LLY
