time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 13:46:19,"Ripple Proposes Radical Technical Change, But XRP Flows Are Reason For Concern",0.064888,Neutral,MA
2025-11-21 00:18:00,AlphaTON Capital  ( Nasdaq: ATON )  Issues Shareholder Update on Balance Sheet Assets and Strategic Ecosystem Expansion Clarification and Correction,0.249643,Somewhat-Bullish,MA
2025-11-20 18:49:00,Can Visa Gain More Ground as Cash App Flexes Into Pay-Over-Time?,0.249916,Somewhat-Bullish,MA
2025-11-20 17:08:00,PayPal's Agentic Commerce: How is it Preparing for This Revolution?,0.32493,Somewhat-Bullish,MA
2025-11-20 14:53:00,2 Inflation-Proof Growth Stocks That Could Outperform the Market,0.224776,Somewhat-Bullish,MA
2025-11-20 14:44:23,"Education Department restructuring plan doesn't involve student debt. Still, experts are worried",0.118997,Neutral,MA
2025-11-20 13:50:34,Bitget Wallet Introduces Zero-Fee Feature for Its Crypto Card in Over 50 Markets,0.122052,Neutral,MA
2025-11-20 11:20:02,Is American Century U.S. Quality Growth ETF  ( QGRO )  a Strong ETF Right Now?,0.340577,Somewhat-Bullish,MA
2025-11-20 08:14:48,Fast Payout Online Casino 2025: Betwhale Named as One of the Fastest Online Casinos for Withdrawals,0.469192,Bullish,MA
2025-11-20 07:00:00,Results for the half year ended 30 September 2025,0.284504,Somewhat-Bullish,MA
2025-11-19 19:55:43,PayPal Casino USA 2025: BetWhale Named as the Real Money Online Casino that Accepts PayPal Deposits,0.349309,Somewhat-Bullish,MA
2025-11-19 17:39:19,Beyond Retail: 3 Industries To Consider For Investment This Holiday Season,0.265396,Somewhat-Bullish,MA
2025-11-19 17:19:00,Can MA's Cyber Bet Pay Off as Exabeam-Recorded Future Tie-Up Deepens?,0.209974,Somewhat-Bullish,MA
2025-11-19 14:53:06,"Is Mastercard About To Rally? - NVIDIA  ( NASDAQ:NVDA ) , Mastercard  ( NYSE:MA ) ",0.306655,Somewhat-Bullish,MA
2025-11-19 14:45:03,Here's Why MasterCard  ( MA )  is a Strong Growth Stock,0.421492,Bullish,MA
2025-11-19 14:00:00,AlphaTON Capital  ( Nasdaq: ATON )  Issues Shareholder Update on Balance Sheet Assets and Strategic Ecosystem Expansion,0.247352,Somewhat-Bullish,MA
2025-11-19 02:51:42,Fast Payout Online Casinos: Lucky Creek Ranked First for Instant Withdrawals,0.555034,Bullish,MA
2025-11-18 19:23:00,Can AI Drive Peloton's Comeback?,0.130504,Neutral,MA
2025-11-18 18:00:00,Is It Too Late To Invest in D-Wave Quantum? What Investors Need To Consider.,0.258764,Somewhat-Bullish,MA
2025-11-18 17:15:00,Is RS2's New Visa Status a Game-Changer for Europe's Card Market?,0.323122,Somewhat-Bullish,MA
2025-11-18 16:25:00,Millions of federal student loan borrowers will start repayment soon. Here's what to know,0.100988,Neutral,MA
2025-11-18 11:04:03,Mastercard taps Polygon to turn clunky crypto addresses into simple usernames,0.098633,Neutral,MA
2025-11-17 17:40:00,AmEx Flies 20.4% YTD: Should Investors Tap in Before it Boards?,0.274095,Somewhat-Bullish,MA
2025-11-17 16:05:00,Is Mastercard Set to Maintain Mid-Teens Revenue Growth Over Time?,0.377262,Bullish,MA
2025-11-17 15:39:06,Standard Medicare Part B monthly premium to jump 9.7% in 2026,0.190464,Somewhat-Bullish,MA
2025-11-17 14:52:45,Nvidia and 19 Other Stocks Now Make Up 50% of the S&P 500. Here's What It Means for Your Investment Portfolio.,0.18357,Somewhat-Bullish,MA
2025-11-17 13:10:00,"The Best Warren Buffett Stocks to Buy With $2,500 Right Now",0.359828,Bullish,MA
2025-11-17 11:20:02,Is Invesco S&P 500 Quality ETF  ( SPHQ )  a Strong ETF Right Now?,0.277773,Somewhat-Bullish,MA
2025-11-17 08:55:00,"The Best Warren Buffett Stocks to Buy With $1,000 Right Now",0.294074,Somewhat-Bullish,MA
