time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 13:39:18,"Wall Street Fund Managers Raise Red Flag For The First Time In 20 Years, Warn Companies Are Overspending - What's Going On? - Alphabet  ( NASDAQ:GOOGL ) , Amazon.com  ( NASDAQ:AMZN ) ",-0.033735,Neutral,MSFT
2025-11-21 13:05:00,Vera Bradley Announces Appointment of Ivan Brockman to Its Board of Directors,0.158983,Somewhat-Bullish,MSFT
2025-11-21 13:05:00,Vera Bradley Announces Appointment of Ivan Brockman to Its Board of Directors - Vera Bradley  ( NASDAQ:VRA ) ,0.151719,Somewhat-Bullish,MSFT
2025-11-21 12:32:00,Meet The Newest Artificial Intelligence  ( AI )  Stock That Billionaire Stanley Druckenmiller Just Bought in His Duquesne Family Office,0.211992,Somewhat-Bullish,MSFT
2025-11-21 12:00:00,Nvidia Earnings: Is the Central Bank of the AI Revolution Still a Buy After Q3 Results?,0.134902,Neutral,MSFT
2025-11-21 12:00:00,AI Bubble Fears Are Overblown - Here's What Happens Next,0.193155,Somewhat-Bullish,MSFT
2025-11-21 11:15:00,This Is the Most Overlooked Semiconductor Stock Powering the Artificial Intelligence  ( AI )  Infrastructure Boom,0.213503,Somewhat-Bullish,MSFT
2025-11-21 10:11:00,"The Zacks Analyst Blog Highlights Dell, Hewlett-Packard, NVIDIA and Microsoft",0.279533,Somewhat-Bullish,MSFT
2025-11-21 09:20:00,"Jim Cramer Warns Investors To 'Stay Away' From Nebius, Other AI Infra Stocks Amid 'Capital Destruction' - Nebius Group  ( NASDAQ:NBIS ) ",-0.055692,Neutral,MSFT
2025-11-21 09:05:00,Bill Gates Is Rapidly Selling Microsoft Stock. Here's What Investors Need to Know.,0.293949,Somewhat-Bullish,MSFT
2025-11-21 09:00:00,"Bull of the Day: Advanced Energy Industries, Inc.  ( AEIS ) ",0.24298,Somewhat-Bullish,MSFT
2025-11-21 08:59:00,"'Why Are Stocks Falling?': Top Analyst Issues Bombshell Warning As Volatility Hits Wall Street - Alphabet  ( NASDAQ:GOOG ) , Amazon.com  ( NASDAQ:AMZN ) ",0.026598,Neutral,MSFT
2025-11-21 08:51:00,"Institutional Investors Piled Into IonQ, Rigetti Computing, D-Wave Quantum, and Quantum Computing Inc. Stocks -- and They'll Likely Regret It",0.193169,Somewhat-Bullish,MSFT
2025-11-21 08:06:00,Warren Buffett's $382 Billion Warning Will Ring True for Wall Street Even After He Retires in Less Than 6 Weeks,0.110464,Neutral,MSFT
2025-11-21 02:18:29,"Dan Ives Says This Is Not An 'AI Bubble,' Calls Nvidia's Quarter A 'Masterpiece': Ross Gerber Says He's Not 'Buying' The Jobs Report - Microsoft  ( NASDAQ:MSFT ) , NVIDIA  ( NASDAQ:NVDA ) ",-0.064897,Neutral,MSFT
2025-11-21 01:00:07,Vanguard S&P 500 ETF Offers Lower Costs Than SPDR SPY -- But Should You Care?,0.094743,Neutral,MSFT
2025-11-21 00:20:50,"VOO Offers Broad Diversification, While QQQ Boasts Tech-Heavy Growth. Which Is Best for Investors?",0.106462,Neutral,MSFT
2025-11-20 23:43:48,"TQQQ Delivers Larger Gains Than SSO, but It Comes With Increased Risk and Volatility",0.14612,Neutral,MSFT
2025-11-20 20:23:46,Vanguard Information Technology ETF and iShares US Technology ETF: Two Visions of Tech Investing,0.169929,Somewhat-Bullish,MSFT
2025-11-20 18:44:56,AI ETFs See Strong Inflows - Which Offers The Best Risk-Reward?,0.248444,Somewhat-Bullish,MSFT
2025-11-20 17:41:54,Why Iren Stock Surged Higher Today,0.222394,Somewhat-Bullish,MSFT
2025-11-20 17:39:20,Ex-Bitcoin Miners Turn Power Providers In Race For AI Supremacy - IREN  ( NASDAQ:IREN ) ,0.113275,Neutral,MSFT
2025-11-20 17:11:05,IREN Stock Surges Thursday: What's Driving The Action? - IREN  ( NASDAQ:IREN ) ,0.336084,Somewhat-Bullish,MSFT
2025-11-20 16:31:00,Can GitLab's Dedicated Platform Drive Further Upside in Revenues?,0.222182,Somewhat-Bullish,MSFT
2025-11-20 15:25:04,"How To Trade SPY, Top Tech Stocks Using Technical Analysis - Alphabet  ( NASDAQ:GOOGL ) , Apple  ( NASDAQ:AAPL ) ",0.079854,Neutral,MSFT
2025-11-20 15:20:00,Zoom Video Set to Report Q3 Earnings: What's in the Cards?,0.285394,Somewhat-Bullish,MSFT
2025-11-20 15:14:00,"DELL Gears Up to Report Q3 Earnings: Buy, Sell or Hold the Stock?",0.286674,Somewhat-Bullish,MSFT
2025-11-20 15:00:25,Evaluating Microsoft Against Peers In Software Industry - Microsoft  ( NASDAQ:MSFT ) ,0.235238,Somewhat-Bullish,MSFT
2025-11-20 15:00:14,"Louisiana Rep. Cleo Fields Bought Over $216K Worth of Netflix Stock: Here's What You Should Know - Netflix  ( NASDAQ:NFLX ) , Apple  ( NASDAQ:AAPL ) ",0.124704,Neutral,MSFT
2025-11-20 14:37:00,"Prediction: This Quantum Computing Stock Could Make You a Millionaire  ( Hint: It's Not Pure-Plays IonQ, Rigetti Computing, or D-Wave Quantum ) ",0.196477,Somewhat-Bullish,MSFT
