time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 13:00:00,"TICKETS ON SALE NOW FOR ""KIDZ BOP LIVE: THE CONCERT MOVIE"", COMING TO THEATERS JANUARY 2-5 - Cinemark Holdings  ( NYSE:CNK ) , AMC Entertainment Hldgs  ( NYSE:AMC ) ",0.302453,Somewhat-Bullish,NFLX
2025-11-21 10:26:00,Netflix's 10-For-1 Stock Split Takes Effect: Hold for Now or Fold?  ( Revised ) ,0.302973,Somewhat-Bullish,NFLX
2025-11-21 10:15:00,Should Investors Be Concerned That Netflix Stock Fell After Its 10-For-1 Stock Split?,0.068243,Neutral,NFLX
2025-11-21 07:40:00,Ubisoft reports first-half 2025-26 earnings figures,0.265866,Somewhat-Bullish,NFLX
2025-11-21 01:00:07,Vanguard S&P 500 ETF Offers Lower Costs Than SPDR SPY -- But Should You Care?,0.094743,Neutral,NFLX
2025-11-20 22:22:30,"Netflix Looks For Home Run With More Live Sports Rights, New MLB Deal - Netflix  ( NASDAQ:NFLX ) ",0.254663,Somewhat-Bullish,NFLX
2025-11-20 17:30:00,Folger Theatre Announces the Plays and Playwrights for the Fourth Annual Reading Room Festival,0.252632,Somewhat-Bullish,NFLX
2025-11-20 16:30:07,Netflix  ( NFLX )  Down 1.5% Since Last Earnings Report: Can It Rebound?,0.258511,Somewhat-Bullish,NFLX
2025-11-20 15:32:00,New Documentary by Zygote Films Exposes How UNRWA Perpetuates the Israeli-Palestinian Conflict,0.026931,Neutral,NFLX
2025-11-20 15:00:14,"Louisiana Rep. Cleo Fields Bought Over $216K Worth of Netflix Stock: Here's What You Should Know - Netflix  ( NASDAQ:NFLX ) , Apple  ( NASDAQ:AAPL ) ",0.124704,Neutral,NFLX
2025-11-20 15:00:00,Dangbei Unveils Massive Black Friday Savings - Up to 45% Off Flagship 4K Projectors,0.478073,Bullish,NFLX
2025-11-20 15:00:00,Dangbei Launches Black Friday Deals in Canada with Up to 50% Off Smart Projectors,0.490124,Bullish,NFLX
2025-11-20 14:00:00,"SAY BONJOUR TO THE ULTIMATE BINGEWORTHY DUO -- BOURSIN AND EMILY IN PARIS BRING A TASTE OF PARIS TO TORONTO WITH THE ""BOURSIN BISTRO"" POP-UP EXPERIENCE",0.472634,Bullish,NFLX
2025-11-20 12:40:00,"Should You Invest $1,000 in Netflix  ( NFLX )  Right Now?",0.398373,Bullish,NFLX
2025-11-20 11:28:00,"Hollywood Braces For Epic Bidding War As Paramount, Comcast And Netflix Eye Warner Bros. Discovery- Who Will Call Cut? - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ",0.183178,Somewhat-Bullish,NFLX
2025-11-20 11:02:00,Netflix vs. Apple: Which Stock Should You Buy Now?,0.281,Somewhat-Bullish,NFLX
2025-11-20 09:36:00,2 Top Stock Split Stocks to Buy Now,0.341598,Somewhat-Bullish,NFLX
2025-11-20 09:12:00,"2 Brilliant Stocks to Buy With $110 Before They Soar Up to 300%, According to Wall Street Analysts",0.365931,Bullish,NFLX
2025-11-20 09:00:00,Save Up to 35% on Dangbei Projectors During Amazon Spain's Black Friday & Cyber Monday,0.46576,Bullish,NFLX
2025-11-20 09:00:00,Dangbei Joins Amazon's Black Friday & Cyber Monday in Germany with Discounts Up to 35%,0.376722,Bullish,NFLX
2025-11-20 09:00:00,Dangbei Joins Amazon's Black Friday & Cyber Monday in France with Discounts Up to 35%,0.438818,Bullish,NFLX
2025-11-20 09:00:00,Dangbei Joins Amazon's Black Friday & Cyber Monday in Italy with Discounts Up to 35%,0.448522,Bullish,NFLX
2025-11-20 08:22:00,Could Palantir Be the Next Artificial Intelligence  ( AI )  Stock to Hit a Trillion-Dollar Valuation?,0.26223,Somewhat-Bullish,NFLX
2025-11-20 07:00:00,Results for the half year ended 30 September 2025,0.284504,Somewhat-Bullish,NFLX
2025-11-19 21:10:26,"Major League Baseball announces new media rights deals for NBC, ESPN and Netflix",0.132659,Neutral,NFLX
2025-11-19 14:30:03,Netflix  ( NFLX )  Is Considered a Good Investment by Brokers: Is That True?,0.277035,Somewhat-Bullish,NFLX
2025-11-19 13:18:00,MercadoLibre vs Amazon: Which E-Commerce Giant Stock Has More Upside?,0.302883,Somewhat-Bullish,NFLX
2025-11-19 12:52:30,"Nvidia, Netflix, Lockheed Martin And A Basic Materials Stock On CNBC's 'Final Trades' - Lockheed Martin  ( NYSE:LMT ) , Freeport-McMoRan  ( NYSE:FCX ) ",0.273522,Somewhat-Bullish,NFLX
2025-11-19 09:30:00,"If You'd Invested $10,000 in Netflix  ( NFLX )  10 Years Ago, Here's How Much You'd Have Today",0.402413,Bullish,NFLX
2025-11-18 23:34:00,Netflix Stock Price Lowers After 10-for-1 Split: Hold or Fold Now?  ( revised ) ,0.316187,Somewhat-Bullish,NFLX
2025-11-18 20:34:29,"Tech Stocks Are Down, But Netflix Is Up: What's Going On? - Netflix  ( NASDAQ:NFLX ) ",0.129338,Neutral,NFLX
2025-11-18 18:48:00,Sandbox VR Opens First Michigan Location on November 28,0.24813,Somewhat-Bullish,NFLX
2025-11-18 18:35:00,"Is the ""Santa Rally"" Cancelled This Year?",0.076597,Neutral,NFLX
2025-11-18 18:06:00,Netflix Stock Drops 90% After Its 10-for-1 Split: Hold or Fold Now?,0.298526,Somewhat-Bullish,NFLX
2025-11-18 17:42:38,Netflix Stock Slump Deepens Amid Deal Strategy Concerns - Netflix  ( NASDAQ:NFLX ) ,0.260303,Somewhat-Bullish,NFLX
2025-11-18 16:00:00,"ACCELERATION COMMUNITY OF COMPANIES  ( ACC )  LAUNCHES PMK ENTERTAINMENT, WELCOMES FORMER R&CPMK EMPLOYEES AND CLIENTS TO INTEGRATED NETWORK",0.467604,Bullish,NFLX
2025-11-18 14:26:00,TTD vs. GOOGL: Which Ad Tech Stock Is the Better Pick for Now?,0.287138,Somewhat-Bullish,NFLX
2025-11-18 14:00:04,"Netflix, Inc.  ( NFLX )  Is a Trending Stock: Facts to Know Before Betting on It",0.239686,Somewhat-Bullish,NFLX
2025-11-18 13:00:01,Netflix is finally leaning into a key piece of the media playbook: Merchandising,0.211671,Somewhat-Bullish,NFLX
2025-11-18 08:00:00,Netflix's Stock Just Did Something It Hasn't Done Since 2015,0.252199,Somewhat-Bullish,NFLX
2025-11-17 17:40:53,"Alphabet Rallies To Record Highs, Bitcoin Falters At $94,000 - NVIDIA  ( NASDAQ:NVDA ) ",0.079485,Neutral,NFLX
2025-11-17 16:59:45,What's Going On With Netflix Stock? - Netflix  ( NASDAQ:NFLX ) ,0.033304,Neutral,NFLX
2025-11-17 16:19:51,"Goodbye Nvidia, Hello Microsoft: Halvorsen's Big Q3 Hedge Fund Pivot - DraftKings  ( NASDAQ:DKNG ) , Microsoft  ( NASDAQ:MSFT ) , NVIDIA  ( NASDAQ:NVDA ) , PNC Financial Services Gr  ( NYSE:PNC ) ",0.113939,Neutral,NFLX
2025-11-17 14:52:45,Nvidia and 19 Other Stocks Now Make Up 50% of the S&P 500. Here's What It Means for Your Investment Portfolio.,0.18357,Somewhat-Bullish,NFLX
2025-11-17 14:41:00,Can Netflix House Revive Dead Mall Spaces And Boost Brand Loyalty?,0.167592,Somewhat-Bullish,NFLX
2025-11-17 14:30:00,"Meet the Newest Stock-Split Stock in the S&P 500 -- Up 97,000% Since Its IPO and a Buy Now, According to Wall Street",0.224156,Somewhat-Bullish,NFLX
2025-11-17 10:05:00,Is Netflix Stock a Buy After Its 10-for-1 Stock Split?,0.320153,Somewhat-Bullish,NFLX
2025-11-17 08:06:00,"Wall Street's Biggest Stock Split of the Year Has Arrived -- and This Nearly 97,000%-Gainer Is Miles Ahead of Its Competition",0.106422,Neutral,NFLX
2025-11-16 18:31:00,The Netflix Stock Split Is Here. Are Shares Still a Buy?,0.327058,Somewhat-Bullish,NFLX
2025-11-16 14:07:00,ADCOLOR Announces Winners and Honorees of the 19th Annual ADCOLOR Awards,0.504708,Bullish,NFLX
