time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 22:45:03,Nike  ( NKE )  Dips More Than Broader Market: What You Should Know,0.075726,Neutral,NKE
2025-11-20 19:49:42,Leap Expands Marketing & Analytics Solution with New Key Leaders to Drive Growth,0.452813,Bullish,NKE
2025-11-20 14:38:00,NIKE vs Steven Madden: How Two Footwear Leaders Stack Up for Investors,0.360466,Bullish,NKE
2025-11-20 14:00:06,"NIKE, Inc.  ( NKE )  is Attracting Investor Attention: Here is What You Should Know",0.221671,Somewhat-Bullish,NKE
2025-11-20 12:00:00,"WeShop Launches in the U.S. After Strong Nasdaq Debut, Allowing Users to Earn Ownership through their Shopping - WeShop Holdings  ( NASDAQ:WSHP ) ",0.376268,Bullish,NKE
2025-11-20 09:41:00,"Sinking 48%, Is Lululemon a Buying Opportunity?",0.090187,Neutral,NKE
2025-11-19 16:23:00,"Margins Under Fire: Can NIKE's ""Win Now"" Actions Bring Long-Term Gains?",0.194692,Somewhat-Bullish,NKE
2025-11-19 15:14:41,International Poverty Forum Sends First of Several Containers of Emergency Relief Supplies to Jamaica Following Devastating Storms,0.299814,Somewhat-Bullish,NKE
2025-11-19 13:00:00,Fold Launches Affiliate Program as Bitcoin Gift Card Gains Momentum on Holiday Gift Guides - Fold Holdings  ( NASDAQ:FLD ) ,0.414639,Bullish,NKE
2025-11-18 17:52:10,Academy Sports Expands Into Five New Markets - Academy Sports  ( NASDAQ:ASO ) ,0.263549,Somewhat-Bullish,NKE
2025-11-18 16:00:00,"ACCELERATION COMMUNITY OF COMPANIES  ( ACC )  LAUNCHES PMK ENTERTAINMENT, WELCOMES FORMER R&CPMK EMPLOYEES AND CLIENTS TO INTEGRATED NETWORK",0.467604,Bullish,NKE
2025-11-18 13:02:00,SiriusXM Appoints Zac Coughlin as Chief Financial Officer - Sirius XM Holdings  ( NASDAQ:SIRI ) ,0.054067,Neutral,NKE
2025-11-18 10:15:00,"Nike and Apple Both Went Public 45 Years Ago. Here's How Much $1,000 in Each Would Be Worth Today.",0.184931,Somewhat-Bullish,NKE
2025-11-17 23:48:01,Steph Curry Spotted In Nike Sneakers After Under Armour Split - Nike  ( NYSE:NKE ) ,0.149329,Neutral,NKE
2025-11-17 13:02:00,Kohler Unveils Pearlized Finish Artist Editions Sink at Design Miami with Immersive Installation by Harry Nuriev of Crosby Studios,0.307916,Somewhat-Bullish,NKE
2025-11-16 23:32:00,Fintech Stocks Are on Sale. This One Looks Like a Screaming Buy.,0.116511,Neutral,NKE
2025-11-14 14:30:04,Wall Street Bulls Look Optimistic About Nike  ( NKE ) : Should You Buy?,0.288783,Somewhat-Bullish,NKE
2025-11-14 12:00:02,"Fewer burritos, more bargains: Consumers flash holiday warning signs",0.179833,Somewhat-Bullish,NKE
2025-11-14 11:09:00,Why Is Wall Street So Bearish on Lululemon Athletica? There's 1 Key Reason.,0.177302,Somewhat-Bullish,NKE
2025-11-14 09:50:00,"""The Big Short's"" Michael Burry Is Betting Against Palantir and Nvidia and Buying 1 Beaten Down Apparel Stock Instead",0.161832,Somewhat-Bullish,NKE
2025-11-13 22:21:42,Why On Holding Stock Shot Up 20% This Week,0.229683,Somewhat-Bullish,NKE
2025-11-13 16:34:48,What's Sending On Holding Stock Sharply Higher This Week?,0.161212,Somewhat-Bullish,NKE
2025-11-13 15:02:18,Market Whales and Their Recent Bets on NKE Options - Nike  ( NYSE:NKE ) ,0.135842,Neutral,NKE
2025-11-12 22:45:03,Nike  ( NKE )  Surpasses Market Returns: Some Facts Worth Knowing,0.147434,Neutral,NKE
2025-11-12 20:06:38,Skims valued at $5 billion after new funding round as it accelerates store expansion,0.16498,Somewhat-Bullish,NKE
2025-11-12 19:55:43,"15 Stocks To Consider Buying For The Supreme Court Ruling On Trump's Tariffs - Alcoa  ( NYSE:AA ) , Apple  ( NASDAQ:AAPL ) ",0.092915,Neutral,NKE
2025-11-12 18:26:44,"Zendaya, Federer, And LightSpray: What's Fueling On's 20% Surge After Blowout Q3 - On Holding  ( NYSE:ONON ) ",0.077878,Neutral,NKE
2025-11-12 14:15:00,"StockX Rolls Out Latest Big Facts Report, Revealing Top Resale Trends in 2025",0.225112,Somewhat-Bullish,NKE
2025-11-12 00:00:00,Nike: Can the Iconic Brand Overcome Its Recent Struggles?,0.027278,Neutral,NKE
2025-11-11 18:52:00,Is International Growth Enough to Keep lululemon Stock in Motion?,0.356697,Bullish,NKE
2025-11-11 17:52:06,Why Nike's Price Dip Could Mean Bigger Profits Ahead - Nike  ( NYSE:NKE ) ,0.294835,Somewhat-Bullish,NKE
2025-11-11 16:00:00,China's Singles' Day Puts These ETFs in Focus,0.206793,Somewhat-Bullish,NKE
2025-11-11 15:05:31,Insider Move: VIG JORGEN KNUDSTORP Invests $1.00M In Nike Stock - Nike  ( NYSE:NKE ) ,0.271173,Somewhat-Bullish,NKE
2025-11-11 14:16:30,Seaport Entertainment  ( SEG )  Earnings Transcript,0.28563,Somewhat-Bullish,NKE
2025-11-10 22:06:00,Stocks to Watch for the First Trillion Dollar Holiday Shopping Season,0.247314,Somewhat-Bullish,NKE
2025-11-10 17:15:00,"Jordan, Converse & More: Can NIKE's Brand Trio Fire on All Cylinders?",0.455307,Bullish,NKE
2025-11-10 13:30:00,Roper Technologies strengthens AI leadership with key executive appointments,0.229588,Somewhat-Bullish,NKE
2025-11-09 12:27:00,What Roblox Could Look Like in 5 Years,0.300253,Somewhat-Bullish,NKE
2025-11-06 17:36:00,NIKE's Premium Valuation: Overpriced Stock or Long-Term Value Bet?,0.209535,Somewhat-Bullish,NKE
2025-11-06 16:04:24,Spotlight on Nike: Analyzing the Surge in Options Activity - Nike  ( NYSE:NKE ) ,0.120286,Neutral,NKE
2025-11-06 14:40:00,Strength Seen in Caleres Inc.  ( CAL ) : Can Its 9.4% Jump Turn into More Strength?,0.39384,Bullish,NKE
2025-11-06 14:00:05,"NIKE, Inc.  ( NKE )  Is a Trending Stock: Facts to Know Before Betting on It",0.22845,Somewhat-Bullish,NKE
2025-11-06 14:00:00,Outlets of Mississippi to Host High-Flying Holiday Event to Assist Veterans,0.224454,Somewhat-Bullish,NKE
2025-11-06 12:00:00,"TNL Mediagene  ( NASDAQ: TNMG ) , as Lead Partner of TechGALA Japan 2026, Announces Keynote Speakers of TechGALA Japan 2026 - TNL Mediagene  ( NASDAQ:TNMG ) ",0.222544,Somewhat-Bullish,NKE
2025-11-06 07:52:00,Big Tech Breaks the Bank for AI,0.144772,Neutral,NKE
2025-11-06 05:00:09,Zalando's diversity and inclusion advances are by design,0.212857,Somewhat-Bullish,NKE
2025-11-05 19:22:23,Why Nike Stock Pushed Higher Wednesday - Nike  ( NYSE:NKE ) ,0.297353,Somewhat-Bullish,NKE
2025-11-04 18:06:00,NIKE's 'Sport Offense' Revamp: A Cultural Shift or a Tactical Fix?,0.419219,Bullish,NKE
2025-11-03 22:45:04,Nike  ( NKE )  Stock Drops Despite Market Gains: Important Facts to Note,0.128672,Neutral,NKE
2025-11-01 22:18:08,Columbia Sportswear  ( COLM )  Q3 2025 Earnings Call Transcript,0.26482,Somewhat-Bullish,NKE
