time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 13:42:13,"Nvidia At $20 Trillion Isn't Crazy, Says Kindig - It's A Logical Outcome Of AI Spend - NVIDIA  ( NASDAQ:NVDA ) ",0.02108,Neutral,NVDA
2025-11-21 13:37:41,"The Phantom Debt Trap: How $1.2 Trillion in Hidden Consumer Debt Triggered Thursday's Market Crash - Nasdaq  ( NASDAQ:NDAQ ) , iShares S&P 500 Index Fund  ( ARCA:IVV ) ",-0.070737,Neutral,NVDA
2025-11-21 13:35:51,"Robinhood shares head for brutal weekly loss as bitcoin, AI stocks are hit hard",0.122822,Neutral,NVDA
2025-11-21 13:34:04,Nvidia's Strong Earnings Despite AI Bubble Fears Spark Intrigue Toward REX Shares' Synthetically Leveraged NVDX ETF - T-Rex 2X Long NVIDIA Daily Target ETF  ( BATS:NVDX ) ,0.079752,Neutral,NVDA
2025-11-21 13:04:49,"Nvidia CEO Jensen Huang Slams Market's Lacklustre Reaction To Blowout Quarter As AI Jitters Hit Stock: Report - Meta Platforms  ( NASDAQ:META ) , Amazon.com  ( NASDAQ:AMZN ) ",0.122675,Neutral,NVDA
2025-11-21 13:00:00,ETFs to Play Amid Rising AI Bubble Concerns,0.048429,Neutral,NVDA
2025-11-21 12:52:43,What's Going On With Taiwan Semiconductor Stock Friday? - Taiwan Semiconductor  ( NYSE:TSM ) ,0.174749,Somewhat-Bullish,NVDA
2025-11-21 12:45:00,NVDA vs. TSM: Which Stock Offers More Upside in Semiconductor Space?,0.249261,Somewhat-Bullish,NVDA
2025-11-21 12:00:00,Nvidia Earnings: Is the Central Bank of the AI Revolution Still a Buy After Q3 Results?,0.134902,Neutral,NVDA
2025-11-21 12:00:00,AI Bubble Fears Are Overblown - Here's What Happens Next,0.193155,Somewhat-Bullish,NVDA
2025-11-21 11:32:00,Buy These 3 MFS Mutual Funds for Superior Returns,0.370387,Bullish,NVDA
2025-11-21 11:30:00,Nvidia CEO Jensen Huang Just Delivered Incredible News for Palantir Stock Investors,0.172295,Somewhat-Bullish,NVDA
2025-11-21 11:20:03,Is Nuveen ESG Large-Cap Growth ETF  ( NULG )  a Strong ETF Right Now?,0.316871,Somewhat-Bullish,NVDA
2025-11-21 11:18:45,"What's Going On With Intel Stock Friday? - Intel  ( NASDAQ:INTC ) , Taiwan Semiconductor  ( NYSE:TSM ) ",0.088677,Neutral,NVDA
2025-11-21 11:15:00,This Is the Most Overlooked Semiconductor Stock Powering the Artificial Intelligence  ( AI )  Infrastructure Boom,0.213503,Somewhat-Bullish,NVDA
