time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 13:04:49,"Nvidia CEO Jensen Huang Slams Market's Lacklustre Reaction To Blowout Quarter As AI Jitters Hit Stock: Report - Meta Platforms  ( NASDAQ:META ) , Amazon.com  ( NASDAQ:AMZN ) ",0.122675,Neutral,ORCL
2025-11-21 08:59:00,"'Why Are Stocks Falling?': Top Analyst Issues Bombshell Warning As Volatility Hits Wall Street - Alphabet  ( NASDAQ:GOOG ) , Amazon.com  ( NASDAQ:AMZN ) ",0.026598,Neutral,ORCL
2025-11-21 08:07:56,Salesforce Cuts Off Gainsight App Access After Detecting Data Exposure Risk-Mandiant Launches Investigation - Salesforce  ( NYSE:CRM ) ,-0.055301,Neutral,ORCL
2025-11-21 02:18:29,"Dan Ives Says This Is Not An 'AI Bubble,' Calls Nvidia's Quarter A 'Masterpiece': Ross Gerber Says He's Not 'Buying' The Jobs Report - Microsoft  ( NASDAQ:MSFT ) , NVIDIA  ( NASDAQ:NVDA ) ",-0.064897,Neutral,ORCL
2025-11-20 18:00:50,How Do Investors Really Feel About Oracle Corp? - Oracle  ( NYSE:ORCL ) ,0.276201,Somewhat-Bullish,ORCL
2025-11-20 14:14:48,"Nvidia Sends A $57 Billion Message: The AI Race Is Now A One-Horse Race - Microsoft  ( NASDAQ:MSFT ) , Meta Platforms  ( NASDAQ:META ) ",0.171314,Somewhat-Bullish,ORCL
2025-11-20 11:20:02,Is Invesco S&P 100 Equal Weight ETF  ( EQWL )  a Strong ETF Right Now?,0.200123,Somewhat-Bullish,ORCL
2025-11-20 08:22:00,Could Palantir Be the Next Artificial Intelligence  ( AI )  Stock to Hit a Trillion-Dollar Valuation?,0.26223,Somewhat-Bullish,ORCL
2025-11-20 00:00:00,Bitcoin futures traders refuse to capitulate even as BTC price drop to $89K,-0.082985,Neutral,ORCL
2025-11-19 23:05:57,AI Bubble Worries Are Rising. Nvidia's $31.9 Billion Profit Says Otherwise.,0.10867,Neutral,ORCL
2025-11-19 21:00:44,P/E Ratio Insights for Oracle - Oracle  ( NYSE:ORCL ) ,0.197291,Somewhat-Bullish,ORCL
2025-11-19 20:02:15,Spotlight on Oracle: Analyzing the Surge in Options Activity - Oracle  ( NYSE:ORCL ) ,0.222951,Somewhat-Bullish,ORCL
2025-11-19 14:00:06,Oracle Corporation  ( ORCL )  Is a Trending Stock: Facts to Know Before Betting on It,0.230939,Somewhat-Bullish,ORCL
2025-11-19 11:20:00,Why It's Great News For Nvidia Stock That Jeff Bezos Will Co-Lead the New AI Start-Up Project Prometheus,0.20767,Somewhat-Bullish,ORCL
2025-11-19 10:44:00,Is This Underrated Artificial Intelligence  ( AI )  Infrastructure Stock the Next Nvidia?,0.171012,Somewhat-Bullish,ORCL
2025-11-18 18:56:00,10 Years Later: 5 Lesser-Known Rule Breakers,0.192373,Somewhat-Bullish,ORCL
2025-11-18 15:15:00,What Are the 3 Top Artificial Intelligence  ( AI )  Stocks to Buy Right Now?,0.281421,Somewhat-Bullish,ORCL
2025-11-18 09:41:00,"The Zacks Analyst Blog Highlights Oracle, Costco Wholesale, Cisco Systems, Universal Health Realty Income Trust",0.361215,Bullish,ORCL
2025-11-18 02:48:57,"Amazon Raises $15 Billion In Oversubscribed Bond Sale Amid Surging AI Cost - Goldman Sachs Group  ( NYSE:GS ) , Amazon.com  ( NASDAQ:AMZN ) ",0.153504,Somewhat-Bullish,ORCL
2025-11-17 22:45:04,Oracle  ( ORCL )  Falls More Steeply Than Broader Market: What Investors Need to Know,0.181569,Somewhat-Bullish,ORCL
2025-11-17 22:06:00,"Top Analyst Reports for Oracle, Costco & Cisco",0.41386,Bullish,ORCL
2025-11-17 17:15:02,"Micron, Nvidia, Apple Among Q3's 'Hot List' As Hedge Funds Load Up On Tech All Over Again - ASML Holding  ( NASDAQ:ASML ) ",0.092678,Neutral,ORCL
2025-11-17 14:21:00,"Stock Market News for Nov 17, 2025",-0.113352,Neutral,ORCL
2025-11-17 14:10:00,Should You Buy the Dip in AI Stocks? Dan Ives Thinks So.,0.17432,Somewhat-Bullish,ORCL
2025-11-17 09:58:25,"Steve Eisman Disagrees With Michael Burry On AI Depreciation Math: 'Don't Think His Concerns Matter That Much' - Meta Platforms  ( NASDAQ:META ) , NVIDIA  ( NASDAQ:NVDA ) ",-0.017017,Neutral,ORCL
2025-11-17 08:25:00,Billionaire David Tepper Just Sold Out of Intel and Piled Into This Consumer Goods Giant That's Been Hit By Tariffs,0.062279,Neutral,ORCL
2025-11-16 19:46:37,Oracle's AI Strategy Shake-Up Sparks Market Jitters As Shares Plunge 25% - Oracle  ( NYSE:ORCL ) ,0.121177,Neutral,ORCL
2025-11-16 09:15:00,2 Top Artificial Intelligence  ( AI )  Stocks to Buy in November,0.420024,Bullish,ORCL
2025-11-15 18:15:00,"Meet the Unstoppable Stock That Could Join Apple, Nvidia, Microsoft, Alphabet, Amazon, Meta, and Taiwan Semiconductor in the $1 Trillion Club by 2030.",0.302984,Somewhat-Bullish,ORCL
2025-11-15 10:01:00,Should You Buy Oracle Stock Before Dec. 8?,0.120197,Neutral,ORCL
2025-11-15 09:44:00,Why I Just Bought More of This 8%-Yielding Dividend Stock,0.31632,Somewhat-Bullish,ORCL
2025-11-14 19:44:14,"Warner Bros Discovery Rallies on Strategic Review, Potential Bids from Paramount, Comcast And Netflix - Warner Bros. Discovery  ( NASDAQ:WBD ) ",0.248417,Somewhat-Bullish,ORCL
2025-11-14 17:38:19,"4 Winners To Consider Selling As Markets Get Volatile - Meta Platforms  ( NASDAQ:META ) , Robinhood Markets  ( NASDAQ:HOOD ) ",0.048182,Neutral,ORCL
2025-11-14 10:50:00,1 Top Growth Stock Down 8% to Buy After Its Recent Pullback,0.16472,Somewhat-Bullish,ORCL
2025-11-13 22:06:48,"David Tepper's Hedge Funds Bets On AMD, Nvidia In Q3, Takes Profits On Intel - Advanced Micro Devices  ( NASDAQ:AMD ) , American Airlines Group  ( NASDAQ:AAL ) ",0.118021,Neutral,ORCL
2025-11-13 18:56:41,"Nasdaq 100 Eyes Worst November Since 2008 As AI Boom Hits A Wall - CoreWeave  ( NASDAQ:CRWV ) , GE Vernova  ( NYSE:GEV ) ",-0.033906,Neutral,ORCL
