time_published,title,sentiment_score,sentiment_label,ticker
2025-11-19 19:19:00,Can Consumer Conservatism Stall Procter & Gamble's Premiumization Push?,0.558124,Bullish,PG
2025-11-19 14:15:00,Don't Give Up on Dividend Stocks. 5 Dividend Kings Down Between 5% and 33% to Buy in November,0.264236,Somewhat-Bullish,PG
2025-11-19 13:00:00,Former DOJ CIO Melinda Rogers Joins Axonius Federal Systems Board,0.300414,Somewhat-Bullish,PG
2025-11-18 09:02:00,The Stock Market Flashes a Warning as Investors Get Bad News About President Trump's Tariffs,-0.097525,Neutral,PG
2025-11-17 23:20:09,"Marjorie Taylor Greene Goes Bargain Shopping, Discloses Buying These Two Stocks At 52-Week Lows - Paychex  ( NASDAQ:PAYX ) ",0.183081,Somewhat-Bullish,PG
2025-11-17 18:45:00,Consumer Brands Shake Things Up...With Mergers,0.0971,Neutral,PG
2025-11-17 18:01:53,Market Whales and Their Recent Bets on Procter & Gamble Options - Procter & Gamble  ( NYSE:PG ) ,0.178836,Somewhat-Bullish,PG
2025-11-16 14:07:00,ADCOLOR Announces Winners and Honorees of the 19th Annual ADCOLOR Awards,0.504708,Bullish,PG
2025-11-15 09:35:00,The Smartest Dividend Stocks to Buy With $500 Right Now,0.401098,Bullish,PG
2025-11-15 08:06:00,The S&P 500 Just Did Something That Was Last Witnessed Less Than a Year Before the Dot-Com Bubble Burst -- and History Is Clear What Comes Next for Stocks,0.112469,Neutral,PG
2025-11-14 18:45:42,Which Consumer Staples ETF Is the Better Buy: XLP or RSPS?,0.135424,Neutral,PG
2025-11-14 17:11:27,XLP vs. IYK: Which is the Better Consumer Staples ETF?,0.161812,Somewhat-Bullish,PG
2025-11-14 14:00:00,"PureCycle, Churchill Container Win U.S. Plastics Pact Sustainable Packaging Innovation Award for PCR Content",0.166573,Somewhat-Bullish,PG
2025-11-13 15:24:00,"The Zacks Analyst Blog Highlights Apple, Procter & Gamble and UnitedHealth",0.24742,Somewhat-Bullish,PG
2025-11-13 13:02:00,Diwali at Times Square Shines Bright in Its 10th Anniversary Celebration In North America,0.603006,Bullish,PG
2025-11-12 21:15:00,"Top Analyst Reports for Apple, Procter & Gamble and UnitedHealth",0.282391,Somewhat-Bullish,PG
2025-11-12 19:43:03,VDC vs. FSTA: Vanguard ETF Tops Fidelity on Size and Duration,0.184689,Somewhat-Bullish,PG
2025-11-12 17:32:00,"Procter & Gamble Trades Near 52-Week Low: Buy, Hold or Sell?",0.207642,Somewhat-Bullish,PG
2025-11-10 18:05:00,"PG Sees North America Slowdown, China Rebound: Can It Realign Growth?",0.432896,Bullish,PG
2025-11-10 15:00:18,Recent Report Shows That Rep. Marjorie Taylor Greene Bought Up to $50K Worth of Procter & Gamble Stock - Procter & Gamble  ( NYSE:PG ) ,0.147763,Neutral,PG
2025-11-10 14:00:03,Is Trending Stock Procter & Gamble Company  ( The )   ( PG )  a Buy Now?,0.201791,Somewhat-Bullish,PG
2025-11-10 09:15:00,"Got $1,000? Here Are the Smartest Dividend Stocks to Start With.",0.196234,Somewhat-Bullish,PG
2025-11-06 20:21:48,E.l.f. Beauty's China Problem: Tariffs And High Valuations Threaten ETF Portfolios - e.l.f. Beauty  ( NYSE:ELF ) ,-0.019555,Neutral,PG
2025-11-05 20:28:00,EBONY Marks 80 Years of Achievement at the 2025 Power 100 Gala and Honors Special Honorees on November Cover,0.511653,Bullish,PG
2025-11-05 17:52:00,E-Commerce Momentum Builds: Is Digital PG's Next Growth Engine?,0.318127,Somewhat-Bullish,PG
2025-11-05 17:30:00,"[Latest] Global Floor POP Display Market Size/Share Worth USD 9.1 Billion by 2034 at a 6.2% CAGR: Custom Market Insights  ( Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth Rate, Value, SWOT Analysis ) ",0.210824,Somewhat-Bullish,PG
2025-11-04 19:29:37,Papa John's sinks nearly 20% on report Apollo withdrew its offer to take chain private,0.009594,Neutral,PG
