time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 14:00:00,Why Sigma Lithium Rallied This Week,0.075991,Neutral,SPGI
2025-11-21 13:35:41,Why Shares of XPeng Drove Lower This Week,0.363167,Bullish,SPGI
2025-11-20 17:30:00,Five Star Bank's CEO James Beckwith named Sacramentan of the Year,0.336741,Somewhat-Bullish,SPGI
2025-11-20 06:31:00,Valeo Unveils Elevate 2028,0.345416,Somewhat-Bullish,SPGI
2025-11-19 18:51:52,"All It Takes Is $2,500 Invested in This Quantum Stock",0.256031,Somewhat-Bullish,SPGI
2025-11-19 11:34:34,"Strategy rides out Bitcoin crash, still on track for S&P 500 spot: Matrixport",0.199446,Somewhat-Bullish,SPGI
2025-11-19 11:20:03,Is SPDR S&P Global Dividend ETF  ( WDIV )  a Strong ETF Right Now?,0.293025,Somewhat-Bullish,SPGI
2025-11-18 09:10:00,Is Oklo the Next Millionaire-Maker Nuclear Stock?,0.159337,Somewhat-Bullish,SPGI
2025-11-18 02:41:00,Firefly's a Buy After Doubling Sales in Q3,0.131251,Neutral,SPGI
2025-11-17 18:19:42,Why Sigma Lithium Stock Exploded Higher Today,0.335586,Somewhat-Bullish,SPGI
2025-11-17 17:56:00,Thrivent Expands ETF Product Suite with Mid Cap Value and Small Cap Value Fund Conversions,0.399799,Bullish,SPGI
2025-11-17 17:34:00,Why Sociedad Quimica Stock Powered Higher Today,0.240957,Somewhat-Bullish,SPGI
2025-11-17 16:56:34,Why Lithium Americas Stock Powered Higher Today,0.25365,Somewhat-Bullish,SPGI
2025-11-17 15:40:10,Why Standard Lithium Stock Powered Up Today,0.182751,Somewhat-Bullish,SPGI
2025-11-17 13:10:00,"The Best Warren Buffett Stocks to Buy With $2,500 Right Now",0.359828,Bullish,SPGI
2025-11-17 12:00:01,Jeep eyes U.S. comeback following yearslong sales troubles,0.109451,Neutral,SPGI
2025-11-17 12:00:00,"Curbee Releases ""The16"" Report: The Case for Mobile Service",0.404412,Bullish,SPGI
2025-11-16 11:06:00,SpaceX Changed the Economics of Spaceflight. Now It's Doing the Same Thing to Satellite Cost.,-0.071139,Neutral,SPGI
2025-11-16 09:23:00,These 2 Dividend ETFs Are a Retiree's Best Friend,0.223536,Somewhat-Bullish,SPGI
2025-11-15 13:08:00,"With Just 7 Weeks Left in 2025, Rocket Lab Still Aims for 20+ Launches",0.091372,Neutral,SPGI
2025-11-15 11:06:00,Intuitive Machines Is  ( Almost )  a Billion-Dollar Space Business,0.163373,Somewhat-Bullish,SPGI
2025-11-15 09:44:00,Why I Just Bought More of This 8%-Yielding Dividend Stock,0.31632,Somewhat-Bullish,SPGI
2025-11-15 08:06:00,The S&P 500 Just Did Something That Was Last Witnessed Less Than a Year Before the Dot-Com Bubble Burst -- and History Is Clear What Comes Next for Stocks,0.112469,Neutral,SPGI
2025-11-14 23:10:48,Why Shares of Barrick Mining Jumped Close to 12% This Week,0.200048,Somewhat-Bullish,SPGI
2025-11-14 22:59:22,Why Lyft Stock Cruised to a 5% Gain This Week,0.296964,Somewhat-Bullish,SPGI
2025-11-14 22:26:50,Why Gemini Space Station Stock Fell by Almost 22% This Week,0.017005,Neutral,SPGI
2025-11-14 22:22:09,Why eToro Group Stock Shot Up 16.1% This Week,0.381355,Bullish,SPGI
2025-11-14 21:36:53,Why Monday.com Stock Plummeted by 15% This Week,0.085148,Neutral,SPGI
2025-11-14 21:28:16,Why CoreWeave Stock Collapsed 25.4% This Week,0.116446,Neutral,SPGI
2025-11-14 21:17:43,Why BigBear.ai Holdings Stock Was Racing Higher This Week,0.104416,Neutral,SPGI
2025-11-14 17:53:05,Why EV Maker XPeng Stock Soared This Week,0.250009,Somewhat-Bullish,SPGI
2025-11-14 17:39:43,Why Did QuantumScape Stock Crash This Week?,0.20058,Somewhat-Bullish,SPGI
2025-11-14 14:57:14,Why AI Infrastructure Stock Iren Limited Got Crushed This Week,0.162182,Somewhat-Bullish,SPGI
2025-11-14 14:10:00,Why Shares of NuScale Power Are Crashing This Week,0.067302,Neutral,SPGI
2025-11-14 13:30:04,Here's How Much You'd Have If You Invested $1000 in S&P Global a Decade Ago,0.39121,Bullish,SPGI
2025-11-14 12:00:00,6 Dividend ETFs Under $50 to Buy Now,0.181478,Somewhat-Bullish,SPGI
2025-11-14 11:50:00,The Best Healthcare Stock to Hold in Uncertain Times,0.074557,Neutral,SPGI
2025-11-14 05:00:11,US electric vehicle sales slow as Trump champions petrol,0.059836,Neutral,SPGI
2025-11-14 03:48:21,Hiring gets back its mojo as India's job index rises to 53.8 in 2025,0.328523,Somewhat-Bullish,SPGI
2025-11-13 23:07:00,Why Shares of Rigetti Computing Are Sinking Lower This Week,-0.060173,Neutral,SPGI
2025-11-13 22:59:33,CaliberCos  ( CWD )  Q3 2025 Earnings Call Transcript,0.312842,Somewhat-Bullish,SPGI
2025-11-13 22:21:42,Why On Holding Stock Shot Up 20% This Week,0.229683,Somewhat-Bullish,SPGI
2025-11-13 21:45:00,Hard Rock Casino Tejon Officially Opens in California's Central Valley,0.227711,Somewhat-Bullish,SPGI
