time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 13:10:53,What's Going On With Polar Power Stock Friday? - Polar Power  ( NASDAQ:POLA ) ,0.207474,Somewhat-Bullish,TSLA
2025-11-21 11:18:00,"ARDT SHAREHOLDERS: A Securities Investigation into Ardent Health, Inc. has been Initiated on behalf of Investors -- Contact BFA Law if You Suffered Losses - Ardent Health  ( NYSE:ARDT ) ",0.261003,Somewhat-Bullish,TSLA
2025-11-21 11:08:00,GRND SHAREHOLDERS: An Investigation into the Grindr Inc. $18 Take Private Sale has been Initiated on behalf of Shareholders -- Contact BFA Law - Grindr  ( NYSE:GRND ) ,0.182461,Somewhat-Bullish,TSLA
2025-11-21 11:08:00,MLTX SHAREHOLDERS: A Securities Class Action against MoonLake Immunotherapeutics has been Filed on behalf of Investors -- Contact BFA Law by December 15 - MoonLake  ( NASDAQ:MLTX ) ,0.185344,Somewhat-Bullish,TSLA
2025-11-21 11:08:00,"SNPS SHAREHOLDERS: A Securities Class Action against Synopsys, Inc. has been Filed on behalf of Investors -- Contact BFA Law by December 30 if You Suffered Losses - Synopsys  ( NASDAQ:SNPS ) ",0.140349,Neutral,TSLA
2025-11-21 11:08:00,"KMX SHAREHOLDERS: A Securities Class Action against CarMax, Inc. has been Filed on behalf of Investors -- Contact BFA Law by January 2 if You Suffered Losses - CarMax  ( NYSE:KMX ) ",0.043939,Neutral,TSLA
2025-11-21 11:08:00,"LRN SHAREHOLDERS: A Securities Class Action against Stride, Inc. has been Filed on behalf of Investors -- Contact BFA Law by January 12 if You Suffered Losses - Stride  ( NYSE:LRN ) ",0.039131,Neutral,TSLA
2025-11-21 11:08:00,"INSP SHAREHOLDERS: A Securities Class Action against Inspire Medical Systems, Inc. has been Filed on behalf of Investors -- Contact BFA Law by January 5 if You Suffered Losses - Inspire Medical Systems  ( NYSE:INSP ) ",0.278673,Somewhat-Bullish,TSLA
2025-11-21 11:08:00,JHX SHAREHOLDERS: James Hardie Industries plc CFO Steps Down - Investors with Losses Reminded of Pending Lawsuit and to Contact BFA Law by December 23 - James Hardie Industries  ( NYSE:JHX ) ,0.110184,Neutral,TSLA
2025-11-21 11:08:00,WESFX SHAREHOLDERS: A Securities Class Action against Wildermuth Fund has been Filed on behalf of Investors -- Contact BFA Law by December 29 if You Suffered Losses,0.167163,Somewhat-Bullish,TSLA
2025-11-21 11:08:00,FCX SHAREHOLDERS: A Securities Class Action against Freeport-McMoRan Inc. has been Filed on behalf of Investors -- Contact BFA Law by January 12 if You Suffered Losses - Freeport-McMoRan  ( NYSE:FCX ) ,0.070716,Neutral,TSLA
2025-11-21 11:07:00,JEF SHAREHOLDERS: A Securities Investigation into Jefferies Financial Group Inc. has been Initiated on behalf of Investors -- Contact BFA Law if You Suffered Losses - Jefferies Financial Gr  ( NYSE:JEF ) ,0.135685,Neutral,TSLA
2025-11-21 10:10:00,What every Nio Investor Should Know Before Buying,0.176226,Somewhat-Bullish,TSLA
2025-11-21 09:10:32,"Musk Warns AI Must Value 'Truth And Beauty' As He Predicts Humanoid Robots From Tesla, Others Will Eliminate Global Poverty - Tesla  ( NASDAQ:TSLA ) ",0.380235,Bullish,TSLA
2025-11-21 07:52:20,"Tesla To Expand Rental Program Across Multiple US Cities With Unlimited Miles, Free Supercharging From $60/Day - Tesla  ( NASDAQ:TSLA ) ",0.219269,Somewhat-Bullish,TSLA
