time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 19:00:29,What Does the Market Think About Texas Instruments Inc? - Texas Instruments  ( NASDAQ:TXN ) ,0.276201,Somewhat-Bullish,TXN
2025-11-20 18:14:17,"4 High-Quality International Stocks To Consider As AI Rally Falters - PLDT  ( NYSE:PHI ) , POSCO Holdings  ( NYSE:PKX ) ",0.195055,Somewhat-Bullish,TXN
2025-11-20 16:30:09,Why Is Texas Instruments  ( TXN )  Down 8% Since Last Earnings Report?,0.087149,Neutral,TXN
2025-11-17 15:16:00,"ADI Climbs 10.5% YTD: Should Investors Buy, Sell or Hold the Stock?",0.301345,Somewhat-Bullish,TXN
2025-11-15 18:00:00,Where Will Navitas Be in 3 Years?,0.161544,Somewhat-Bullish,TXN
2025-11-15 00:00:00,9 Robotics Stocks to Buy Before the Automation Wave Peaks,0.237269,Somewhat-Bullish,TXN
2025-11-13 17:01:39,This Is What Whales Are Betting On Texas Instruments - Texas Instruments  ( NASDAQ:TXN ) ,0.181455,Somewhat-Bullish,TXN
2025-11-12 14:00:04,Texas Instruments Incorporated  ( TXN )  Is a Trending Stock: Facts to Know Before Betting on It,0.239409,Somewhat-Bullish,TXN
2025-11-10 20:00:00,"AI Stock Correction: MSFT, AVGO, IONQ Seen as Stable Tech, Quantum Bets",0.046044,Neutral,TXN
2025-11-10 08:52:00,"Arm Beats Estimates, but Its New Plan to Build Chips Is the Real Story Here",0.149079,Neutral,TXN
2025-11-10 07:45:00,Nokia appoints Kristen Pressner as Chief People Officer and member of the Group Leadership Team,0.521022,Bullish,TXN
2025-11-10 07:45:00,Nokia appoints Kristen Pressner as Chief People Officer and member of the Group Leadership Team,0.433221,Bullish,TXN
2025-11-09 18:45:00,Is This the Best Stock to Own for the Next Decade of AI Expansion?,0.007235,Neutral,TXN
2025-11-05 14:58:00,Analog Devices' Consumer Segment Improves: Is the Momentum Sustainable?,0.318031,Somewhat-Bullish,TXN
2025-11-05 14:31:00,2 No-Brainer Dividend Stocks to Buy Right Now,0.251922,Somewhat-Bullish,TXN
2025-11-04 20:00:43,What Does the Market Think About Texas Instruments Inc? - Texas Instruments  ( NASDAQ:TXN ) ,0.250562,Somewhat-Bullish,TXN
2025-10-30 12:00:14,"Shenzhen police busts syndicate selling fake Infineon, Texas Instruments chips",-0.124576,Neutral,TXN
2025-10-28 16:56:00,Solid Long-term Prospects in Semis: Buy NVIDIA and Hold STMicroelectronics,0.154519,Somewhat-Bullish,TXN
2025-10-28 14:30:00,"Wearable Sensor Market Set for Rapid Growth, Reaching $4.2 Billion by 2028",0.280766,Somewhat-Bullish,TXN
2025-10-28 13:00:02,Investors Heavily Search Texas Instruments Incorporated  ( TXN ) : Here is What You Need to Know,0.243559,Somewhat-Bullish,TXN
2025-10-27 13:15:03,Investing in Texas Instruments  ( TXN ) ? Don't Miss Assessing Its International Revenue Trends,0.183118,Somewhat-Bullish,TXN
2025-10-27 12:30:02,Here's How Much You'd Have If You Invested $1000 in Broadcom Inc. a Decade Ago,0.263227,Somewhat-Bullish,TXN
2025-10-24 20:05:34,Options Corner: Tech Laggard Texas Instruments Could Be Mispriced In Your Favor - Texas Instruments  ( NASDAQ:TXN ) ,0.134745,Neutral,TXN
2025-10-24 18:29:08,EastGroup EGP Q3 2025 Earnings Call Transcript,0.203743,Somewhat-Bullish,TXN
2025-10-23 14:35:00,"Plexus Q4 Earnings Surpass Estimates, Revenues Up Marginally Y/Y",0.232398,Somewhat-Bullish,TXN
2025-10-23 13:27:00,"Stock Market News for Oct 23, 2025",-0.156072,Somewhat-Bearish,TXN
2025-10-23 12:06:48,Why Is STMicroelectronics Stock Tumbling Thursday? - STMicroelectronics  ( NYSE:STM ) ,0.036262,Neutral,TXN
