time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 11:25:00,3 Healthcare Mutual Funds Standing Out Amid Mixed Labor Data,0.230064,Somewhat-Bullish,UNH
2025-11-20 15:47:11,"Warren Buffett, Marjorie Taylor Greene Bet On The Same 9 Stocks - Here's What They Know - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ",0.216078,Somewhat-Bullish,UNH
2025-11-20 14:00:04,UnitedHealth Group Incorporated  ( UNH )  is Attracting Investor Attention: Here is What You Should Know,0.212952,Somewhat-Bullish,UNH
2025-11-19 16:00:47,$100 Invested In UnitedHealth Group 15 Years Ago Would Be Worth This Much Today - UnitedHealth Group  ( NYSE:UNH ) ,0.158543,Somewhat-Bullish,UNH
2025-11-19 15:00:40,"Ohio Rep. David Taylor Bought Over $7K Worth of Home Depot Stock: Here's What You Should Know - Apple  ( NASDAQ:AAPL ) , Home Depot  ( NYSE:HD ) ",0.120116,Neutral,UNH
2025-11-19 09:20:00,4 No-Brainer Dividend Stocks to Buy Right Now -- and a 17% Dividend Yield to Avoid,0.188137,Somewhat-Bullish,UNH
2025-11-18 13:08:01,"Monster Beverage, UnitedHealth, Thermo Fisher Scientific And More: CNBC's 'Final Trades' - Monster Beverage  ( NASDAQ:MNST ) , iShares U.S. Healthcare ETF  ( ARCA:IYH ) ",0.078349,Neutral,UNH
2025-11-18 09:50:00,Prediction: 1 Dirt Cheap Warren Buffett Stock That Will Be Worth More Than Palantir By 2030,0.217096,Somewhat-Bullish,UNH
2025-11-17 15:02:55,UnitedHealth Group's Options: A Look at What the Big Money is Thinking - UnitedHealth Group  ( NYSE:UNH ) ,0.227516,Somewhat-Bullish,UNH
2025-11-17 13:40:00,"Take the Zacks Approach to Beat the Markets: Macy's, United Natural Foods & Monster Beverage in Focus",0.194098,Somewhat-Bullish,UNH
2025-11-17 12:41:00,CVS Health Posts Strong Q3 Earnings: How to Play the Stock Now?,0.33426,Somewhat-Bullish,UNH
2025-11-16 09:45:00,"The Smartest ETF to Buy With $10,000 Right Now",0.180091,Somewhat-Bullish,UNH
2025-11-16 09:00:00,2 No-Brainer Dividend Stocks to Buy Right Now for Less Than $500,0.272949,Somewhat-Bullish,UNH
2025-11-15 14:20:43,Hedge Fund Sells $25.6 Million in Paramount Group Stock as Rithm's $1.6 Billion Deal Looms,0.288317,Somewhat-Bullish,UNH
2025-11-14 03:50:00,De La Salle University Partners with Verified Market Research for Healthcare Fraud Analytics Market Study,0.19162,Somewhat-Bullish,UNH
2025-11-13 16:00:53,Is the Market Bullish or Bearish on UnitedHealth Group Inc? - UnitedHealth Group  ( NYSE:UNH ) ,0.250562,Somewhat-Bullish,UNH
2025-11-13 15:24:00,"The Zacks Analyst Blog Highlights Apple, Procter & Gamble and UnitedHealth",0.24742,Somewhat-Bullish,UNH
2025-11-13 06:17:15,"Bitget Lists LLY, MA, UNH Stock Index Perpetual Futures as Cumulative Trading Volume on Bitget hits $3 Billion",0.192197,Somewhat-Bullish,UNH
2025-11-12 19:55:43,"15 Stocks To Consider Buying For The Supreme Court Ruling On Trump's Tariffs - Alcoa  ( NYSE:AA ) , Apple  ( NASDAQ:AAPL ) ",0.092915,Neutral,UNH
2025-11-12 19:05:00,Select Medical Down 5% Despite Q3 Earnings Beat on Patient Volumes,0.120908,Neutral,UNH
2025-11-11 15:04:48,Decoding UnitedHealth Group's Options Activity: What's the Big Picture? - UnitedHealth Group  ( NYSE:UNH ) ,0.19088,Somewhat-Bullish,UNH
2025-11-11 09:35:00,2 Dividend Stocks to Double Up on Right Now,0.045965,Neutral,UNH
2025-11-10 15:03:51,UnitedHealth Group's Options Frenzy: What You Need to Know - UnitedHealth Group  ( NYSE:UNH ) ,0.167749,Somewhat-Bullish,UNH
2025-11-10 11:15:00,"After Boosting Its Guidance and Beating Expectations in Q3, Is UnitedHealth Stock Due for a Rally?",0.240506,Somewhat-Bullish,UNH
2025-11-09 16:05:00,What Is Considered a Good Stock Dividend? 3 Healthcare Stocks That Fit the Bill.,0.208424,Somewhat-Bullish,UNH
2025-11-08 23:05:00,Warren Buffett Sends a $382 Billion Warning to Wall Street. Are You Paying Attention?,0.191523,Somewhat-Bullish,UNH
2025-11-06 19:03:47,Behind the Scenes of UnitedHealth Group's Latest Options Trends - UnitedHealth Group  ( NYSE:UNH ) ,0.163923,Somewhat-Bullish,UNH
2025-11-06 14:00:03,UnitedHealth Group Incorporated  ( UNH )  Is a Trending Stock: Facts to Know Before Betting on It,0.194925,Somewhat-Bullish,UNH
2025-11-05 18:16:00,UnitedHealth's Q3 Beat Isn't Stopping the Bleed: Hold or Fold Now?,0.078381,Neutral,UNH
2025-11-05 08:55:00,"Michael Burry of ""The Big Short"" Fame and Warren Buffett Have Piled Into This Dirt Cheap but Troubled Stock. Should You Follow?",0.211584,Somewhat-Bullish,UNH
2025-11-04 15:00:10,"Congressional Trading Report: Sen. Sheldon Whitehouse Sold Over $30K In Progressive Stock - NVIDIA  ( NASDAQ:NVDA ) , Progressive  ( NYSE:PGR ) ",0.124709,Neutral,UNH
2025-11-04 14:46:00,"Stock Market News for Nov 4, 2025",-0.00242,Neutral,UNH
2025-11-03 23:17:30,Michael Burry Is Super-Bearish On Palantir - With 5 Million Puts - Palantir Technologies  ( NASDAQ:PLTR ) ,0.084943,Neutral,UNH
2025-11-03 11:00:00,Is UnitedHealth an Undervalued Stock to Buy Now?,-0.142448,Neutral,UNH
2025-11-03 08:50:00,Here Are All 46 Stocks Warren Buffett Holds for Berkshire Hathaway's $313 Billion Portfolio,0.258006,Somewhat-Bullish,UNH
2025-11-01 17:10:00,Prediction: 1 Value Stock That Will Be Worth More Than Palantir by the End of 2026,0.355145,Bullish,UNH
2025-11-01 13:45:00,Want to Invest Like Warren Buffett? Remember These 2 Words.,0.269895,Somewhat-Bullish,UNH
2025-10-30 16:30:45,$1000 Invested In UnitedHealth Group 15 Years Ago Would Be Worth This Much Today - UnitedHealth Group  ( NYSE:UNH ) ,0.158543,Somewhat-Bullish,UNH
2025-10-30 16:02:03,Smart Money Is Betting Big In UNH Options - UnitedHealth Group  ( NYSE:UNH ) ,0.140691,Neutral,UNH
2025-10-30 15:13:22,CRA International  ( CRAI )  Earnings Call Transcript,0.320161,Somewhat-Bullish,UNH
2025-10-30 07:39:18,"UnitedHealth's $4.3 Billion Profit Fueled By 'Generosity Of Uncle Sam,' Says Healthcare Activist: Government Drives 78% Of Health Plan Revenue - UnitedHealth Group  ( NYSE:UNH ) ",0.1861,Somewhat-Bullish,UNH
2025-10-29 23:17:00,Does UnitedHealth Stock Have More Upside After Q3 Earnings?,0.222866,Somewhat-Bullish,UNH
2025-10-29 17:30:17,Fiserv Q3 2025 Earnings Call Transcript - Fiserv  ( NYSE:FI ) ,0.313393,Somewhat-Bullish,UNH
2025-10-29 16:21:00,Will Lower Premiums Affect Cigna's Q3 Earnings? Key Insights Here,0.152922,Somewhat-Bullish,UNH
2025-10-29 13:59:23,"Fiserv stock craters 44%, on pace for worst day ever after company slashes guidance",0.141798,Neutral,UNH
2025-10-29 13:25:00,"Company News for Oct 29, 2025",0.339409,Somewhat-Bullish,UNH
2025-10-29 12:59:00,UnitedHealth Lifts EPS Outlook Despite Mixed Q3 Results: ETFs in Focus,0.248066,Somewhat-Bullish,UNH
2025-10-28 17:23:51,"Nasdaq 100 Hits 26,000, Gold Falls Below $4,000: Markets Today - American Tower  ( NYSE:AMT ) , Ares Capital  ( NASDAQ:ARCC ) ",0.064002,Neutral,UNH
2025-10-28 17:18:00,UnitedHealth Q3 Earnings Beat on Rising Commercial Membership,0.092211,Neutral,UNH
2025-10-28 14:05:22,"UnitedHealth Delivers The Quarter Tepper, Burry Have Been Waiting For - UnitedHealth Group  ( NYSE:UNH ) ",0.177727,Somewhat-Bullish,UNH
