time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 14:00:04,"United Parcel Service, Inc.  ( UPS )  Is a Trending Stock: Facts to Know Before Betting on It",0.199544,Somewhat-Bullish,UPS
2025-11-19 15:00:19,Recent Report Shows That Rep. Scott DesJarlais Sold Up to $65K Worth of United Parcel Service Stock - United Parcel Service  ( NYSE:UPS ) ,0.145463,Neutral,UPS
2025-11-18 16:54:00,UPS vs. FDX: Which Parcel Delivery Company Holds More Promise Now?,0.170949,Somewhat-Bullish,UPS
2025-11-18 08:55:27,Microsoft No Longer Top 3 Holding After Gates Foundation Sells 17 Million Shares - Microsoft  ( NASDAQ:MSFT ) ,0.238833,Somewhat-Bullish,UPS
2025-11-17 14:00:42,A Look Into United Parcel Service Inc's Price Over Earnings - United Parcel Service  ( NYSE:UPS ) ,0.042927,Neutral,UPS
2025-11-17 11:09:11,"Top Economist Warns White-Collar Workers Are Facing Their 'Detroit Auto Worker' Moment As AI Begins Replacing Cognitive Jobs - Chegg  ( NYSE:CHGG ) , Amazon.com  ( NASDAQ:AMZN ) ",0.014241,Neutral,UPS
2025-11-17 08:50:00,Is United Parcel Service Stock a Buy Now?,0.251234,Somewhat-Bullish,UPS
2025-11-15 08:32:00,3 Reasons to Buy United Parcel Service Stock Like There's No Tomorrow,0.230412,Somewhat-Bullish,UPS
2025-11-15 04:04:29,"September Jobs Report Set For Thursday Release As Government Shutdown Data Fog Lifts - Bank of America  ( NYSE:BAC ) , Amazon.com  ( NASDAQ:AMZN ) ",-0.125952,Neutral,UPS
2025-11-14 11:20:03,Is State Street SPDR Russell 1000 Yield Focus ETF  ( ONEY )  a Strong ETF Right Now?,0.267683,Somewhat-Bullish,UPS
2025-11-13 09:44:00,Prediction: These 3 Stocks Will Soar If the Supreme Court Nixes Trump's Tariffs,0.126468,Neutral,UPS
2025-11-12 21:15:00,"Allspring Closed-End Funds Declare Monthly and Quarterly Distributions; Allspring Funds Board of Trustees Announces New Trustees - Allspring Income Opps  ( AMEX:EAD ) , Allspring Glb Div Opp  ( NYSE:EOD ) ",0.214214,Somewhat-Bullish,UPS
2025-11-12 02:14:00,Does UPS's 7% Dividend Yield Make the Stock a No-Brainer Buy?,0.212442,Somewhat-Bullish,UPS
2025-11-11 07:04:00,Zacks Industry Outlook United Parcel Service and FedEx,0.065918,Neutral,UPS
2025-11-10 14:22:00,2 Air-Freight & Cargo Stocks to Watch From a Challenging Industry,0.046489,Neutral,UPS
2025-11-10 09:25:00,1 Magnificent High-Yield Stock Down 60% to Buy and Hold Forever,0.156047,Somewhat-Bullish,UPS
2025-11-07 16:35:00,Should Investors Bet on UPS Post Its Andlauer Healthcare Buyout?,0.034348,Neutral,UPS
2025-11-07 13:41:00,FAA Cuts US Flights by 10%: Turbulence Ahead for Airline ETFs?,0.062746,Neutral,UPS
2025-11-07 09:05:00,This Controversial Decision Is Already Paying Off for UPS Stock,0.24563,Somewhat-Bullish,UPS
2025-11-06 16:00:00,3 Dividend Stocks to Hold for the Next 5 Years and Beyond,-0.222518,Somewhat-Bearish,UPS
2025-11-06 14:00:04,"Investors Heavily Search United Parcel Service, Inc.  ( UPS ) : Here is What You Need to Know",0.230527,Somewhat-Bullish,UPS
2025-11-06 09:10:00,"2 Dirt Cheap Stocks to Buy With $1,000 Right Now",0.157742,Somewhat-Bullish,UPS
2025-11-05 17:37:39,How to Boost Your Portfolio with Top Transportation Stocks Set to Beat Earnings,0.374995,Bullish,UPS
2025-11-05 00:34:55,"UPS Cargo Plane Crashes Near Louisville Airport, Shelter-In-Place Order Issued Amid Fire And Debris - United Parcel Service  ( NYSE:UPS ) ",-0.078714,Neutral,UPS
2025-11-04 09:15:00,The Best Dividend Stocks to Buy and Hold Forever,0.263142,Somewhat-Bullish,UPS
2025-11-01 13:00:00,The Dividend Blueprint: How to Build Steady Income That Grows Every Year,0.399721,Bullish,UPS
2025-10-31 18:48:48,Why United Parcel Service  ( UPS )  Stock Skyrocketed This Week,0.111157,Neutral,UPS
2025-10-31 12:37:45,"Wall Street's Most Accurate Analysts Spotlight On 3 Industrials Stocks With Over 6% Dividend Yields - Robert Half  ( NYSE:RHI ) , Karat Packaging  ( NASDAQ:KRT ) ",0.09594,Neutral,UPS
2025-10-29 16:00:21,Is The UPS Rally Over? - United Parcel Service  ( NYSE:UPS ) ,0.004794,Neutral,UPS
2025-10-29 13:25:00,"Company News for Oct 29, 2025",0.339409,Somewhat-Bullish,UPS
2025-10-29 11:31:00,Where Will UPS Be in 5 Years?,0.196593,Somewhat-Bullish,UPS
2025-10-28 19:47:21,"Amazon, UPS Slash Desk Jobs: AI Is Coming For Your Manager - Amazon.com  ( NASDAQ:AMZN ) ",0.072116,Neutral,UPS
2025-10-28 19:41:26,Options Corner: United Parcel Service's Earnings Beat Opens The Door For A Quick Strike - United Parcel Service  ( NYSE:UPS ) ,0.05052,Neutral,UPS
2025-10-28 17:23:51,"Nasdaq 100 Hits 26,000, Gold Falls Below $4,000: Markets Today - American Tower  ( NYSE:AMT ) , Ares Capital  ( NASDAQ:ARCC ) ",0.064002,Neutral,UPS
2025-10-28 15:53:00,"UPS Stock Up on Q3 Earnings & Revenue Beat, Strong Q4 Sales View",0.160269,Somewhat-Bullish,UPS
