time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 12:25:00,WMT Stock Up 6.5% on Solid Q3 & Upbeat View: Time to Buy or Hold?,0.492901,Bullish,WMT
2025-11-21 11:50:45,"Palo Alto To Rally Around 30%? Here Are 10 Top Analyst Forecasts For Friday - BrightView Hldgs  ( NYSE:BV ) , Bath & Body Works  ( NYSE:BBWI ) ",0.201237,Somewhat-Bullish,WMT
2025-11-21 10:17:00,"The Zacks Analyst Blog Highlights Visa, Merck, Southern Company, Community Bancorp and Comstock",0.340785,Somewhat-Bullish,WMT
2025-11-21 09:16:00,Zacks Investment Ideas feature highlights: Walmart and Target,0.346686,Somewhat-Bullish,WMT
2025-11-21 08:09:29,Walmart Makes Historic Move To Join NASDAQ In Tech-Forward Retail Push - Walmart  ( NYSE:WMT ) ,0.169416,Somewhat-Bullish,WMT
2025-11-21 07:26:51,Nasdaq Dips Over 2% Despite Nvidia's Earnings Beat: Fear & Greed Index Remains In 'Extreme Fear' Zone - NVIDIA  ( NASDAQ:NVDA ) ,-0.216676,Somewhat-Bearish,WMT
2025-11-21 06:28:28,Walmart Warns Tariffs May Still Cause Price Hikes For Everyday Items Despite Some 'Relief' On Food Inflation - Walmart  ( NYSE:WMT ) ,0.156755,Somewhat-Bullish,WMT
2025-11-21 03:00:29,"Bitcoin implodes as volatility from Big Tech, AI bubble fears, spreads to crypto",0.0,Neutral,WMT
2025-11-21 00:12:42,Why Walmart Stock Popped Today,0.392271,Bullish,WMT
2025-11-20 22:00:32,Here's How Much $100 Invested In Walmart 20 Years Ago Would Be Worth Today - Walmart  ( NYSE:WMT ) ,0.158543,Somewhat-Bullish,WMT
2025-11-20 21:44:00,"Top Analyst Reports for Visa, Merck & Southern Company",0.363652,Bullish,WMT
2025-11-20 21:23:11,Gap comparable sales surge after viral 'Milkshake' denim ad with Katseye,0.259705,Somewhat-Bullish,WMT
2025-11-20 20:37:37,Blue Lake Casino & Hotel and Quick Custom Intelligence  ( QCI )  Extend Partnership to Further Enhance Guest Experience and Drive Profitability,0.433221,Bullish,WMT
2025-11-20 18:46:00,Walmart Lifts FY26 Outlook on Q3 Earnings & Revenue Beat,0.373554,Bullish,WMT
2025-11-20 17:49:29,Walmart Q3 FY26 Earnings Call Transcript - Walmart  ( NYSE:WMT ) ,0.370354,Bullish,WMT
2025-11-20 17:11:21,"Gold Moves Lower; Walmart Posts Upbeat Q3 Earnings - Cerence  ( NASDAQ:CRNC ) , Bath & Body Works  ( NYSE:BBWI ) ",0.151695,Somewhat-Bullish,WMT
2025-11-20 16:36:00,"Nutex Health Posts Strong Q3 Results, Joins PACS Group, Walmart, Cerence And Other Big Stocks Moving Higher On Thursday - Cipher Mining  ( NASDAQ:CIFR ) , Aduro Clean Technologies  ( NASDAQ:ADUR ) ",0.350021,Bullish,WMT
2025-11-20 16:21:00,Retail Royalty: Why Walmart Continues to Eclipse Competitors,0.346644,Somewhat-Bullish,WMT
2025-11-20 16:11:00,"The future of chicken lands in 3,000+ Walmart Stores",0.367538,Bullish,WMT
2025-11-20 16:03:00,Jobless Claims Decreased More Than Expected,0.140138,Neutral,WMT
2025-11-20 15:20:00,"BLS Jobs, Jobless Claims, Walmart Warnings All Up Slightly",0.13773,Neutral,WMT
2025-11-20 14:30:19,Here's What Key Metrics Tell Us About Walmart  ( WMT )  Q3 Earnings,0.126574,Neutral,WMT
2025-11-20 13:45:48,What's Going On With Walmart Stock Thursday? - Walmart  ( NYSE:WMT ) ,0.294236,Somewhat-Bullish,WMT
2025-11-20 13:10:02,Walmart  ( WMT )  Q3 Earnings and Revenues Top Estimates,0.168381,Somewhat-Bullish,WMT
2025-11-20 12:43:00,"The Zacks Analyst Blog Highlights Walmart, Intuitive Surgical, Lam Research and BV Financial",0.290205,Somewhat-Bullish,WMT
2025-11-20 12:00:00,The Lovesac Company Appoints Wan Ling Martello to Its Board of Directors,0.375198,Bullish,WMT
2025-11-20 12:00:00,The Lovesac Company Appoints Wan Ling Martello to Its Board of Directors - Lovesac  ( NASDAQ:LOVE ) ,0.354166,Bullish,WMT
2025-11-20 12:00:00,"WeShop Launches in the U.S. After Strong Nasdaq Debut, Allowing Users to Earn Ownership through their Shopping - WeShop Holdings  ( NASDAQ:WSHP ) ",0.376268,Bullish,WMT
2025-11-20 11:55:00,Alpine Income Property Trust Acquires Property Anchored by Walmart and TJ Maxx for $20.7 Million,0.076052,Neutral,WMT
2025-11-20 11:55:00,Alpine Income Property Trust Acquires Property Anchored by Walmart and TJ Maxx for $20.7 Million - Alpine Income Property Tr  ( NYSE:PINE ) ,0.073574,Neutral,WMT
2025-11-20 10:25:26,"Stock Market Today: Nasdaq 100, Dow Jones Futures Rise Ahead Of Delayed September Jobs Report-Nvidia, Palo Alto, Super Micro Computer In Focus - SPDR S&P 500  ( ARCA:SPY ) ",0.171217,Somewhat-Bullish,WMT
2025-11-20 09:06:00,"Zacks Investment Ideas feature highlights: Home Depot, Lowe's, Target and Walmart",0.03184,Neutral,WMT
2025-11-20 08:35:56,Nasdaq Gains Over 100 Points Following Release Of Fed Minutes: Fear & Greed Index Remains In 'Extreme Fear' Zone - Target  ( NYSE:TGT ) ,-0.127584,Neutral,WMT
2025-11-20 07:27:15,"Walmart, Nvidia And 3 Stocks To Watch Heading Into Thursday - NVIDIA  ( NASDAQ:NVDA ) ",0.298333,Somewhat-Bullish,WMT
2025-11-20 05:01:01,Walmart will report earnings before the bell. Here's what to expect,0.231825,Somewhat-Bullish,WMT
2025-11-19 23:30:00,Don't Give Up on Dividends: This Rock-Solid Dividend Stock Will Reward You Through Thick and Thin,0.343721,Somewhat-Bullish,WMT
2025-11-19 21:13:00,"Top Stock Reports for Walmart, Intuitive Surgical & Lam Research",0.299578,Somewhat-Bullish,WMT
2025-11-19 18:31:11,Regular Walmart Shopper Shocked By 'Suddenly Outrageous' Prices Wonders If They're Price Gouging Because Of Tariffs Or A Looming Recession - Walmart  ( NYSE:WMT ) ,-0.064939,Neutral,WMT
2025-11-19 17:44:00,Retailer Earnings Paint Cloudy Economic Picture: Stocks to Watch,0.002457,Neutral,WMT
2025-11-19 17:30:38,Wealth Firm Dumps $8.5 Million in Newell Brands as Stock Drops 63% in One Year,0.228991,Somewhat-Bullish,WMT
2025-11-19 16:26:00,BOOT's Omnichannel Strength: Is AI the New Profit Driver?,0.408224,Bullish,WMT
2025-11-19 15:30:00,5 Must-See Earnings Charts This Week,0.113798,Neutral,WMT
2025-11-19 14:37:00,"The Smartest Retail Stock to Buy With $1,000 Right Now",0.293662,Somewhat-Bullish,WMT
2025-11-19 14:31:00,"Stock Market News for Nov 19, 2025",-0.153713,Somewhat-Bearish,WMT
2025-11-19 14:15:00,Don't Give Up on Dividend Stocks. 5 Dividend Kings Down Between 5% and 33% to Buy in November,0.264236,Somewhat-Bullish,WMT
2025-11-19 14:05:00,RELATABLE EXPANDS INTO CANADA THROUGH NEW RED PLANET GROUP PARTNERSHIP,0.535484,Bullish,WMT
2025-11-19 13:50:37,"Important Notice to Long-Term Shareholders of Cytokinetics, Inc.  ( NASDAQ: CYTK ) ; Fortrea Holdings, Inc.  ( NASDAQ: FTRE ) ; Ibotta, Inc.  ( NYSE: IBTA ) ; and Stride, Inc.  ( NYSE: LRN ) : Grabar Law Office is Investigating Claims on Your Behalf - Fortrea Holdings  ( NASDAQ:FTRE ) , Cytokinetics  ( NASDAQ:CYTK ) ",0.085666,Neutral,WMT
2025-11-19 13:30:00,ASUS Launches Exclusive Early Black Friday Offers,0.381807,Bullish,WMT
2025-11-19 13:30:00,ASUS Launches Exclusive Early Black Friday Offers,0.383701,Bullish,WMT
2025-11-19 13:29:27,How To Earn $500 A Month From Walmart Stock Ahead Of Q3 Earnings - Walmart  ( NYSE:WMT ) ,0.104304,Neutral,WMT
