time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 11:18:42,Oil prices and energy stocks fall sharply on Trump's new Ukraine peace plan,0.065828,Neutral,XOM
2025-11-21 00:18:00,AlphaTON Capital  ( Nasdaq: ATON )  Issues Shareholder Update on Balance Sheet Assets and Strategic Ecosystem Expansion Clarification and Correction,0.249643,Somewhat-Bullish,XOM
2025-11-20 20:05:00,These 2 Magnificent High-Yield Dividend Stocks are Teaming Up to Enhance Their Growth Profiles,0.273089,Somewhat-Bullish,XOM
2025-11-20 18:10:00,Chevron & TotalEnergies Lead Bidding War for Galp's Namibia Project,0.285006,Somewhat-Bullish,XOM
2025-11-20 15:24:57,ExxonMobil Acquires 40% Stake In Enterprise's Bahia NGL Pipeline - Exxon Mobil  ( NYSE:XOM ) ,0.170823,Somewhat-Bullish,XOM
2025-11-20 10:25:00,What every Chevron Investor Should Know Before Buying,0.323956,Somewhat-Bullish,XOM
2025-11-19 21:22:00,Saudi-US Investment Deals Worth US $575 Billion to Reshape the Future Economy,0.45352,Bullish,XOM
2025-11-19 18:05:00,1 Top High-Yield Dividend Stock to Buy and Hold Through at Least 2030,0.311461,Somewhat-Bullish,XOM
2025-11-19 15:20:00,Chevron & Exxon Eye Lukoil's Global Assets in High-Stakes Pivot,0.294763,Somewhat-Bullish,XOM
2025-11-19 15:04:00,EXPLORING THE GLOBAL TRANSFORMATION OF HEALTH CARE WITH ELI LILLY's CEO DAVE RICKS - T. Rowe Price Group  ( NASDAQ:TROW ) ,0.330632,Somewhat-Bullish,XOM
2025-11-19 14:00:00,AlphaTON Capital  ( Nasdaq: ATON )  Issues Shareholder Update on Balance Sheet Assets and Strategic Ecosystem Expansion,0.247352,Somewhat-Bullish,XOM
2025-11-19 01:23:00,1 Magnificent High-Yield Dividend Stock Down 16% to Buy and Hold Forever,0.163599,Somewhat-Bullish,XOM
2025-11-18 19:01:35,Looking At Exxon Mobil's Recent Unusual Options Activity - Exxon Mobil  ( NYSE:XOM ) ,0.175208,Somewhat-Bullish,XOM
2025-11-18 12:01:00,"First Atlantic Nickel Attends Benchmark Week 2025 Conference, Highlighting Awaruite - A Naturally Magnetic Nickel-Cobalt Alloy as a Smelter-Free Source For North America's Critical Minerals Supply Chain",0.093207,Neutral,XOM
2025-11-18 12:01:00,"First Atlantic Nickel Attends Benchmark Week 2025 Conference, Highlighting Awaruite - A Naturally Magnetic Nickel-Cobalt Alloy as a Smelter-Free Source For North America's Critical Minerals Supply Chain - First Atlantic Nickel  ( OTC:FANCF ) ",0.09312,Neutral,XOM
2025-11-17 18:28:52,"ExxonMobil-BASF Team Up To Produce 2,000 Tons Low-Emission Hydrogen Annually - Exxon Mobil  ( NYSE:XOM ) ",0.283563,Somewhat-Bullish,XOM
2025-11-17 15:51:17,Tom Lee Says MSTR Could Become 'One Of the Largest Companies' As Strategy Adds $800M In Bitcoin - Strategy  ( NASDAQ:MSTR ) ,-0.06041,Neutral,XOM
2025-11-17 14:52:45,Nvidia and 19 Other Stocks Now Make Up 50% of the S&P 500. Here's What It Means for Your Investment Portfolio.,0.18357,Somewhat-Bullish,XOM
2025-11-17 14:00:04,Investors Heavily Search Exxon Mobil Corporation  ( XOM ) : Here is What You Need to Know,0.248629,Somewhat-Bullish,XOM
2025-11-16 22:47:04,The Vanguard Dividend Appreciation Index Fund ETF  ( VIG )  Delivers Stronger Growth Than the iShares Core High Dividend ETF  ( HDV ) ,0.235136,Somewhat-Bullish,XOM
2025-11-16 21:30:00,"The Best Stocks to Invest $1,000 in Right Now",0.416555,Bullish,XOM
2025-11-16 18:11:23,The Schwab U.S. Dividend Equity ETF  ( SCHD )  Offers a Higher Yield and Lower Cost Than the iShares Core High Dividend ETF  ( HDV ) ,0.186464,Somewhat-Bullish,XOM
