time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 20:00:43,Looking Into Advance Auto Parts Inc's Recent Short Interest - Advance Auto Parts  ( NYSE:AAP ) ,0.278426,Somewhat-Bullish,AAP
2025-11-20 15:17:00,Here's Why You Should Retain Advance Auto Stock in Your Portfolio Now,0.273375,Somewhat-Bullish,AAP
2025-11-03 16:52:00,"Advance Auto Beats Q3 Earnings Estimates, Narrows 2025 Sales Outlook",0.188299,Somewhat-Bullish,AAP
2025-10-30 20:30:00,Newsweek and Statista Recognize America's Best in Customer Service for 2026,0.358109,Bullish,AAP
2025-10-30 13:09:10,Why Is Advance Auto Parts Stock Surging Thursday? - Advance Auto Parts  ( NYSE:AAP ) ,0.314649,Somewhat-Bullish,AAP
2025-10-30 11:40:02,Advance Auto Parts  ( AAP )  Q3 Earnings and Revenues Beat Estimates,0.150395,Somewhat-Bullish,AAP
2025-10-27 20:06:00,"AllianceBernstein Global High Income Fund, Inc. RELEASES MONTHLY PORTFOLIO UPDATE - Alliancebernstein Glb  ( NYSE:AWF ) ",0.139693,Neutral,AAP
2025-10-24 16:54:00,eBay Gears Up to Report Q3 Earnings: What's in the Offing?,0.303975,Somewhat-Bullish,AAP
2025-10-24 14:44:41,Alpine Income  ( PINE )  Earnings Call Transcript,0.258033,Somewhat-Bullish,AAP
2025-10-23 14:00:17,Advance Auto Parts  ( AAP )  Earnings Expected to Grow: Should You Buy?,0.177762,Somewhat-Bullish,AAP
2025-10-21 10:40:00,Zacks Industry Outlook Highlights O'Reilly Automotive and Advance Auto Parts,0.235421,Somewhat-Bullish,AAP
2025-10-20 12:36:00,2 Auto Parts Retailers That Could Outperform Despite Pressure,0.221877,Somewhat-Bullish,AAP
2025-10-16 12:50:04,How to Find Strong Retail and Wholesale Stocks Slated for Positive Earnings Surprises,0.376286,Bullish,AAP
2025-10-14 12:50:02,Want Better Returns? Don't Ignore These 2 Retail and Wholesale Stocks Set to Beat Earnings,0.357276,Bullish,AAP
2025-10-10 11:48:24,Why Shares in Advance Auto Parts Crashed This Week,0.123836,Neutral,AAP
2025-10-09 14:53:00,JEF Stock Slides on Revealing Exposure to Bankrupt First Brands Group,-0.031368,Neutral,AAP
2025-10-08 14:55:00,5 Broker-Friendly Stocks to Watch as Markets Move North Amid Shutdown,0.278242,Somewhat-Bullish,AAP
2025-10-02 15:00:00,"CarMax Q2 Earnings Miss Expectations, Revenues Decline Y/Y",-0.109005,Neutral,AAP
2025-10-01 14:45:00,"THOR Q4 Earnings Beat Expectations, Revenues Decrease Y/Y",0.016638,Neutral,AAP
2025-09-30 14:35:00,"AutoZone Q4 Earnings Miss Expectations, Sales Increase Y/Y",0.091712,Neutral,AAP
2025-09-16 17:00:54,What's Driving the Market Sentiment Around Advance Auto Parts? - Advance Auto Parts  ( NYSE:AAP ) ,0.282687,Somewhat-Bullish,AAP
2025-09-01 06:03:10,American Middle Class Hitting The Panic Button? Consumer Sentiment Dives 6% In August,-0.039006,Neutral,AAP
2025-08-19 12:32:00,Is the Options Market Predicting a Spike in Advance Auto Parts Stock?,0.052421,Neutral,AAP
2025-08-18 14:38:00,"Advance Auto Q2 Earnings Beat Estimates, Revenues Fall Y/Y",0.183319,Somewhat-Bullish,AAP
2025-08-17 15:59:00,The Most Important Thing for Advance Auto Parts Investors to Watch in 2025,0.178148,Somewhat-Bullish,AAP
2025-08-17 13:21:21,"Consumer Tech News  ( August 11-August 15 ) : Consumer Sentiment Slips, Stimulus Sparks Rallies, and Cisco & Applied Materials Headline Earnings - Advance Auto Parts  ( NYSE:AAP ) , Apple  ( NASDAQ:AAPL ) ",0.093983,Neutral,AAP
2025-08-16 07:48:00,1 Unstoppable Growth Stock That's On Track to Double by 2030,0.093806,Neutral,AAP
2025-08-15 17:55:15,These Analysts Increase Their Forecasts On Advance Auto Parts Following Upbeat Q2 Earnings - Advance Auto Parts  ( NYSE:AAP ) ,0.226968,Somewhat-Bullish,AAP
2025-08-15 15:14:00,"Applied Materials To Rally Around 17%? Here Are 10 Top Analyst Forecasts For Friday - Advance Auto Parts  ( NYSE:AAP ) , Applied Industrial Techs  ( NYSE:AIT ) ",0.231302,Somewhat-Bullish,AAP
2025-08-14 18:16:00,Advance Auto Parts Returns to Profit in Q2,0.278842,Somewhat-Bullish,AAP
2025-08-14 17:26:30,Why Advance Auto Parts Crashed Today,0.164598,Somewhat-Bullish,AAP
2025-08-14 14:02:06,Why Advance Auto Parts Stock Is Falling Today - Advance Auto Parts  ( NYSE:AAP ) ,0.210587,Somewhat-Bullish,AAP
2025-08-14 11:40:02,Advance Auto Parts  ( AAP )  Q2 Earnings and Revenues Beat Estimates,0.152985,Somewhat-Bullish,AAP
2025-08-14 10:57:57,Advance Auto Parts Posts Q2 EPS Beat,0.160967,Somewhat-Bullish,AAP
2025-08-14 07:53:05,Advance Auto Parts Gears Up For Q2 Print; Here Are The Recent Forecast Changes From Wall Street's Most Accurate Analysts - Advance Auto Parts  ( NYSE:AAP ) ,0.132008,Neutral,AAP
2025-08-11 13:15:01,Unlocking Q2 Potential of Advance Auto Parts  ( AAP ) : Exploring Wall Street Estimates for Key Metrics,0.175268,Somewhat-Bullish,AAP
2025-08-07 14:00:02,Earnings Preview: Advance Auto Parts  ( AAP )  Q2 Earnings Expected to Decline,0.119991,Neutral,AAP
2025-08-06 12:15:04,Valvoline  ( VVV )  Surpasses Q3 Earnings and Revenue Estimates,0.145888,Neutral,AAP
2025-08-05 12:30:02,Driven Brands Holdings Inc.  ( DRVN )  Q2 Earnings and Revenues Surpass Estimates,0.156945,Somewhat-Bullish,AAP
2025-07-30 11:51:01,"Cramer Says 'No' To This Auto Parts Provider, But 'Yes' To Another - Advance Auto Parts  ( NYSE:AAP ) , AutoZone  ( NYSE:AZO ) ",0.021629,Neutral,AAP
2025-07-30 09:08:00,Is Advance Auto Parts a Buy?,0.208144,Somewhat-Bullish,AAP
2025-07-24 17:36:34,Why Advance Auto Parts Stock Plummeted Today,-0.149095,Neutral,AAP
