time_published,title,sentiment_score,sentiment_label,ticker
2025-11-18 07:00:00,AerCap Signs Lease Agreements for Three New Boeing 737 MAX Aircraft and Two Boeing 737NG Aircraft with New Customer FlySafair - AerCap Holdings  ( NYSE:AER ) ,0.170203,Somewhat-Bullish,AER
2025-10-30 17:29:00,Do Options Traders Know Something About AerCap Holdings Stock We Don't?,0.071545,Neutral,AER
2025-09-25 13:24:00,Do Options Traders Know Something About AER Stock We Don't?,0.087922,Neutral,AER
2025-07-03 11:00:00,"AerCap Leased, Purchased and Sold 116 Assets in the Second Quarter 2025 - AerCap Holdings  ( NYSE:AER ) ",0.069183,Neutral,AER
2025-04-04 12:43:33,AerCap Concludes Q1 With Impressive Fleet Transactions And Financing - AerCap Holdings  ( NYSE:AER ) ,0.28202,Somewhat-Bullish,AER
2025-04-01 12:30:00,Are Options Traders Betting on a Big Move in Aercap  ( AER )  Stock?,0.069056,Neutral,AER
2024-10-07 11:00:00,"AerCap Leased, Purchased and Sold 226 Assets in the Third Quarter 2024 and Signed Financing Transactions for Approximately $10.5 Billion - AerCap Holdings  ( NYSE:AER ) ",0.108771,Neutral,AER
2024-10-01 07:56:00,Best Value Stocks to Buy for October 1st,0.14943,Neutral,AER
2024-08-07 14:00:00,Best Momentum Stock to Buy for August 7th,0.287875,Somewhat-Bullish,AER
2024-08-07 09:52:00,New Strong Buy Stocks for August 7th,0.142583,Neutral,AER
2024-08-01 11:00:00,AerCap Announces Delivery of First Three Airbus A321neo Aircraft to AirAsia as Part of Fifteen Aircraft Deal - AerCap Holdings  ( NYSE:AER ) ,0.220173,Somewhat-Bullish,AER
2024-07-24 09:29:00,Best Value Stocks to Buy for July 24th,0.181243,Somewhat-Bullish,AER
2024-07-18 12:18:00,Best Momentum Stock to Buy for July 18th,0.341359,Somewhat-Bullish,AER
2024-07-15 14:36:00,Can Synchrony  ( SYF )  Navigate Rising Costs in Q2 Earnings?,0.269042,Somewhat-Bullish,AER
2024-07-09 11:00:00,AerCap to Lease Ten New Airbus A321neo Aircraft to Turkish Airlines - AerCap Holdings  ( NYSE:AER ) ,0.367371,Bullish,AER
2024-07-08 11:00:00,"AerCap Leased, Purchased and Sold 246 Assets in the Second Quarter 2024",0.080601,Neutral,AER
2024-06-21 14:43:00,Implied Volatility Surging for AerCap  ( AER )  Stock Options,0.078962,Neutral,AER
2024-06-12 11:00:00,AerCap Signs Lease Agreements with JD Airlines for Four 737-800 Boeing Converted Freighters - AerCap Holdings  ( NYSE:AER ) ,0.181909,Somewhat-Bullish,AER
2024-03-15 14:32:00,AerCap Holdings N.V. Announces Registered Exchange Offer for 6.450% Senior Notes due 2027,0.127353,Neutral,AER
2024-02-23 16:24:00,AerCap Holdings N.V. Announces 20-F Filing,0.144397,Neutral,AER
2024-02-23 12:00:00,AerCap Holdings N.V. Reports Record $3.1 Billion 2023 Net Income and Announces New $500 Million Share Repurchase Authorization,0.166936,Somewhat-Bullish,AER
2024-02-21 09:30:00,"AerCap Announces Lease Agreements with Thai Airways for Four Airbus A350-900 Aircraft, Three Boeing 787-9 Aircraft and Ten Airbus A321NEO Aircraft - AerCap Holdings  ( NYSE:AER ) ",0.170104,Somewhat-Bullish,AER
