time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 14:30:00,The Finnish Financial Supervisory Authority has approved Lassila & Tikanoja's demerger and listing prospectus; The New Lassila & Tikanoja's and Luotea's Management Teams as of the completion of the demerger,0.232873,Somewhat-Bullish,ALV
2025-11-17 08:02:00,UBS Group and Hormel Foods have been highlighted as Zacks Bull and Bear of the Day,0.197489,Somewhat-Bullish,ALV
2025-11-14 12:24:00,Watch These 3 Stocks That Recently Hiked Dividends Amid Market Turmoil,0.110283,Neutral,ALV
2025-11-07 14:50:02,Why This 1 Momentum Stock Could Be a Great Addition to Your Portfolio,0.434066,Bullish,ALV
2025-11-05 14:57:39,Adient  ( ADNT )  Q4 2025 Earnings Call Transcript,0.281053,Somewhat-Bullish,ALV
2025-11-05 14:40:02,Why This 1 Value Stock Could Be a Great Addition to Your Portfolio,0.506417,Bullish,ALV
2025-10-30 14:35:00,"Allison Transmission Q3 Earnings Miss Estimates, Guidance Trimmed",-0.023982,Neutral,ALV
2025-10-27 15:56:00,"Gentex Q3 Earnings Miss Estimates, 2025 Revenue Guidance Raised",0.147792,Neutral,ALV
2025-10-23 17:40:00,"Winnebago's Q4 Earnings Beat Expectations, Revenues Climb Y/Y",0.076385,Neutral,ALV
2025-10-22 14:49:00,"PACCAR Q3 Earnings Match Expectations, Capex Outlook Revised",0.068541,Neutral,ALV
2025-10-21 14:43:00,"Genuine Parts Q3 Earnings Miss Expectations, '25 Sales Forecast Raised",0.326092,Somewhat-Bullish,ALV
2025-10-20 13:40:02,Are Auto-Tires-Trucks Stocks Lagging Autoliv  ( ALV )  This Year?,0.264323,Somewhat-Bullish,ALV
2025-10-20 13:40:02,Is Autoliv  ( ALV )  Stock Undervalued Right Now?,0.325633,Somewhat-Bullish,ALV
2025-10-17 18:45:47,Autoliv  ( ALV )  Q3 2025 Earnings Call Transcript,0.266943,Somewhat-Bullish,ALV
2025-10-17 12:30:05,Autoliv Recovers Most Tariff Costs And Reaffirms Strong Outlook - Autoliv  ( NYSE:ALV ) ,0.285979,Somewhat-Bullish,ALV
2025-10-17 11:10:01,"Autoliv, Inc.  ( ALV )  Surpasses Q3 Earnings and Revenue Estimates",0.1934,Somewhat-Bullish,ALV
2025-10-14 13:40:02,"Autoliv, Inc.  ( ALV )  is a Top-Ranked Value Stock: Should You Buy?",0.504761,Bullish,ALV
2025-10-10 14:00:02,"Autoliv, Inc.  ( ALV )  Earnings Expected to Grow: What to Know Ahead of Next Week's Release",0.154742,Somewhat-Bullish,ALV
2025-10-09 20:36:36,Lancaster Loads Up On Dick's Sporting Goods  ( NYSE:DKS )  With New $32 Million Stake,0.197949,Somewhat-Bullish,ALV
2025-10-09 13:28:30,Autoliv's New Joint Venture In China Aims To Revolutionize Automotive Safety Electronics - Autoliv  ( NYSE:ALV ) ,0.363753,Bullish,ALV
2025-10-08 20:23:15,"Lancaster Dumps Entire Nike Stake, Worth $25 Million",0.186941,Somewhat-Bullish,ALV
2025-10-07 12:30:19,"This Dollar Tree Analyst Turns Bearish; Here Are Top 5 Downgrades For Tuesday - Dollar Tree  ( NASDAQ:DLTR ) , Autoliv  ( NYSE:ALV ) ",0.131396,Neutral,ALV
2025-10-07 12:13:15,"AMD To Rally More Than 47%? Here Are 10 Top Analyst Forecasts For Tuesday - Autoliv  ( NYSE:ALV ) , Abivax  ( NASDAQ:ABVX ) ",0.227089,Somewhat-Bullish,ALV
2025-09-30 13:50:02,"Here's Why Autoliv, Inc.  ( ALV )  is a Strong Momentum Stock",0.487842,Bullish,ALV
2025-09-24 13:40:01,"Here's Why Autoliv, Inc.  ( ALV )  is a Strong Value Stock",0.512561,Bullish,ALV
2025-09-03 13:40:02,"Why Autoliv, Inc.  ( ALV )  is a Top Value Stock for the Long-Term",0.482389,Bullish,ALV
2025-08-25 13:14:00,Are Options Traders Betting on a Big Move in Autoliv Stock?,0.081057,Neutral,ALV
2025-08-18 13:40:01,Are You a Value Investor? This 1 Stock Could Be the Perfect Pick,0.509725,Bullish,ALV
2025-08-13 13:50:01,"Why Autoliv, Inc.  ( ALV )  is a Top Momentum Stock for the Long-Term",0.463719,Bullish,ALV
2025-08-01 13:40:02,"Here's Why Autoliv, Inc.  ( ALV )  is a Strong Value Stock",0.491974,Bullish,ALV
2025-07-31 14:44:00,"BorgWarner Beats on Q2 Earnings, Boosts Dividend & Buyback",0.109264,Neutral,ALV
2025-07-22 14:12:00,"GPC Tops Q2 Earnings Estimates, Slashes 2025 View Amid Tariffs",0.158752,Somewhat-Bullish,ALV
2025-07-18 23:46:07,Autoliv Hit Sales and Margin Records in Q2,0.305679,Somewhat-Bullish,ALV
2025-07-18 16:39:06,Autoliv  ( ALV )  Q2 2025 Earnings Call Transcript,0.251304,Somewhat-Bullish,ALV
2025-07-18 13:50:01,Are You a Momentum Investor? This 1 Stock Could Be the Perfect Pick,0.406799,Bullish,ALV
2025-07-18 12:37:02,Autoliv Q2 Earnings - Autoliv  ( NYSE:ALV ) ,0.274011,Somewhat-Bullish,ALV
2025-07-18 11:10:02,"Autoliv, Inc.  ( ALV )  Q2 Earnings and Revenues Beat Estimates",0.186553,Somewhat-Bullish,ALV
2025-07-15 16:10:03,Will Autoliv  ( ALV )  Beat Estimates Again in Its Next Earnings Report?,0.348354,Somewhat-Bullish,ALV
2025-07-15 13:40:01,"Why Autoliv, Inc.  ( ALV )  is a Top Value Stock for the Long-Term",0.451153,Bullish,ALV
2025-07-15 13:15:01,What Analyst Projections for Key Metrics Reveal About Autoliv  ( ALV )  Q2 Earnings,0.169909,Somewhat-Bullish,ALV
2025-07-11 14:00:02,"Autoliv, Inc.  ( ALV )  Earnings Expected to Grow: What to Know Ahead of Next Week's Release",0.157091,Somewhat-Bullish,ALV
2025-07-04 05:28:16,Dulux Paint maker AkzoNobel names Fredrik Westin as CFO - ETCFO,0.367025,Bullish,ALV
2025-07-03 12:50:00,Are Options Traders Betting on a Big Move in Autoliv Stock?,0.066961,Neutral,ALV
2025-06-26 15:55:00,"Winnebago's Q3 Earnings Beat Expectations, Guidance Revised",-0.077935,Neutral,ALV
2025-06-25 14:11:57,"This ServiceNow Analyst Begins Coverage On A Bullish Note; Here Are Top 5 Initiations For Wednesday - Autoliv  ( NYSE:ALV ) , Duolingo  ( NASDAQ:DUOL ) ",0.264923,Somewhat-Bullish,ALV
2025-06-09 14:23:00,"Auto Roundup: THO Beats Q3 Earnings Mark, ALV Hikes Dividend & More",0.303619,Somewhat-Bullish,ALV
2025-06-05 15:45:00,"Thor Q3 Earnings Surpass Expectations, Revenues Rise Y/Y",0.002378,Neutral,ALV
2025-06-05 10:58:05,"Peter Thiel's Flying Car Dream Nears Reality With Joby Aviation, But Joe Lonsdale Warns FAA 'Must Move Fast' As China Could Overtake US Amid Regulatory Delays - Archer Aviation  ( NYSE:ACHR ) , Autoliv  ( NYSE:ALV ) ",0.168411,Somewhat-Bullish,ALV
2025-06-04 15:18:00,"NIO's Q1 Loss Wider Than Expected, Revenues Increase Y/Y",-0.072828,Neutral,ALV
2025-06-04 11:44:50,"Autoliv Boosts Shareholder Returns With 21% Dividend Hike, New $2.5 Billion Buyback Program - Autoliv  ( NYSE:ALV ) ",0.357552,Bullish,ALV
