time_published,title,sentiment_score,sentiment_label,ticker
2025-11-19 15:00:27,"Florida Rep. Byron Donalds Bought Up to $255K Worth of Brown & Brown Stock - Chipotle Mexican Grill  ( NYSE:CMG ) , Brown & Brown  ( NYSE:BRO ) ",0.120102,Neutral,BRO
2025-11-11 17:15:00,"Brown & Brown, Inc. earns 2026 Military Friendly® Employer designation and Silver 2026 Military Friendly® Employer Award",0.437281,Bullish,BRO
2025-11-11 17:15:00,"Brown & Brown, Inc. earns 2026 Military Friendly® Employer designation and Silver 2026 Military Friendly® Employer Award - Brown & Brown  ( NYSE:BRO ) ",0.415133,Bullish,BRO
2025-11-06 11:30:00,Brown & Brown appoints Jessica Getman and Joe Siech to the Retail segment senior leadership team,0.328559,Somewhat-Bullish,BRO
2025-11-04 11:45:00,"Wright Flood completes the acquisition of Poulton Associates, LLC - Brown & Brown  ( NYSE:BRO ) ",0.208682,Somewhat-Bullish,BRO
2025-10-31 18:52:00,"Arthur J. Gallagher Q3 Earnings & Revenues Miss Estimates, Rise Y/Y",0.219243,Somewhat-Bullish,BRO
2025-10-31 17:52:00,"Arthur J. Gallagher Q3 Earnings & Revenues Miss Estimates, Rise Y/Y",0.219243,Somewhat-Bullish,BRO
2025-10-28 17:23:51,"Nasdaq 100 Hits 26,000, Gold Falls Below $4,000: Markets Today - American Tower  ( NYSE:AMT ) , Ares Capital  ( NASDAQ:ARCC ) ",0.064002,Neutral,BRO
2025-10-28 14:47:00,"Brown & Brown Q3 Earnings & Revenues Beat Estimates, Dividend Raised",0.289946,Somewhat-Bullish,BRO
2025-10-27 22:15:02,Brown & Brown  ( BRO )  Q3 Earnings and Revenues Beat Estimates,0.148382,Neutral,BRO
2025-10-27 21:00:00,"Brown & Brown, Inc. announces third quarter 2025 results, including total revenues of $1.6 billion, an increase of 35.4%; Organic Revenue growth of 3.5%; diluted net income per share of $0.68; and Diluted Net Income Per Share - Adjusted of $1.05",0.190453,Somewhat-Bullish,BRO
2025-10-27 10:30:00,"Brown & Brown, Inc. Certified by Great Place to Work for seventh consecutive year; included on the 2025 Fortune Best Workplaces for Women list for fifth year",0.541622,Bullish,BRO
2025-10-27 10:30:00,"Brown & Brown, Inc. Certified by Great Place to Work for seventh consecutive year; included on the 2025 Fortune Best Workplaces for Women list for fifth year",0.541622,Bullish,BRO
2025-10-24 10:30:00,Wright Flood Announces Agreement To Acquire Assets of Poulton Associates LLC - Brown & Brown  ( NYSE:BRO ) ,0.292273,Somewhat-Bullish,BRO
2025-10-24 10:30:00,Wright Flood Announces Agreement To Acquire Assets of Poulton Associates LLC,0.379197,Bullish,BRO
2025-10-23 14:42:00,Will Brown & Brown Pull Off a Surprise This Earnings Season?,0.241116,Somewhat-Bullish,BRO
2025-10-23 14:00:18,Arthur J. Gallagher  ( AJG )  Earnings Expected to Grow: What to Know Ahead of Next Week's Release,0.13981,Neutral,BRO
2025-10-22 21:30:00,"Brown & Brown, Inc. announces 10% increase in quarterly cash dividend rate and authorization for up to $1.5 billion share buyback",0.330249,Somewhat-Bullish,BRO
