time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 15:12:00,Is Burlington Stores Set for Another Surprise as Q3 Earnings Approach?,0.368528,Bullish,BURL
2025-11-20 14:15:03,Burlington Stores  ( BURL )  Q3 Earnings Preview: What You Should Know Beyond the Headline Estimates,0.173561,Somewhat-Bullish,BURL
2025-11-20 13:44:00,Implied Volatility Surging for Burlington Stores Stock Options,0.069056,Neutral,BURL
2025-11-18 23:30:36,$1000 Invested In Burlington Stores 10 Years Ago Would Be Worth This Much Today - Burlington Stores  ( NYSE:BURL ) ,0.158543,Somewhat-Bullish,BURL
2025-11-18 15:00:04,Burlington Stores  ( BURL )  Earnings Expected to Grow: What to Know Ahead of Next Week's Release,0.174279,Somewhat-Bullish,BURL
2025-11-18 14:45:02,Here's Why Burlington Stores  ( BURL )  is a Strong Growth Stock,0.482162,Bullish,BURL
2025-11-18 12:39:00,BJ's Wholesale Q3 Earnings on Deck: Will BJ Surprise Wall Street?,0.246201,Somewhat-Bullish,BURL
2025-11-13 16:28:00,Lowe's Q3 Earnings Coming Up: Will LOW Extend Its Beat Streak?,0.244212,Somewhat-Bullish,BURL
2025-11-13 13:55:02,These 2 Retail and Wholesale Stocks Could Beat Earnings: Why They Should Be on Your Radar,0.303905,Somewhat-Bullish,BURL
2025-11-13 13:41:00,4 Likely Retail Winners Investors Shouldn't Miss This Earnings Season,0.431879,Bullish,BURL
2025-11-11 21:15:00,"Burlington Stores, Inc. Announces Third Quarter Fiscal Year 2025 Earnings Release Date, Conference Call and Webcast",0.154795,Somewhat-Bullish,BURL
2025-11-11 21:15:00,"Burlington Stores, Inc. Announces Third Quarter Fiscal Year 2025 Earnings Release Date, Conference Call and Webcast - Burlington Stores  ( NYSE:BURL ) ",0.147861,Neutral,BURL
2025-11-10 13:55:02,How to Boost Your Portfolio with Top Retail and Wholesale Stocks Set to Beat Earnings,0.327045,Somewhat-Bullish,BURL
2025-11-06 16:15:52,"If You Invested $100 In Burlington Stores Stock 10 Years Ago, You Would Have This Much Today - Burlington Stores  ( NYSE:BURL ) ",0.158543,Somewhat-Bullish,BURL
2025-11-05 14:50:02,Here's Why Burlington Stores  ( BURL )  is a Strong Momentum Stock,0.386317,Bullish,BURL
2025-11-03 17:10:04,Will Burlington Stores  ( BURL )  Beat Estimates Again in Its Next Earnings Report?,0.318084,Somewhat-Bullish,BURL
2025-10-30 13:45:02,Here's Why Burlington Stores  ( BURL )  is a Strong Growth Stock,0.390565,Bullish,BURL
2025-10-29 13:30:02,Burlington Stores  ( BURL )  Recently Broke Out Above the 50-Day Moving Average,0.327657,Somewhat-Bullish,BURL
2025-10-28 12:50:03,Why Investors Need to Take Advantage of These 2 Retail and Wholesale Stocks Now,0.368453,Bullish,BURL
2025-10-22 14:30:37,Here's How Much $1000 Invested In Burlington Stores 10 Years Ago Would Be Worth Today - Burlington Stores  ( NYSE:BURL ) ,0.158543,Somewhat-Bullish,BURL
2025-10-21 17:13:00,Tractor Supply Gears Up for Q3 Earnings: What's in the Offing?,0.367512,Bullish,BURL
2025-10-20 13:50:02,Why Burlington Stores  ( BURL )  is a Top Momentum Stock for the Long-Term,0.419651,Bullish,BURL
2025-10-20 13:11:00,Will Ross Stores' Store Expansions and Other Initiatives Aid?,0.452891,Bullish,BURL
2025-10-17 12:50:04,Why Investors Need to Take Advantage of These 2 Retail and Wholesale Stocks Now,0.386201,Bullish,BURL
2025-10-16 19:00:47,What's Driving the Market Sentiment Around Burlington Stores Inc? - Burlington Stores  ( NYSE:BURL ) ,0.276201,Somewhat-Bullish,BURL
2025-10-16 12:30:02,"If You Invested $1000 in Burlington Stores a Decade Ago, This is How Much It'd Be Worth Now",0.267743,Somewhat-Bullish,BURL
2025-10-15 17:30:51,What's Going On With Burlington Stores Stock Wednesday? - Burlington Stores  ( NYSE:BURL ) ,0.411157,Bullish,BURL
2025-10-13 13:45:02,Why Burlington Stores  ( BURL )  is a Top Growth Stock for the Long-Term,0.406541,Bullish,BURL
2025-10-07 16:15:15,"If You Invested $100 In Burlington Stores Stock 10 Years Ago, You Would Have This Much Today - Burlington Stores  ( NYSE:BURL ) ",0.158543,Somewhat-Bullish,BURL
2025-10-01 14:00:00,Will Dollar Tree's Strategic Initiatives and Store Expansions Aid?,0.399539,Bullish,BURL
2025-09-25 13:45:02,Here's Why Burlington Stores  ( BURL )  is a Strong Growth Stock,0.3666,Bullish,BURL
2025-09-24 14:12:14,"Seasonal retail hiring to fall to lowest level since 2009, signaling trouble for holidays, report says",0.029,Neutral,BURL
2025-09-18 15:08:00,TJX Trading Cheaper Than Industry: What's the Next Best Move?,0.428668,Bullish,BURL
2025-09-16 12:39:00,How Does Burlington's Off-Price Model Drive Resilient Margins?,0.127398,Neutral,BURL
2025-09-15 13:13:00,Will TJX's 4% Comp Sales Growth Power Full-Year Earnings Upside?,0.437303,Bullish,BURL
2025-09-12 15:02:29,Stephen Ferroni At Burlington Stores Decides to Exercises Options Worth $200K - Burlington Stores  ( NYSE:BURL ) ,0.334742,Somewhat-Bullish,BURL
2025-09-09 16:11:00,"TJX Eyes 1,800+ Store Openings: A Long Runway for Growth Ahead?",0.309777,Somewhat-Bullish,BURL
2025-09-09 13:45:02,Here's Why Burlington Stores  ( BURL )  is a Strong Growth Stock,0.454986,Bullish,BURL
2025-09-08 20:29:50,Here's How Much a $1000 Investment in Burlington Stores Made 10 Years Ago Would Be Worth Today,0.290201,Somewhat-Bullish,BURL
2025-08-29 17:01:14,"Burlington Q2 Tops Expectations, Yet Shares Tumble"" - Burlington Stores  ( NYSE:BURL ) ",0.296594,Somewhat-Bullish,BURL
2025-08-29 16:59:00,Burlington Stores' Q2 Earnings Beat Estimates on Higher Sales & Margins,0.188508,Somewhat-Bullish,BURL
2025-08-29 13:26:00,"Company News for Aug 29, 2025",0.360487,Bullish,BURL
2025-08-29 12:41:24,"Dollar Tree To Rally More Than 15%? Here Are 10 Top Analyst Forecasts For Friday - Autodesk  ( NASDAQ:ADSK ) , Build-A-Bear Workshop  ( NYSE:BBW ) ",0.220591,Somewhat-Bullish,BURL
2025-08-29 11:37:09,These Analysts Increase Their Forecasts On Burlington Stores After Upbeat Q2 Results - Burlington Stores  ( NYSE:BURL ) ,0.232519,Somewhat-Bullish,BURL
2025-08-28 21:02:41,Stock Market Today: Markets Extend Rally as Economic Momentum Spurs Broad-Based Gains,0.081408,Neutral,BURL
2025-08-28 15:07:00,Jobless Claims Decreased More Than Expected,0.180354,Somewhat-Bullish,BURL
2025-08-28 14:16:00,"Big Morning for Q2 Numbers: GDP +3.3%, Earnings Beats for Retailers",0.175633,Somewhat-Bullish,BURL
2025-08-28 12:37:52,Why Is Burlington Stores Stock Soaring Thursday? - Burlington Stores  ( NYSE:BURL ) ,0.222521,Somewhat-Bullish,BURL
2025-08-28 12:00:03,Burlington Stores  ( BURL )  Tops Q2 Earnings and Revenue Estimates,0.154983,Somewhat-Bullish,BURL
2025-08-28 11:07:20,Burlington EPS Jumps 43% in Fiscal Q2,0.309162,Somewhat-Bullish,BURL
