time_published,title,sentiment_score,sentiment_label,ticker
2025-11-13 13:27:42,"Tesla's Robotaxi Revolution Is Still Downloading - Waymo's Already In The Fast Lane - Alphabet  ( NASDAQ:GOOG ) , Alphabet  ( NASDAQ:GOOGL ) , Tesla  ( NASDAQ:TSLA ) ",0.122912,Neutral,CAR
2025-11-11 15:45:26,"Only Two Days Left - Don't Miss Out - Register Now! HMG Strategy's Annual New York Global Innovation Summit 2025 unites CIOs, CISOs, and top executives to share insight on IT, AI, cyber security, and innovation",0.259166,Somewhat-Bullish,CAR
2025-11-06 17:27:00,"Corpay Earnings Beat Estimates in Q3, Revenues Increase 14% Y/Y",0.236805,Somewhat-Bullish,CAR
2025-11-06 15:56:08,"Just One Week Away! HMG Strategy's Annual New York Global Innovation Summit 2025 unites CIOs, CISOs, and top executives to share insight on IT, AI, cyber security, and innovation",0.259166,Somewhat-Bullish,CAR
2025-11-05 18:29:00,Avis Budget Stock Declines 11% Despite Reporting Q3 Earnings Beat,0.082961,Neutral,CAR
2025-11-03 13:15:00,Veralto Appoints Kim Chainey as Chief Legal Officer - Veralto  ( NYSE:VLTO ) ,0.460906,Bullish,CAR
2025-10-27 21:10:02,Avis Budget Group  ( CAR )  Q3 Earnings and Revenues Top Estimates,0.139652,Neutral,CAR
2025-10-27 20:24:38,Avis Budget Stock Drives Higher On Q3 Earnings Report - Avis Budget Gr  ( NASDAQ:CAR ) ,0.243869,Somewhat-Bullish,CAR
2025-10-27 14:38:22,"Top Stocks With Earnings This Week: SoFi, Apple, Meta and More - SoFi Technologies  ( NASDAQ:SOFI ) ",0.129513,Neutral,CAR
2025-10-22 14:00:24,C.H. Robinson Worldwide  ( CHRW )  Earnings Expected to Grow: Should You Buy?,0.126431,Neutral,CAR
2025-10-22 13:15:03,Stay Ahead of the Game With Avis Budget  ( CAR )  Q3 Earnings: Wall Street's Insights on Key Metrics,0.126946,Neutral,CAR
2025-10-21 16:00:00,Worldline : Q3 2025 revenue - press release,0.217971,Somewhat-Bullish,CAR
2025-10-21 10:23:00,New Strong Sell Stocks for Oct. 21,-0.178979,Somewhat-Bearish,CAR
2025-10-20 14:00:04,Avis Budget Group  ( CAR )  Earnings Expected to Grow: Should You Buy?,0.123933,Neutral,CAR
2025-10-03 20:14:00,Avis Budget Group to Announce Third Quarter 2025 Results on October 27th,0.174447,Somewhat-Bullish,CAR
2025-08-28 15:30:05,Avis Budget  ( CAR )  Down 9% Since Last Earnings Report: Can It Rebound?,-0.059579,Neutral,CAR
2025-08-20 22:43:29,Why Investors Slammed the Brakes on Avis Stock Today,0.220096,Somewhat-Bullish,CAR
2025-08-20 17:15:55,"BofA Securities Analyst Hits The Brakes On Avis Budget Group, Downgrades Stock - Avis Budget Gr  ( NASDAQ:CAR ) ",-0.060754,Neutral,CAR
2025-08-06 16:24:00,Avis Budget Stock Declines 22% Since Reporting Q2 Earnings Miss,-0.095233,Neutral,CAR
2025-08-01 13:26:46,"This CyberArk Software Analyst Is No Longer Bullish; Here Are Top 5 Downgrades For Friday - Albany International  ( NYSE:AIN ) , Builders FirstSource  ( NYSE:BLDR ) ",0.260123,Somewhat-Bullish,CAR
2025-07-30 20:06:15,Avis  ( CAR )  Q2 EPS Drops 76% Revenue Flat,0.20512,Somewhat-Bullish,CAR
2025-07-30 18:40:34,"Gold Gains 1%; Wingstop Shares Spike Higher - Avis Budget Gr  ( NASDAQ:CAR ) , FTAI Aviation  ( NASDAQ:FTAI ) ",0.230135,Somewhat-Bullish,CAR
2025-07-30 18:21:39,Why Avis Budget Group Stock Was Falling Today,0.231181,Somewhat-Bullish,CAR
2025-07-30 12:05:06,"Avis Budget Group Posts Downbeat Earnings, Joins SoFi Technologies, Seagate And Other Big Stocks Moving Lower In Wednesday's Pre-Market Session - Avis Budget Gr  ( NASDAQ:CAR ) , Cardiff Oncology  ( NASDAQ:CRDF ) ",-0.110646,Neutral,CAR
2025-07-29 21:45:06,Avis Budget Group Stock Skids After Q2 Earnings Miss - Avis Budget Gr  ( NASDAQ:CAR ) ,0.229697,Somewhat-Bullish,CAR
2025-07-29 21:10:02,Avis Budget Group  ( CAR )  Misses Q2 Earnings and Revenue Estimates,0.126103,Neutral,CAR
2025-07-29 17:44:08,What's Going On With Lucid Stock On Tuesday? - Lucid Group  ( NASDAQ:LCID ) ,0.278042,Somewhat-Bullish,CAR
2025-07-29 12:58:00,Avis Budget Group Announces Multi-Year Strategic Partnership with Waymo,0.238726,Somewhat-Bullish,CAR
2025-07-25 15:01:19,What the Options Market Tells Us About Avis Budget Gr - Avis Budget Gr  ( NASDAQ:CAR ) ,0.168954,Somewhat-Bullish,CAR
2025-07-24 14:00:37,Schneider National  ( SNDR )  Reports Next Week: What to Know Ahead of the Release,0.149298,Neutral,CAR
2025-07-15 14:26:00,Canada Goose and Avis Budget have been highlighted as Zacks Bull and Bear of the Day,0.227049,Somewhat-Bullish,CAR
2025-07-15 10:30:00,Bear of the Day: Avis Budget Group  ( CAR ) ,0.101005,Neutral,CAR
2025-07-14 09:58:00,New Strong Sell Stocks for July 14th,-0.139404,Neutral,CAR
2025-07-02 14:20:05,"Kuehn Law Encourages Investors of Avis Budget Group, Inc. to Contact Law Firm - Avis Budget Gr  ( NASDAQ:CAR ) ",-0.045824,Neutral,CAR
2025-06-27 01:00:00,"AVIS ALERT: Bragar Eagel & Squire, P.C. is Investigating Avis Budget Group, Inc. on Behalf of Long-Term Stockholders and Encourages Investors to Contact the Firm - Avis Budget Gr  ( NASDAQ:CAR ) ",-0.021802,Neutral,CAR
2025-06-24 22:08:00,Buy Uber or Avis Stock for Higher Highs?,0.284898,Somewhat-Bullish,CAR
2025-06-24 16:30:26,"Carnival Posts Better-Than-Expected Earnings, Joins Liminatus Pharma, Coinbase Global, Uber And Other Big Stocks Moving Higher On Tuesday - Ambarella  ( NASDAQ:AMBA ) , Amylyx Pharmaceuticals  ( NASDAQ:AMLX ) ",0.289759,Somewhat-Bullish,CAR
2025-06-23 20:55:15,"Avis Budget Group, Inc. Investors: Please contact the Portnoy Law Firm to recover your losses. June 24, 2025 Deadline to file Lead Plaintiff Motion. - Avis Budget Gr  ( NASDAQ:CAR ) ",0.009715,Neutral,CAR
2025-06-23 14:25:00,"DEADLINE ALERT: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Avis Budget Group - Avis Budget Gr  ( NASDAQ:CAR ) ",0.15737,Somewhat-Bullish,CAR
2025-06-22 11:18:00,"CAR Investors Have the Opportunity to Lead the Avis Budget Group Securities Fraud Lawsuit with Faruqi & Faruqi, LLP",0.13942,Neutral,CAR
2025-06-19 01:20:00,"CAR FINAL DEADLINE: ROSEN, SKILLED INVESTOR COUNSEL, Encourages Avis Budget Group, Inc. Investors with Losses in Excess of $100K to Secure Counsel Before Important June 24 Deadline in Securities Class Action - CAR - Avis Budget Gr  ( NASDAQ:CAR ) ",0.131763,Neutral,CAR
2025-06-18 13:23:00,"Shareholders of Avis Budget Group, Inc. Should Contact The Gross Law Firm Before June 24, 2025 to Discuss Your Rights - CAR - Avis Budget Gr  ( NASDAQ:CAR ) ",-0.098014,Neutral,CAR
2025-06-17 16:09:00,"DEADLINE ALERT for CAR, NSSC, LPRO, and CIVI: The Law Offices of Frank R. Cruz Reminds Investors of Class Actions on Behalf of Shareholders - Avis Budget Gr  ( NASDAQ:CAR ) , Civitas Resources  ( NYSE:CIVI ) ",0.0,Neutral,CAR
2025-06-16 17:20:00,"Levi & Korsinsky Reminds Shareholders of a Lead Plaintiff Deadline of June 24, 2025 in Avis Budget Lawsuit - CAR - Avis Budget Gr  ( NASDAQ:CAR ) ",0.012256,Neutral,CAR
2025-06-16 11:57:00,"Investors in Avis Budget Group, Inc.  ( CAR ) : Protect Your Rights - Contact Levi & Korsinsky Before June 24, 2025",-0.073967,Neutral,CAR
2025-06-15 15:32:00,"CAR FINAL DEADLINE: ROSEN, TRUSTED INVESTOR COUNSEL, Encourages Avis Budget Group, Inc. Investors with Losses in Excess of $100K to Secure Counsel Before Important June 24 Deadline in Securities Class Action - CAR - Avis Budget Gr  ( NASDAQ:CAR ) ",0.131763,Neutral,CAR
2025-06-14 12:36:00,"CAR DEADLINE NOTICE: ROSEN, A TOP RANKED LAW FIRM, Encourages Avis Budget Group, Inc. Investors with Losses in Excess of $100K to Secure Counsel Before Important June 24 Deadline in Securities...",0.12497,Neutral,CAR
2025-06-13 17:19:00,"Levi & Korsinsky Notifies Avis Budget Group, Inc. Investors of a Class Action Lawsuit and Upcoming Deadline - CAR - Avis Budget Gr  ( NASDAQ:CAR ) ",0.012256,Neutral,CAR
2025-06-12 21:15:00,"SHAREHOLDER NOTICE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Avis Budget Group - Avis Budget Gr  ( NASDAQ:CAR ) ",0.15737,Somewhat-Bullish,CAR
2025-06-12 00:14:00,"ROSEN, A RANKED AND LEADING LAW FIRM, Encourages Avis Budget Group, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - CAR - Avis Budget Gr  ( NASDAQ:CAR ) ",0.131763,Neutral,CAR
