time_published,title,sentiment_score,sentiment_label,ticker
2022-07-08 15:16:00,Ryanair  ( RYAAY )  Resumes Service From Belfast With 12 New Routes,0.054493,Neutral,CHRW
2022-07-07 15:24:00,6 Reasons For Investors to Buy C.H. Robinson  ( CHRW )  Stock Now,0.235985,Somewhat-Bullish,CHRW
2022-07-07 12:38:00,"Zacks Industry Outlook Highlights C.H. Robinson Worldwide, Ryder System, and Eagle Bulk Shipping, and Union Pacific",0.161007,Somewhat-Bullish,CHRW
2022-07-06 17:28:00,Grab 3 Transportation Stocks for 2H22: What's the Road Ahead?,0.097114,Neutral,CHRW
2022-07-05 17:42:00,Ryanair Holdings  ( RYAAY )  Inks Deal With UK Pilots' Union,-0.136267,Neutral,CHRW
2022-07-05 14:59:00,Canadian National  ( CNI )  Announces Termination of IBEW-Led Strike,0.028309,Neutral,CHRW
2022-07-04 15:36:00,Ryanair  ( RYAAY )  Faces Strike Action by Cabin Crew in Spain,-0.079774,Neutral,CHRW
2022-07-04 14:02:00,3 Transport-Services Stocks That Should Grace Your Portfolio,0.26708,Somewhat-Bullish,CHRW
2022-06-30 20:06:00,Rising Airfreight Revenues Aid Expeditors  ( EXPD )  Despite High Debt,0.078389,Neutral,CHRW
2022-06-29 20:00:00,Higher Segmental Revenues Up Kirby  ( KEX )  Despite Low Liquidity,0.077505,Neutral,CHRW
2022-06-29 19:45:00,Solid Cash Balance Boosts Schneider  ( SNDR )  Despite High Capex,0.098911,Neutral,CHRW
2022-06-28 19:31:00,Why Investors Should Buy Norfolk Southern  ( NSC )  Stock Now,0.15922,Somewhat-Bullish,CHRW
2022-06-27 17:48:00,Air-Travel Demand Boosts SkyWest  ( SKYW )  Despite Low Liquidity,0.010523,Neutral,CHRW
2022-06-27 17:46:00,United Airlines  ( UAL )  Pilots Likely to Get Huge Pay Hike,-0.006274,Neutral,CHRW
2022-06-27 17:44:00,Cabin Crew Strikes Have Minimal Effect on Ryanair  ( RYAAY ) ,-0.104697,Neutral,CHRW
2022-06-23 17:45:00,Solid Cash Balance Boosts Wabtec  ( WAB )  Despite Expense Woes,0.024289,Neutral,CHRW
2022-06-23 17:08:00,Here's Why Investors Should Retain Hawaiian Holdings  ( HA )  Now,-0.012367,Neutral,CHRW
2022-06-22 16:06:00,Delta Air  ( DAL )  to Resume Flights to South Korea From October,0.08235,Neutral,CHRW
2022-06-21 18:07:00,IBEW-Led Strike Leaves Zero Effect on Canadian National  ( CNI ) ,0.158158,Somewhat-Bullish,CHRW
2022-06-21 17:58:00,Here's Why You Should Retain J.B. Hunt  ( JBHT )  in Portfolio Now,0.109301,Neutral,CHRW
2022-06-20 20:53:00,"Solid LTL Segment Aids Old Dominion  ( ODFL ) , High Costs Ail",0.118405,Neutral,CHRW
2022-06-20 20:50:00,Investors Should Bet on FedEx  ( FDX )  Stock Now: Here's Why,0.059577,Neutral,CHRW
2022-06-20 17:24:00,Southwest Airlines  ( LUV )  Extends Flight Schedule to January 2023,0.086111,Neutral,CHRW
2022-06-17 16:13:00,Trinity  ( TRN )  Solid Liquidity Aids Amid Supply Chain Disruptions,-0.013423,Neutral,CHRW
2022-06-17 12:41:00,Here's Why Investors Should Retain American Airlines  ( AAL )  Now,0.077535,Neutral,CHRW
2022-06-17 11:47:28,Twitter And 2 Other Stocks Insiders Are Selling,-0.156566,Somewhat-Bearish,CHRW
2022-06-16 19:48:00,Canadian National  ( CNI )  Gets 72-Hour Strike Notice From IBEW,0.115281,Neutral,CHRW
2022-06-15 13:36:00,"The Zacks Analyst Blog Highlights Vistra, Packaging Corp. of America, Reliance Steel & Aluminum, Dell Technologies and C.H. Robinson",-0.051485,Neutral,CHRW
2022-06-15 08:02:00,C.H. Robinson  ( CHRW )  Moves 6% Higher: Will This Strength Last?,0.02578,Neutral,CHRW
2022-06-14 16:28:01,"Stocks making the biggest moves midday: FedEx, Continental Resources, Oracle and more",-0.027887,Neutral,CHRW
2022-06-14 16:11:00,"Stock Market Mixed At Midday, But This Growth Index Is Up More Than 1%",-0.030577,Neutral,CHRW
2022-06-14 14:56:00,Solid Liquidity Boosts Air Lease  ( AL )  Amid High Expenses,0.092648,Neutral,CHRW
2022-06-14 12:06:00,Major Indexes Enter Bear Market: 5 Low-Beta Stock Picks,0.001667,Neutral,CHRW
2022-06-13 17:55:00,Here's Why You Should Hold Canadian National  ( CNI )  Stock Now,-0.042873,Neutral,CHRW
2022-06-10 18:47:00,"Copa Holdings'  ( CPA )  Solid Liquidity Aids, High Fuel Cost Ails",-0.029031,Neutral,CHRW
