time_published,title,sentiment_score,sentiment_label,ticker
2025-11-17 14:15:07,"Unlocking Capri Holdings  ( CPRI )  International Revenues: Trends, Surprises, and Prospects",0.241933,Somewhat-Bullish,CPRI
2025-11-07 16:33:00,TPR Stock Falls 10% Despite Q1 Earnings Beat & Raised FY26 Outlook,0.195495,Somewhat-Bullish,CPRI
2025-11-06 17:25:00,American Eagle's Denim Dominance Returns: Will Global Growth Follow?,0.389143,Bullish,CPRI
2025-11-04 19:57:13,What's Going On With Capri Holdings Stock Tuesday? - Capri Holdings  ( NYSE:CPRI ) ,0.115193,Neutral,CPRI
2025-11-04 18:48:00,"CPRI Posts Q2 Loss, Y/Y Declines in Michael Kors & Jimmy Choo Revenues",0.038417,Neutral,CPRI
2025-11-04 14:55:03,Capri Holdings  ( CPRI )  Forms 'Hammer Chart Pattern': Time for Bottom Fishing?,0.228363,Somewhat-Bullish,CPRI
2025-11-04 12:55:02,"Capri Holdings  ( CPRI )  Reports Q2 Loss, Beats Revenue Estimates",0.183013,Somewhat-Bullish,CPRI
2025-10-30 16:28:00,"MercadoLibre Q3 Earnings Miss Estimates, Revenues Rise Y/Y",0.199007,Somewhat-Bullish,CPRI
2025-10-23 12:50:02,Capri Holdings  ( CPRI )  Shows Fast-paced Momentum But Is Still a Bargain Stock,0.282603,Somewhat-Bullish,CPRI
2025-09-15 18:21:19,Armani's Fashionable Exit: Can Heirs Turn Couture Into Cash For Investors? - Tapestry  ( NYSE:TPR ) ,0.195081,Somewhat-Bullish,CPRI
2025-08-13 14:55:20,"Intapp Posts Better-Than-Expected Earnings, Joins Sapiens International, Arcturus Therapeutics, Gildan Activewear And Other Big Stocks Moving Higher On Wednesday - Agilon Health  ( NYSE:AGL ) , Arcturus Therapeutics  ( NASDAQ:ARCT ) ",0.286578,Somewhat-Bullish,CPRI
2025-08-11 13:15:03,International Markets and Capri Holdings  ( CPRI ) : A Deep Dive for Investors,0.232461,Somewhat-Bullish,CPRI
2025-08-06 17:54:00,"CPRI Q1 Earnings Beat Estimates, Strategic Turnaround Gains Momentum",0.075755,Neutral,CPRI
2025-08-06 14:42:13,"Shopify, Astera Labs, Myriad Genetics, Grocery Outlet And Other Big Stocks Moving Higher On Wednesday - Astera Labs  ( NASDAQ:ALAB ) , Arista Networks  ( NYSE:ANET ) ",0.430607,Bullish,CPRI
2025-08-06 11:55:01,Capri Holdings  ( CPRI )  Beats Q1 Earnings and Revenue Estimates,0.126337,Neutral,CPRI
2025-07-30 14:00:35,Capri Holdings  ( CPRI )  Reports Next Week: Wall Street Expects Earnings Growth,0.138731,Neutral,CPRI
2025-07-10 15:30:04,Why Is Stitch Fix  ( SFIX )  Down 5% Since Last Earnings Report?,0.119309,Neutral,CPRI
2025-06-02 13:15:10,Capri Holdings  ( CPRI )  Reliance on International Sales: What Investors Need to Know,0.25296,Somewhat-Bullish,CPRI
2025-05-29 18:46:28,Versace Sale Would Support Parent Capri Holdings Lean Portfolio: Analyst - Capri Holdings  ( NYSE:CPRI ) ,0.07953,Neutral,CPRI
2025-05-29 17:44:18,These Analysts Revise Their Forecasts On Capri Holdings Following Q4 Results - Capri Holdings  ( NYSE:CPRI ) ,0.171647,Somewhat-Bullish,CPRI
2025-05-29 13:19:00,"Company News for May 29, 2025",-0.148516,Neutral,CPRI
2025-05-28 19:40:57,"Capri Delivers Tepid Q4 Results, Prepares to Refocus on Michael Kors, Jimmy Choo",0.118113,Neutral,CPRI
2025-05-28 18:21:02,Capri  ( CPRI )  Q4 2025 Earnings Call Transcript,0.289233,Somewhat-Bullish,CPRI
2025-05-28 16:25:00,"Capri Holdings Q4 Earnings Fall Short of Estimates, Revenues Dip Y/Y",0.045239,Neutral,CPRI
2025-05-28 14:23:37,"Heico, Monro, Abercrombie & Fitch, Joby Aviation And Other Big Stocks Moving Higher On Wednesday - AnaptysBio  ( NASDAQ:ANAB ) , Abercrombie & Fitch  ( NYSE:ANF ) ",0.343616,Somewhat-Bullish,CPRI
2025-05-28 13:13:35,"Capri Holdings Q4: Earnings Miss, Margins Squeeze Amid Sales Slump And Tariff Uncertainty - Capri Holdings  ( NYSE:CPRI ) ",0.052895,Neutral,CPRI
2025-05-28 12:25:02,"Capri Holdings  ( CPRI )  Reports Q4 Loss, Tops Revenue Estimates",0.168926,Somewhat-Bullish,CPRI
2025-05-28 10:58:13,"Macy's cuts profit outlook as tariffs, promotions hit its business",0.102226,Neutral,CPRI
2025-05-26 13:15:07,Curious about Capri Holdings  ( CPRI )  Q4 Performance? Explore Wall Street Estimates for Key Metrics,0.100493,Neutral,CPRI
2025-05-22 21:20:03,Deckers  ( DECK )  Q4 Earnings and Revenues Beat Estimates,0.118987,Neutral,CPRI
2025-05-09 08:27:42,Luxury labels ditch steep China discounts to rebuild value,0.234719,Somewhat-Bullish,CPRI
2025-04-29 15:19:00,Floor & Decor Q1 Earnings on the Horizon: Key Factors at Play,0.170769,Somewhat-Bullish,CPRI
2025-04-22 13:43:00,Skechers Q1 Earnings on Deck: What Investors Should Pay Attention To,0.19871,Somewhat-Bullish,CPRI
2025-04-11 18:35:49,"Deal Dispatch: Harley-Davidson To Wipe Out? Plus, Prada's Versace Purchase Garners A Fashionable Price - Capri Holdings  ( NYSE:CPRI ) , NIOX Group  ( OTC:CSSPF ) ",0.095658,Neutral,CPRI
2025-04-11 18:35:33,"Versace Exit Is Capri's Big Bet On Michael Kors Revival, Says Analyst - Capri Holdings  ( NYSE:CPRI ) ",0.171578,Somewhat-Bullish,CPRI
2025-04-11 14:50:00,"Capri Holdings Streamlines its Operations, Sells Versace to Prada",0.446517,Bullish,CPRI
2025-04-10 14:47:38,Versace Goes Prada: Capri's Big Exit Sparks Fashion Power Shift - Capri Holdings  ( NYSE:CPRI ) ,0.277679,Somewhat-Bullish,CPRI
2025-04-09 20:30:53,"Retail Stocks Rally On Tariff Pause: What's Going On? - Ralph Lauren  ( NYSE:RL ) , Capri Holdings  ( NYSE:CPRI ) ",0.243581,Somewhat-Bullish,CPRI
2025-04-04 18:20:48,Trump Reveals Vietnam Trade Talks As Nike Stock Rallies On Surprise Turnaround - Nike  ( NYSE:NKE ) ,0.252395,Somewhat-Bullish,CPRI
2025-04-03 17:32:28,Retail Stocks Slammed As Trump's Tariff Plan Sends Shockwaves Through Sector - Nike  ( NYSE:NKE ) ,-0.040973,Neutral,CPRI
2025-03-21 19:31:39,Behind the Scenes of Capri Holdings's Latest Options Trends - Capri Holdings  ( NYSE:CPRI ) ,0.21706,Somewhat-Bullish,CPRI
2025-03-17 15:40:15,GAP vs. CPRI: Which Stock Is the Better Value Option?,0.509555,Bullish,CPRI
2025-03-14 02:34:26,"Profile | Donatella Versace, out at namesake fashion label, overcame many obstacles",0.140175,Neutral,CPRI
2025-03-07 16:30:54,Capri Holdings  ( CPRI )  Up 1.6% Since Last Earnings Report: Can It Continue?,-0.093232,Neutral,CPRI
2025-03-07 15:30:54,Capri Holdings  ( CPRI )  Up 1.6% Since Last Earnings Report: Can It Continue?,-0.093232,Neutral,CPRI
2025-03-03 20:31:24,Behind the Scenes of Capri Holdings's Latest Options Trends - Capri Holdings  ( NYSE:CPRI ) ,0.195454,Somewhat-Bullish,CPRI
2025-03-03 20:00:00,VSCO Stock Before Q4 Earnings: Buy Now or Wait for Results?,0.350995,Bullish,CPRI
2025-03-03 13:57:00,Capri may sell struggling Versace to Prada. That's boosting Capri's stock.,0.095564,Neutral,CPRI
