time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 13:00:00,Enphase Energy Announces New Safe Harbor Agreement with a Leading TPO Provider,0.353375,Bullish,ENPH
2025-11-20 13:00:00,Enphase Energy Announces New Safe Harbor Agreement with a Leading TPO Provider - Enphase Energy  ( NASDAQ:ENPH ) ,0.342579,Somewhat-Bullish,ENPH
2025-11-19 18:02:27,Enphase Energy's Options: A Look at What the Big Money is Thinking - Enphase Energy  ( NASDAQ:ENPH ) ,0.241208,Somewhat-Bullish,ENPH
2025-11-17 18:32:26,Lithium Protests At COP30 Put Tesla And Albemarle Investors On Alert - Lithium Americas  ( NYSE:LAC ) ,0.08252,Neutral,ENPH
2025-11-17 16:35:14,Should Investors Buy Enphase Energy Stock on the Dip?,-0.191334,Somewhat-Bearish,ENPH
2025-11-17 15:47:51,"Why Is Enphase Energy Stock Crashing, and Is It a Buying Opportunity?",-0.068914,Neutral,ENPH
2025-11-17 15:28:00,Canadian Solar to Supply 20.7MW Battery Energy Storage in Germany,0.304693,Somewhat-Bullish,ENPH
2025-11-14 14:00:05,"Enphase Energy, Inc.  ( ENPH )  is Attracting Investor Attention: Here is What You Should Know",0.217371,Somewhat-Bullish,ENPH
2025-11-14 13:01:00,Canadian Solar to Supply 1858 MWh of Energy Storage Solution in Canada,0.29316,Somewhat-Bullish,ENPH
2025-11-13 16:42:54,"AI Data Centers Are Quietly Creating A Natural Gas Supercycle: IEA - Enphase Energy  ( NASDAQ:ENPH ) , Coterra Energy  ( NYSE:CTRA ) ",0.14681,Neutral,ENPH
2025-11-13 15:45:00,"Canadian Solar Q3 Loss Narrower Than Estimates, Revenues Fall Y/Y",-0.00483,Neutral,ENPH
2025-11-12 13:00:00,Enphase Energy Announces Partnership with Green Mountain Power to Launch Innovations in Vermont including the Home Battery Lease Program,0.326199,Somewhat-Bullish,ENPH
2025-11-06 13:28:00,"SolarEdge Technologies Q3 Earnings Top Estimates, Revenues Rise Y/Y",-0.0024,Neutral,ENPH
2025-10-31 15:17:00,"First Solar Q3 Earnings Lag Estimates, Revenues Increase Y/Y",0.138134,Neutral,ENPH
2025-10-31 14:18:00,GEV vs. ENPH: Which Clean-Energy Stock Has Brighter Growth Prospects?,0.406327,Bullish,ENPH
2025-10-31 14:17:00,"First Solar Q3 Earnings Lag Estimates, Revenues Increase Y/Y",0.138134,Neutral,ENPH
2025-10-30 20:13:21,Why Clouds Are Hanging on Enphase Energy Stock This Week,0.0823,Neutral,ENPH
2025-10-30 19:01:19,Smart Money Is Betting Big In ENPH Options - Enphase Energy  ( NASDAQ:ENPH ) ,0.221544,Somewhat-Bullish,ENPH
2025-10-29 17:31:42,Enphase Energy Stock Is Getting Crushed Today: Here's Why - Enphase Energy  ( NASDAQ:ENPH ) ,0.097173,Neutral,ENPH
2025-10-29 14:46:50,Why Enphase Energy Stock Crashed Today,0.085139,Neutral,ENPH
2025-10-29 13:44:00,"Enphase Energy Q3 Earnings Beat Estimates, Revenues Rise Y/Y",0.129359,Neutral,ENPH
2025-10-29 12:37:00,Tesla's Margins Face Headwinds,0.131014,Neutral,ENPH
2025-10-29 12:05:16,"Mondelez International, Stride, Varonis Systems And Other Big Stocks Moving Lower In Wednesday's Pre-Market Session - Akebia Therapeutics  ( NASDAQ:AKBA ) , Caesars Entertainment  ( NASDAQ:CZR ) ",-0.098376,Neutral,ENPH
2025-10-28 22:31:05,Enphase  ( ENPH )  Q3 2025 Earnings Call Transcript,0.214626,Somewhat-Bullish,ENPH
2025-10-28 21:25:03,Enphase Energy  ( ENPH )  Tops Q3 Earnings and Revenue Estimates,0.164145,Somewhat-Bullish,ENPH
2025-10-28 20:21:22,"Enphase Energy Stock Slides On Q3 Earnings, Soft Outlook - Enphase Energy  ( NASDAQ:ENPH ) ",0.028532,Neutral,ENPH
2025-10-27 14:38:22,"Top Stocks With Earnings This Week: SoFi, Apple, Meta and More - SoFi Technologies  ( NASDAQ:SOFI ) ",0.129513,Neutral,ENPH
2025-10-27 13:16:00,First Solar to Release Q3 Earnings: Here's What You Need to Know,0.242222,Somewhat-Bullish,ENPH
2025-10-27 12:00:00,Enphase Energy Announces Complete Off-Grid Solar and Battery Solution in the U.S.,0.252172,Somewhat-Bullish,ENPH
2025-10-27 12:00:00,Enphase Energy Announces Complete Off-Grid Solar and Battery Solution in the U.S. - Enphase Energy  ( NASDAQ:ENPH ) ,0.252062,Somewhat-Bullish,ENPH
2025-10-23 14:00:05,First Solar  ( FSLR )  Earnings Expected to Grow: What to Know Ahead of Next Week's Release,0.172141,Somewhat-Bullish,ENPH
2025-10-23 12:50:03,These 2 Oils and Energy Stocks Could Beat Earnings: Why They Should Be on Your Radar,0.376305,Bullish,ENPH
2025-10-22 13:23:00,Enphase Energy to Report Q3 Earnings: Here's What to Expect,0.189993,Somewhat-Bullish,ENPH
2025-10-21 14:00:14,Enphase Energy  ( ENPH )  Expected to Beat Earnings Estimates: Can the Stock Move Higher?,0.149413,Neutral,ENPH
2025-10-20 21:50:05,Enphase Energy  ( ENPH )  Beats Stock Market Upswing: What Investors Need to Know,0.156797,Somewhat-Bullish,ENPH
2025-10-18 16:49:14,"Got $10,000? 4 Top AI Grid Resilience Stocks to Buy That Could Double by 2030",-0.218753,Somewhat-Bearish,ENPH
2025-10-17 22:35:25,Why Enphase Energy Stock Raced Higher This Week,0.321342,Somewhat-Bullish,ENPH
2025-10-17 13:00:04,"Investors Heavily Search Enphase Energy, Inc.  ( ENPH ) : Here is What You Need to Know",0.250489,Somewhat-Bullish,ENPH
2025-10-14 08:24:42,"As Trump Rolls Back Clean Energy Incentives, These 2 Solar Stocks Are Seeing A Sharp Drop In Quality Metrics - Enphase Energy  ( NASDAQ:ENPH ) ",0.053826,Neutral,ENPH
2025-10-13 21:50:05,Enphase Energy  ( ENPH )  Laps the Stock Market: Here's Why,0.163014,Somewhat-Bullish,ENPH
2025-10-13 16:01:02,Enphase Energy Options Trading: A Deep Dive into Market Sentiment - Enphase Energy  ( NASDAQ:ENPH ) ,0.22224,Somewhat-Bullish,ENPH
2025-10-13 12:00:00,Enphase Energy Expands Virtual Power Plant Support Across Europe - Enphase Energy  ( NASDAQ:ENPH ) ,0.346372,Somewhat-Bullish,ENPH
2025-10-10 14:10:00,Enphase Expands IQ Energy Management to Include Water Heaters,0.532477,Bullish,ENPH
2025-10-09 22:00:04,Why the Market Dipped But Enphase Energy  ( ENPH )  Gained Today,0.154622,Somewhat-Bullish,ENPH
2025-10-09 12:00:00,"Enphase Energy Adds Smart Water Heater Control in Belgium, the Netherlands, and Switzerland - Enphase Energy  ( NASDAQ:ENPH ) ",0.352929,Bullish,ENPH
2025-10-07 12:50:03,These 2 Oils and Energy Stocks Could Beat Earnings: Why They Should Be on Your Radar,0.349944,Somewhat-Bullish,ENPH
2025-10-06 13:00:04,"Here is What to Know Beyond Why Enphase Energy, Inc.  ( ENPH )  is a Trending Stock",0.241636,Somewhat-Bullish,ENPH
2025-10-03 12:50:03,Why Investors Need to Take Advantage of These 2 Oils and Energy Stocks Now,0.3776,Bullish,ENPH
