time_published,title,sentiment_score,sentiment_label,ticker
2025-11-12 13:00:00,Hour Loop Reports Third Quarter of 2025 Results,0.287826,Somewhat-Bullish,ETSY
2025-11-09 15:08:52,The 5 Hottest AI-Powered Side Hustles That Actually Seem Plausible,0.219536,Somewhat-Bullish,ETSY
2025-11-07 11:20:01,Is State Street SPDR S&P Retail ETF  ( XRT )  a Strong ETF Right Now?,0.173378,Somewhat-Bullish,ETSY
2025-11-03 16:46:11,"I Asked ChatGPT How To Make $5,000 Extra A Month Without Quitting My Job",0.352424,Bullish,ETSY
2025-11-02 13:17:00,Here's What PayPal's Deal With OpenAI Means for Investors,0.193926,Somewhat-Bullish,ETSY
2025-11-01 10:47:00,Etsy Is Getting a New CEO. Could This Be the Beginning of a Turnaround?,0.223993,Somewhat-Bullish,ETSY
2025-10-30 20:06:08,Etsy Q3 Upside: AI And Depop Drive Momentum - Etsy  ( NYSE:ETSY ) ,0.241565,Somewhat-Bullish,ETSY
2025-10-29 21:13:18,Etsy Stock Slumps 12.6% Following Major CEO Announcement,0.082542,Neutral,ETSY
2025-10-29 16:29:03,Why Is Etsy Stock Sinking Wednesday? - Etsy  ( NYSE:ETSY ) ,0.133572,Neutral,ETSY
2025-10-29 12:37:00,Tesla's Margins Face Headwinds,0.131014,Neutral,ETSY
2025-10-29 12:27:43,"Etsy stock sinks on downbeat earnings, CEO change - Depop chief to replace Silverman",0.078578,Neutral,ETSY
2025-10-29 12:15:02,Etsy  ( ETSY )  Q3 Earnings and Revenues Beat Estimates,0.177463,Somewhat-Bullish,ETSY
2025-10-28 22:08:00,Travis Kelce's Six Flags Activist Role & the Rise of Celebrity Investors,0.121157,Neutral,ETSY
2025-10-28 15:38:07,Sysco  ( SYY )  Q1 2026 Earnings Call Transcript,0.368509,Bullish,ETSY
2025-10-28 15:05:02,Travelzoo  ( TZOO )  Misses Q3 Earnings and Revenue Estimates,0.155171,Somewhat-Bullish,ETSY
2025-10-28 14:05:00,This E-commerce Titan Is an Absolute Cash Machine; Its Stock Could Surge Another 50%,0.215398,Somewhat-Bullish,ETSY
2025-10-28 12:02:42,PYPL Surges 13% On PayPal-OpenAI Deal: $80 Breakout Line Now In Play - PayPal Holdings  ( NASDAQ:PYPL ) ,0.084735,Neutral,ETSY
2025-10-28 11:41:10,"PayPal Stock Jumps Over 14% In Tuesday Pre-Market - What's Going On? - Alphabet  ( NASDAQ:GOOG ) , Etsy  ( NYSE:ETSY ) ",0.177754,Somewhat-Bullish,ETSY
2025-10-28 11:15:00,Should You Forget Oklo? This Other Energy Stock Is The Better Play for Artificial Intelligence  ( AI )  Investors.,0.339221,Somewhat-Bullish,ETSY
2025-10-28 10:15:01,PayPal signs deal with OpenAI to become the first payments wallet in ChatGPT,0.10109,Neutral,ETSY
2025-10-27 19:00:54,A Closer Look at Etsy's Options Market Dynamics - Etsy  ( NYSE:ETSY ) ,0.144895,Neutral,ETSY
2025-10-27 12:30:02,"If You Invested $1000 in eBay a Decade Ago, This is How Much It'd Be Worth Now",0.308777,Somewhat-Bullish,ETSY
2025-10-22 14:00:30,Etsy  ( ETSY )  Earnings Expected to Grow: Should You Buy?,0.198385,Somewhat-Bullish,ETSY
2025-10-22 12:50:03,How to Find Strong Retail and Wholesale Stocks Slated for Positive Earnings Surprises,0.345934,Somewhat-Bullish,ETSY
2025-10-21 14:10:00,ThriftBooks® Announces ThriftBooks Library Advantage™- A New Program Built for Libraries,0.417003,Bullish,ETSY
2025-10-20 11:49:00,"Walmart Partners With OpenAI to Make Shopping Easier Than Ever, and Investors Are Taking Notice",0.171967,Somewhat-Bullish,ETSY
2025-10-19 11:37:45,"From fraternities to women's soccer, this under-the-radar T-shirt brand is popping up everywhere",0.257124,Somewhat-Bullish,ETSY
2025-10-18 22:32:00,"Can This Beaten-Down Stock Turn a $10,000 Investment Into $20,000 by 2030?",0.303452,Somewhat-Bullish,ETSY
2025-10-17 12:30:01,Here's How Much a $1000 Investment in Etsy Made 10 Years Ago Would Be Worth Today,0.400045,Bullish,ETSY
2025-10-15 08:17:00,1 Former S&P 500 Stock Down 76% That History Suggests Buying at a Once-in-a-Decade Valuation,0.164714,Somewhat-Bullish,ETSY
2025-10-15 02:02:42,Walmart and OpenAI team up to bring shopping to ChatGPT,0.188556,Somewhat-Bullish,ETSY
2025-10-14 14:27:45,Walmart teams up with OpenAI to allow purchases directly in ChatGPT,0.251624,Somewhat-Bullish,ETSY
2025-10-11 09:10:00,"If You'd Invested $10,000 in Etsy 5 Years Ago, Here's How Much You'd Have Today",0.043936,Neutral,ETSY
2025-10-10 12:15:00,"Down 76%, Should You Buy the Dip on Etsy?",0.252952,Somewhat-Bullish,ETSY
2025-10-10 12:00:00,OpenAI's Dealmaking Spree Puts These ETFs in Focus,0.196185,Somewhat-Bullish,ETSY
2025-10-10 01:01:08,1099-K Rules Are Changing Again For 2025 And Beyond: What Freelancers Must Know,0.113737,Neutral,ETSY
2025-10-09 14:15:00,Should You Buy Shopify Stock After Its Deal With OpenAI?,0.366848,Bullish,ETSY
2025-10-09 12:30:00,Is This Beaten-Down Stock Finally On the Road to Recovery?,0.134026,Neutral,ETSY
2025-10-09 00:50:35,ChatGPT Integrates Etsy Into Search Responses,-0.137967,Neutral,ETSY
2025-10-07 15:46:00,OpenAI's Worth Half a Trillion Dollars,0.155188,Somewhat-Bullish,ETSY
