time_published,title,sentiment_score,sentiment_label,ticker
2025-10-27 12:33:00,Lam Research and Helen of Troy have been highlighted as Zacks Bull and Bear of the Day,0.137258,Neutral,HELE
2025-10-27 10:10:00,Bear of the Day: Helen of Troy  ( HELE ) ,-0.076897,Neutral,HELE
2025-10-24 12:46:00,Is the Options Market Predicting a Spike in Helen of Troy Stock?,0.004819,Neutral,HELE
2025-10-20 13:30:00,Estee Lauder Targets 25% of Sales From Innovation in Fiscal 2026,0.626216,Bullish,HELE
2025-10-10 17:12:00,"Helen of Troy Q2 Earnings Beat Estimates, Sales Decline 9% Y/Y",0.053799,Neutral,HELE
2025-10-10 15:05:38,Helen Of Troy Analysts Cut Their Forecasts Following Q2 Earnings - Helen Of Troy  ( NASDAQ:HELE ) ,-0.213782,Somewhat-Bearish,HELE
2025-10-09 17:09:08,"Dow Dips Over 250 Points; Delta Air Lines Posts Upbeat Earnings - DoorDash  ( NASDAQ:DASH ) , Delta Air Lines  ( NYSE:DAL ) ",0.138521,Neutral,HELE
2025-10-09 13:11:48,Why Is Helen Of Troy Stock Sinking Thursday? - Helen Of Troy  ( NASDAQ:HELE ) ,-0.110311,Neutral,HELE
2025-10-09 12:29:32,"Helen of Troy, Ferrari, Apogee Therapeutics And Other Big Stocks Moving Lower In Thursday's Pre-Market Session - AZZ  ( NYSE:AZZ ) , Apogee Therapeutics  ( NASDAQ:APGE ) ",-0.140936,Neutral,HELE
2025-10-09 12:00:01,Helen of Troy  ( HELE )  Tops Q2 Earnings and Revenue Estimates,0.155276,Somewhat-Bullish,HELE
2025-10-07 13:09:00,"Zacks Industry Outlook Highlights The Estee Lauder, e.l.f. Beauty, Helen of Troy and European Wax Center",0.40199,Bullish,HELE
2025-10-07 12:46:00,Helen of Troy Gears Up for Q2 Earnings: Here's What You Should Know,0.090724,Neutral,HELE
2025-10-07 12:08:58,Helen of Troy Earnings Are Imminent; These Most Accurate Analysts Revise Forecasts Ahead Of Earnings Call - Helen Of Troy  ( NASDAQ:HELE ) ,0.014101,Neutral,HELE
2025-10-06 13:26:00,4 Cosmetics Leaders Adapting and Thriving Despite Industry Pressures,0.394214,Bullish,HELE
