time_published,title,sentiment_score,sentiment_label,ticker
2025-11-19 13:20:05,What's Going On With Workday Stock Wednesday? - Workday  ( NASDAQ:WDAY ) ,0.137995,Neutral,HUBS
2025-11-13 16:00:00,Fireflies launches Live Assist and Desktop App to deliver real-time help in every meeting,0.255824,Somewhat-Bullish,HUBS
2025-11-12 18:15:00,Scribe Raises $75 Million Series C to Power Enterprise Workflows With AI,0.377136,Bullish,HUBS
2025-11-10 13:37:49,"Zscaler To Rally More Than 9%? Here Are 10 Top Analyst Forecasts For Monday - Genmab  ( NASDAQ:GMAB ) , HubSpot  ( NYSE:HUBS ) ",0.192838,Somewhat-Bullish,HUBS
2025-11-10 11:48:49,"This HubSpot Analyst Is No Longer Bullish; Here Are Top 5 Downgrades For Monday - Applied Optoelectronics  ( NASDAQ:AAOI ) , CubeSmart  ( NYSE:CUBE ) ",0.125184,Neutral,HUBS
2025-11-10 11:00:00,Facebook Marketing Strategies Evolve in 2025 -- Insights from Digital Silk Digital Marketing Agency,0.486582,Bullish,HUBS
2025-11-07 15:46:10,"Do These Four Things Before Making A Decision In The Age of AI, Grammarly CEO Says - HubSpot  ( NYSE:HUBS ) ",0.168969,Somewhat-Bullish,HUBS
2025-11-06 19:13:50,"HubSpot Faces Pressure, Clearbit Headwind Despite Q3 Beat - HubSpot  ( NYSE:HUBS ) ",0.104408,Neutral,HUBS
2025-11-06 17:52:25,Why Shares of HubSpot Are Tumbling Today,0.137435,Neutral,HUBS
2025-11-06 14:19:59,These Analysts Cut Their Forecasts On HubSpot Following Q3 Results - HubSpot  ( NYSE:HUBS ) ,0.076343,Neutral,HUBS
2025-11-06 13:27:03,"DoorDash Posts Downbeat Q3 Earnings, Joins elf Beauty, Duolingo, HubSpot And Other Big Stocks Moving Lower In Thursday's Pre-Market Session - Acadia Healthcare Co  ( NASDAQ:ACHC ) , ACV Auctions  ( NYSE:ACVA ) ",-0.182237,Somewhat-Bearish,HUBS
