time_published,title,sentiment_score,sentiment_label,ticker
2025-11-14 12:52:00,ALLT Gears Up to Post Q3 Earnings: What's in the Cards?,0.416491,Bullish,MAN
2025-11-12 16:25:00,Green Dot Stock Declines 4% Since Reporting Q3 Earnings Beat,0.164695,Somewhat-Bullish,MAN
2025-11-12 13:11:00,Genpact Limited Stock Rises 15.3% Since Reporting Q3 Earnings Beat,0.186193,Somewhat-Bullish,MAN
2025-11-10 18:48:00,H&R Block Stock Declines 3.5% Since Reporting Fiscal Q1 Loss,0.115902,Neutral,MAN
2025-11-10 16:56:00,Nexxen Gears Up to Post Q3 Earnings: What's in the Cards?,0.223276,Somewhat-Bullish,MAN
2025-11-07 15:57:00,Xerox Holdings Stock Declines 2.6% Since Q3 Earnings Release,0.038134,Neutral,MAN
2025-11-06 19:18:00,WEX Shares Decline 3.6% Since Reporting Q3 Earnings Beat,0.08811,Neutral,MAN
2025-11-06 15:33:00,CRAI Shares Increase 2.8% Since Its Q3 Earnings Release,0.236783,Somewhat-Bullish,MAN
2025-11-05 14:11:00,ICF International Stock Declines 5.6% Since Q3 Earnings Miss,-0.023859,Neutral,MAN
2025-11-04 18:32:00,"Broadridge's Q1 Earnings and Revenues Outpace Estimates, Rise Y/Y",0.222975,Somewhat-Bullish,MAN
2025-10-30 18:23:00,"Aptiv Q3 Earnings and Revenues Beat Estimates, Rise Y/Y",0.188943,Somewhat-Bullish,MAN
2025-10-30 16:18:00,"Trane Technologies Q3 Earnings Beat Estimates, Rise Y/Y",0.149236,Neutral,MAN
2025-10-29 18:32:00,Booz Allen Stock Declines 6.4% Since Fiscal Q2 Earnings,-0.028587,Neutral,MAN
2025-10-27 16:57:00,FTI Consulting Stock Moves Up 2.7% Since Q3 Earnings Beat,0.1626,Somewhat-Bullish,MAN
2025-10-24 17:50:00,"Western Union's Q3 Earnings Beat on CS Unit Strength, Lower Costs",0.038145,Neutral,MAN
2025-10-24 16:04:00,Robert Half International Stock Barely Moves Since Q3 Earnings,0.092166,Neutral,MAN
2025-10-22 15:43:00,ManpowerGroup Stock Declines 3.2% Since Q3 Earnings Beat,0.066259,Neutral,MAN
2025-10-17 17:10:14,ManpowerGroup Analysts Cut Their Forecasts After Q3 Earnings - ManpowerGroup  ( NYSE:MAN ) ,0.295752,Somewhat-Bullish,MAN
2025-10-16 14:38:05,ManpowerGroup  ( MAN )  Q3 2025 Earnings Transcript,0.239144,Somewhat-Bullish,MAN
2025-10-16 12:40:02,ManpowerGroup  ( MAN )  Tops Q3 Earnings and Revenue Estimates,0.123727,Neutral,MAN
2025-10-14 13:40:03,Should Value Investors Buy ManpowerGroup  ( MAN )  Stock?,0.445357,Bullish,MAN
2025-10-13 13:15:02,Manpower  ( MAN )  Q3 Earnings on the Horizon: Analysts' Insights on Key Performance Measures,0.140979,Neutral,MAN
2025-10-07 12:41:00,Heidrick & Struggles Soars 19.6% on Go-Private Deal Announcement,0.32742,Somewhat-Bullish,MAN
2025-09-08 22:09:13,Why Hecla Mining Stock Zoomed 12% Higher Today,0.255043,Somewhat-Bullish,MAN
2025-09-06 16:24:29,"Robinhood Enters S&P 500, Marking Retail Trading's Shift To Wall Street Core - AppLovin  ( NASDAQ:APP ) , Acadia Healthcare Co  ( NASDAQ:ACHC ) ",0.217662,Somewhat-Bullish,MAN
2025-09-01 05:15:00,Hubert Raises €2.5M to Accelerate AI-Led Transformation of High-Volume Hiring,0.388128,Bullish,MAN
2025-08-07 11:30:00,"Kelly Announces Selection of Chris Layden as President and Chief Executive Officer - Kelly Services  ( NASDAQ:KELYB ) , Kelly Services  ( NASDAQ:KELYA ) ",0.34859,Somewhat-Bullish,MAN
2025-07-23 15:13:00,ManpowerGroup Stock Improves 5% Since Q2 Earnings Beat,0.044875,Neutral,MAN
2025-07-17 12:45:01,ManpowerGroup  ( MAN )  Q2 Earnings and Revenues Top Estimates,0.155021,Somewhat-Bullish,MAN
2025-07-14 13:15:04,Seeking Clues to Manpower  ( MAN )  Q2 Earnings? A Peek Into Wall Street Projections for Key Metrics,0.139055,Neutral,MAN
2025-05-23 15:30:57,Why Is Robert Half  ( RHI )  Up 2.4% Since Last Earnings Report?,0.056865,Neutral,MAN
2025-05-05 12:18:04,"Netflix, CNA Financial And Other Big Stocks Moving Lower In Monday's Pre-Market Session - Guardant Health  ( NASDAQ:GH ) , CNA Financial  ( NYSE:CNA ) ",-0.080237,Neutral,MAN
2025-05-05 09:51:32,"Why Faraday Future Intelligent Electric Shares Are Trading Higher By 6%; Here Are 20 Stocks Moving Premarket - Click Holdings  ( NASDAQ:CLIK ) , AGM Gr Hldgs  ( NASDAQ:AGMH ) ",0.089798,Neutral,MAN
2025-04-22 14:00:00,ManpowerGroup Stock Barely Moves Since Q1 Earnings Miss,0.084447,Neutral,MAN
2025-04-17 13:54:32,Why Are Manpower's Stocks Plunging On Thursday? - ManpowerGroup  ( NYSE:MAN ) ,0.062881,Neutral,MAN
2025-04-17 12:40:03,ManpowerGroup  ( MAN )  Misses Q1 Earnings Estimates,0.112154,Neutral,MAN
2025-04-15 11:25:00,"The Zacks Analyst Blog Abbott, Taiwan Semiconductor, American Express, ManpowerGroup and D.R. Horton",-0.023966,Neutral,MAN
2025-04-15 00:42:00,5 Top Stock Charts for This Week,-0.064414,Neutral,MAN
2025-04-14 13:15:16,Manpower  ( MAN )  Q1 Earnings Preview: What You Should Know Beyond the Headline Estimates,0.125304,Neutral,MAN
2025-04-10 13:24:12,"Alphabet To $185? Here Are 10 Top Analyst Forecasts For Thursday - BorgWarner  ( NYSE:BWA ) , Amazon.com  ( NASDAQ:AMZN ) ",0.182771,Somewhat-Bullish,MAN
2025-04-07 12:12:33,"Wall Street's Most Accurate Analysts Spotlight On 3 Industrials Stocks Delivering High-Dividend Yields - ManpowerGroup  ( NYSE:MAN ) , Karat Packaging  ( NASDAQ:KRT ) ",0.175162,Somewhat-Bullish,MAN
2025-04-04 16:10:00,ManpowerGroup Benefits From Diversification Amid High Competition,0.254937,Somewhat-Bullish,MAN
2025-03-25 12:37:55,"Wall Street's Most Accurate Analysts Spotlight On 3 Industrials Stocks Delivering High-Dividend Yields - ManpowerGroup  ( NYSE:MAN ) , Karat Packaging  ( NASDAQ:KRT ) ",0.108409,Neutral,MAN
2025-03-20 11:10:02,FactSet Research  ( FDS )  Tops Q2 Earnings Estimates,0.109791,Neutral,MAN
2025-03-13 10:51:15,"Why ""labour shortages"" don't really exist",-0.049789,Neutral,MAN
2025-03-12 15:30:13,Insperity  ( NSP )  Up 4.8% Since Last Earnings Report: Can It Continue?,0.203866,Somewhat-Bullish,MAN
2025-03-11 11:58:55,"Wall Street's Most Accurate Analysts Spotlight On 3 Industrials Stocks Delivering High-Dividend Yields - Robert Half  ( NYSE:RHI ) , ManpowerGroup  ( NYSE:MAN ) ",0.14313,Neutral,MAN
2025-02-05 12:25:33,"Wall Street's Most Accurate Analysts Spotlight On 3 Industrials Stocks Delivering High-Dividend Yields - ManpowerGroup  ( NYSE:MAN ) , Karat Packaging  ( NASDAQ:KRT ) ",0.099194,Neutral,MAN
2025-02-04 15:03:00,ManpowerGroup Stock Has Dropped 4% Since Q4 Earnings Beat,0.023732,Neutral,MAN
2025-01-30 13:55:03,ManpowerGroup  ( MAN )  Beats Q4 Earnings Estimates,0.144344,Neutral,MAN
