time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 18:37:00,"Dycom Q3 Earnings & Revenues Surpass Estimates, Stock Up",0.21298,Somewhat-Bullish,MAS
2025-11-19 17:13:00,"AECOM Q4 Earnings Surpass Estimates, Backlog Increases Y/Y",0.210564,Somewhat-Bullish,MAS
2025-11-10 18:18:00,"Fluor Q3 Earnings Surpass Estimates, Revenues Miss, Stock Up",0.112276,Neutral,MAS
2025-11-06 13:09:00,"Tutor Perini Q3 Earnings & Revenues Beat Estimates, Both Up Y/Y",0.156917,Somewhat-Bullish,MAS
2025-11-04 19:10:00,"Sterling Q3 Earnings & Revenues Beat Estimates, '25 View Raised",0.142843,Neutral,MAS
2025-11-04 18:08:00,"Primoris Q3 Earnings & Revenues Beat Estimates, '25 View Up",0.143683,Neutral,MAS
2025-11-04 17:46:00,"Martin Marietta's Q3 Earnings & Revenues Miss, Gross Margin Up Y/Y",0.083884,Neutral,MAS
2025-10-30 17:31:00,"Vulcan's Q3 Earnings & Revenues Top, Adjusted EBITDA Margin Up Y/Y",0.109711,Neutral,MAS
2025-10-30 16:51:00,Builders FirstSource Beats on Q3 Earnings Despite Housing Weakness,0.002442,Neutral,MAS
2025-10-30 15:01:00,"Quanta Beats Q3 Earnings & Revenue Estimates, Revises '25 View",0.151853,Somewhat-Bullish,MAS
2025-10-29 17:02:00,"Masco Misses Q3 Earnings & Sales Estimates, Slashes '25 EPS Outlook",0.043356,Neutral,MAS
2025-10-29 12:15:04,Masco  ( MAS )  Q3 Earnings and Revenues Lag Estimates,0.128016,Neutral,MAS
2025-10-27 15:51:00,Masco Gears Up for Q3 Earnings: What's in the Offing for the Stock?,-0.045426,Neutral,MAS
2025-10-23 14:00:17,Arcosa  ( ACA )  Reports Next Week: Wall Street Expects Earnings Growth,0.133075,Neutral,MAS
2025-10-22 14:00:17,Analysts Estimate Masco  ( MAS )  to Report a Decline in Earnings: What to Look Out for,0.1239,Neutral,MAS
2025-10-20 15:20:00,ROCK's Backlog & Strategy Boost Growth Amid Market Challenges,0.344532,Somewhat-Bullish,MAS
2025-10-14 14:24:00,IBP Strengthens Market Position With Echols & Vanderkoy Acquisitions,0.326241,Somewhat-Bullish,MAS
2025-10-01 10:50:00,"Reliance, Inc. Announces Appointment of John G. Sznewajs to Board of Directors - CMS Energy  ( NYSE:CMS ) , Masco  ( NYSE:MAS ) ",0.153144,Somewhat-Bullish,MAS
2025-10-01 10:50:00,"Reliance, Inc. Announces Appointment of John G. Sznewajs to Board of Directors",0.167067,Somewhat-Bullish,MAS
2025-09-22 11:43:00,New Strong Buy Stocks for September 22nd,0.067386,Neutral,MAS
2025-09-22 10:57:00,Best Income Stocks to Buy for September 22nd,0.190285,Somewhat-Bullish,MAS
2025-09-17 14:31:00,Is Builder Confidence Set to Rebound on Looming Fed Rate Cuts?,0.207996,Somewhat-Bullish,MAS
2025-07-31 16:49:00,"Masco Q2 Earnings and Sales Surpass Estimates, Stock Up",-0.028335,Neutral,MAS
2025-07-30 15:25:00,Here's What Investors Must Know Ahead of Quanta's Q2 Earnings,0.240612,Somewhat-Bullish,MAS
2025-07-30 13:15:02,Curious about Masco  ( MAS )  Q2 Performance? Explore Wall Street Estimates for Key Metrics,0.159756,Somewhat-Bullish,MAS
2025-07-29 17:00:00,Watsco to Report Q2 Earnings: What to Expect in This Season?,0.167822,Somewhat-Bullish,MAS
2025-07-29 14:42:00,Vulcan Gears Up to Post Q2 Earnings: What's in Store for the Stock?,0.146604,Neutral,MAS
2025-07-29 14:17:00,MasTec Gears Up to Post Q2 Earnings: What's in Store for the Stock?,0.259692,Somewhat-Bullish,MAS
2025-07-29 14:06:00,Masco to Report Q2 Earnings: Here's What Investors Must Know,-0.04532,Neutral,MAS
2025-07-29 14:00:25,Knife River  ( KNF )  Expected to Beat Earnings Estimates: What to Know Ahead of Q2 Release,0.154093,Somewhat-Bullish,MAS
2025-07-28 17:02:00,EMCOR to Report Q2 Earnings: What to Expect in This Season?,0.231389,Somewhat-Bullish,MAS
2025-07-24 14:00:17,Masco  ( MAS )  Expected to Beat Earnings Estimates: Can the Stock Move Higher?,0.158719,Somewhat-Bullish,MAS
2025-07-22 15:08:00,Here's What Investors Must Know Ahead of Weyerhaeuser's Q2 Earnings,0.057111,Neutral,MAS
2025-07-17 16:00:00,Behr Paint Company Empowers New Homeowners to Pursue the Art of DIYconomics Through Relationship with REMAX Canada - Masco  ( NYSE:MAS ) ,0.355614,Bullish,MAS
2025-07-16 12:57:00,"Zacks Industry Outlook Highlights United Rentals, Masco, Construction Partners, Hillman Solutions and Quanex Building Products",0.255178,Somewhat-Bullish,MAS
2025-07-15 15:56:00,Taiwan Semi's $100 Billion Plan; Housing Is Hot,0.125228,Neutral,MAS
2025-07-15 15:45:00,5 Building Product Stocks Set to Benefit From Industry Upswing,0.266296,Somewhat-Bullish,MAS
2025-06-05 15:30:52,Why Is TopBuild  ( BLD )  Up 1.4% Since Last Earnings Report?,0.082936,Neutral,MAS
2025-05-30 15:31:16,Gibraltar Industries  ( ROCK )  Up 6.9% Since Last Earnings Report: Can It Continue?,0.176916,Somewhat-Bullish,MAS
2025-05-29 15:30:48,Armstrong World Industries  ( AWI )  Up 7.2% Since Last Earnings Report: Can It Continue?,0.180756,Somewhat-Bullish,MAS
2025-05-01 15:42:00,"Quanta Beats Q1 Earnings & Revenue Estimates, Boosts 2025 View",0.096683,Neutral,MAS
2025-05-01 15:20:00,"Gibraltar's Q1 Earnings Surpass Estimates, Sales Decrease",0.066717,Neutral,MAS
2025-04-30 18:29:00,"Vulcan Q1 Earnings Beat, Revenues Miss, Adjusted EBITDA Margin Up Y/Y",0.043037,Neutral,MAS
2025-04-30 17:31:00,"Martin Marietta's Q1 Earnings Lag Estimates, Revenues Up Y/Y, Stock Up",0.002401,Neutral,MAS
2025-04-30 15:14:00,Armstrong World Stock Up on Q1 Earnings & Net Sales Beat,0.139143,Neutral,MAS
2025-04-24 18:27:07,Masco Analysts Lower Their Forecasts Following Weaker-Than-Expected Earnings - Masco  ( NYSE:MAS ) ,0.181948,Somewhat-Bullish,MAS
2025-04-23 13:52:00,"Masco Q1 Earnings & Sales Miss, Adjusted Operating Margin Falls Y/Y",-0.120857,Neutral,MAS
2025-04-23 12:10:04,Masco  ( MAS )  Misses Q1 Earnings and Revenue Estimates,0.098416,Neutral,MAS
2025-04-22 13:06:00,Masco Gears Up for Q1 Earnings: What's in the Offing for the Stock?,-0.042627,Neutral,MAS
2025-04-21 13:15:52,"Exploring Analyst Estimates for Masco  ( MAS )  Q1 Earnings, Beyond Revenue and EPS",0.168727,Somewhat-Bullish,MAS
