time_published,title,sentiment_score,sentiment_label,ticker
2025-11-05 21:15:00,Mohawk Industries Announces Planned Leadership Transition - Mohawk Industries  ( NYSE:MHK ) ,0.302961,Somewhat-Bullish,MHK
2025-10-24 20:10:25,Mohawk Q3 2025 Earnings Call Transcript,0.206948,Somewhat-Bullish,MHK
2025-10-24 16:48:00,"Mohawk Q3 Earnings Miss, Revenues Beat Estimates, Stock Down",0.173339,Somewhat-Bullish,MHK
2025-10-24 10:10:20,Mohawk Industries Shares Drop Over 3% Pre-Market: Here's Why - Mohawk Industries  ( NYSE:MHK ) ,0.187593,Somewhat-Bullish,MHK
2025-10-23 21:25:02,Mohawk Industries  ( MHK )  Q3 Earnings Miss Estimates,0.159458,Somewhat-Bullish,MHK
2025-10-23 20:15:00,Mohawk Industries Reports Q3 2025 Results,0.190618,Somewhat-Bullish,MHK
2025-10-22 13:15:04,Unlocking Q3 Potential of Mohawk Industries  ( MHK ) : Exploring Wall Street Estimates for Key Metrics,0.138065,Neutral,MHK
2025-10-22 01:45:33,Paradice Investment Management Opens New $18 Million Position in Flowserve  ( NYSE: FLS ) ,0.18989,Somewhat-Bullish,MHK
2025-10-21 17:38:50,Paradice Investment Management Dumps $32 Million Worth of Openlane  ( NYSE: KAR )  Stock: Should Investors Sell Too?,0.25879,Somewhat-Bullish,MHK
2025-10-21 16:24:05,Paradice Investment Management Liquidates Its $20 Million Nomad Foods  ( NYSE: NOMD )  Position: Is the Stock in Trouble?,0.162258,Somewhat-Bullish,MHK
2025-10-20 11:44:00,Here's What Investors Must Know Ahead of Mohawk's Q3 Earnings,0.109639,Neutral,MHK
2025-10-16 14:00:14,Analysts Estimate Mohawk Industries  ( MHK )  to Report a Decline in Earnings: What to Look Out for,0.136448,Neutral,MHK
2025-10-06 10:20:02,Is First Trust Mid Cap Value AlphaDEX ETF  ( FNK )  a Strong ETF Right Now?,0.338915,Somewhat-Bullish,MHK
2025-10-01 20:34:00,"Mohawk Industries, Inc. Invites You to Join its Third Quarter Earnings Conference Call",0.14303,Neutral,MHK
2025-08-26 17:11:59,Mohawk Industries  ( MHK )  technical analysis - Mohawk Industries  ( NYSE:MHK ) ,-0.046157,Neutral,MHK
2025-08-26 17:02:05,"S&P 500 Losers: 22 Stocks In Negative Zone, One Got The Boot - SPDR S&P 500  ( ARCA:SPY ) ",0.15664,Somewhat-Bullish,MHK
2025-08-22 01:30:00,"Ceramic Tiles Market worth $228.3 billion by 2030, at a CAGR of 2.7%, says MarketsandMarkets™",0.066395,Neutral,MHK
2025-08-15 19:59:29,"David Tepper's Hedge Fund Bets On Intel, UnitedHealth; Cuts Position In Four Mag 7 Stocks - Alibaba Gr Hldgs  ( NYSE:BABA ) ",0.192542,Somewhat-Bullish,MHK
2025-08-07 17:56:00,"Gibraltar Q2 Earnings & Sales Lag Estimates, Both Rise Y/Y, Stock Down",0.146665,Neutral,MHK
2025-08-07 17:10:00,"Martin Marietta's Q2 Earnings Top, Revenues Miss, '25 View Revised",0.120908,Neutral,MHK
2025-08-06 15:15:00,Here's What to Know Ahead of Martin Marietta's Q2 Earnings Release,0.209602,Somewhat-Bullish,MHK
2025-08-05 19:36:19,Mohawk Industries  ( MHK )  Q2 2025 Earnings Call Transcript,0.214013,Somewhat-Bullish,MHK
2025-07-31 15:14:00,"Vulcan's Q2 Earnings & Revenues Miss Estimates, Both Up Y/Y",0.118952,Neutral,MHK
2025-07-30 15:01:44,Chief Executive Officer Of Mohawk Industries Sold $1.93M In Stock - Mohawk Industries  ( NYSE:MHK ) ,0.232433,Somewhat-Bullish,MHK
2025-07-25 16:46:00,"Mohawk's Q2 Earnings & Revenues Beat Estimates, Stock Up",0.159536,Somewhat-Bullish,MHK
2025-07-25 13:52:21,Mohawk Posts Q2 Beat as Margins Decline,0.097296,Neutral,MHK
2025-07-24 21:25:02,Mohawk Industries  ( MHK )  Beats Q2 Earnings and Revenue Estimates,0.148426,Neutral,MHK
2025-07-24 20:15:00,Mohawk Industries Reports Q2 2025 Results,0.185328,Somewhat-Bullish,MHK
2025-07-22 13:15:02,What Analyst Projections for Key Metrics Reveal About Mohawk Industries  ( MHK )  Q2 Earnings,0.066129,Neutral,MHK
2025-07-22 13:12:00,Mohawk Gears Up to Post Q2 Earnings: What's in Store for the Stock?,-0.002401,Neutral,MHK
2025-07-17 18:58:00,Are Options Traders Betting on a Big Move in Mohawk Industries Stock?,0.033506,Neutral,MHK
2025-07-15 17:00:00,Mohawk Impact Report Highlights Progress - Mohawk Industries  ( NYSE:MHK ) ,0.345414,Somewhat-Bullish,MHK
2025-07-15 17:00:00,Mohawk Impact Report Highlights Progress,0.351954,Bullish,MHK
2025-06-26 18:03:00,"Mohawk Industries, Inc. Invites You to Join its Second Quarter Earnings Conference Call",0.14303,Neutral,MHK
2025-06-24 14:00:39,Peering Into Mohawk Industries's Recent Short Interest - Mohawk Industries  ( NYSE:MHK ) ,0.268794,Somewhat-Bullish,MHK
2025-06-16 14:00:00,Is the Options Market Predicting a Spike in Mohawk Industries Stock?,0.05024,Neutral,MHK
2025-06-02 13:20:00,Here's Why Investors Should Hold on to Mohawk Stock Right Now,0.199093,Somewhat-Bullish,MHK
2025-05-02 15:39:00,"Mohawk's Q1 Earnings Beat Estimates, Revenues Lag, Both Down Y/Y",0.050692,Neutral,MHK
2025-05-01 21:25:10,Mohawk Industries  ( MHK )  Tops Q1 Earnings Estimates,0.10768,Neutral,MHK
2025-05-01 17:38:16,"Wall Street Eyes 8th Positive Day As S&P 500 Recoups Tariff-Led Losses, Bitcoin Rallies To $97,000: What's Driving Markets Thursday? - Apple  ( NASDAQ:AAPL ) ",0.186351,Somewhat-Bullish,MHK
2025-04-30 18:32:00,Mohawk to Report Q1 Earnings: What's in the Cards for the Stock?,0.026367,Neutral,MHK
2025-04-25 18:00:33,How Do Investors Really Feel About Mohawk Industries? - Mohawk Industries  ( NYSE:MHK ) ,0.268794,Somewhat-Bullish,MHK
2025-04-24 14:01:57,Earnings Preview: Mohawk Industries  ( MHK )  Q1 Earnings Expected to Decline,0.115196,Neutral,MHK
2025-04-08 17:57:18,"What Building Product Companies Are Better Positioned During Tariff Turbulence? BofA Securities Weighs In - Fortune Brands  ( NYSE:FBIN ) , Armstrong World Indus  ( NYSE:AWI ) ",0.216733,Somewhat-Bullish,MHK
2025-04-04 23:02:32,"Mohawk Industries, Inc. Invites You to Join its First Quarter Earnings Conference Call - Mohawk Industries  ( NYSE:MHK ) ",0.198414,Somewhat-Bullish,MHK
2025-04-04 23:02:00,"Mohawk Industries, Inc. Invites You to Join its First Quarter Earnings Conference Call",0.161583,Somewhat-Bullish,MHK
2025-04-01 17:59:57,"Tariffs Could Shake Building Industry: Homebuilders, Plumbing, Flooring Face Rising Costs - Fortune Brands  ( NYSE:FBIN ) , Masco  ( NYSE:MAS ) ",0.105029,Neutral,MHK
2025-03-06 16:28:00,"Sleep Number Stock Tumbles on Q4 Loss, Sales Miss Estimates",0.166664,Somewhat-Bullish,MHK
2025-02-15 16:15:37,"David Tepper's Appaloosa Revamps Portfolio, Cuts Down On Semiconductor Stocks - Advanced Micro Devices  ( NASDAQ:AMD ) , Amazon.com  ( NASDAQ:AMZN ) ",0.244389,Somewhat-Bullish,MHK
2025-02-07 16:34:00,"Mohawk's Q4 Earnings & Sales Beat, Adjusted Gross Margin Down Y/Y",0.259125,Somewhat-Bullish,MHK
