time_published,title,sentiment_score,sentiment_label,ticker
2025-11-09 09:51:01,"See inside KPMG's giant new NYC headquarters, which was designed based on employee input",0.187394,Somewhat-Bullish,MTCH
2025-07-16 14:45:02,"PPL And Blackstone Join Forces To Build Gas Plants For Data Centers - Blackstone  ( NYSE:BX ) , PPL  ( NYSE:PPL ) ",0.359724,Bullish,MTCH
2025-04-03 19:43:55,"Airline Earnings At Risk As Demand Dips Amid Weak Business Travel, Low Transborder Traffic, DOGE Cuts: Analyst Says - United Airlines Holdings  ( NASDAQ:UAL ) , Delta Air Lines  ( NYSE:DAL ) ",-0.064151,Neutral,MTCH
2025-03-31 19:25:05,"Why Biotech Stocks Like Recursion Pharmaceuticals, CRISPR Therapeutics, and Summit Therapeutics Plunged Today",0.169263,Somewhat-Bullish,MTCH
2025-02-20 10:00:00,Is XRP the New Bitcoin?,0.244039,Somewhat-Bullish,MTCH
2024-10-31 05:00:08,The internal rivalries that will determine Trump's policies on trade,-0.024341,Neutral,MTCH
2024-08-02 03:45:16,Clearway Energy  ( CWEN )  Q2 2024 Earnings Call Transcript,0.370839,Bullish,MTCH
2024-07-08 14:48:00,CanPR Technologies Ltd.  ( TSXV: WPR )  Opens the Market,0.45622,Bullish,MTCH
2024-06-08 16:05:33,T20 World Cup 2024: Williamson terms Afghan loss incredibly frustrating,0.173945,Somewhat-Bullish,MTCH
2024-06-07 18:12:00,Real-world mileage standard for new vehicles rising to 38 mpg in 2031 under new Biden rule,0.119409,Neutral,MTCH
2024-05-09 23:38:00,"Wolves bring 2-0 lead on Nuggets into wild night at Target Center. Knicks, up 2-0, brace for Pacers",0.060205,Neutral,MTCH
2024-03-20 18:27:00,Biden administration rolls out new tailpipe rules that will boost EVs and hybrids,0.081717,Neutral,MTCH
2024-03-16 21:55:00,Panarin collects five points as surging Rangers race past reeling Penguins 7-4,0.146794,Neutral,MTCH
