time_published,title,sentiment_score,sentiment_label,ticker
2025-11-19 20:00:47,What Does the Market Think About Okta Inc? - Okta  ( NASDAQ:OKTA ) ,0.250562,Somewhat-Bullish,OKTA
2025-10-27 15:23:05,"High-Profile Exit: Cybersecurity Stock Gets the Boot, According to Recent SEC Filing",0.12013,Neutral,OKTA
2025-10-17 18:00:43,Peering Into Okta Inc's Recent Short Interest - Okta  ( NASDAQ:OKTA ) ,0.250562,Somewhat-Bullish,OKTA
2025-10-14 14:15:00,Can CRWD's Partnership Ecosystem Accelerate its Path to $10B ARR?,0.321733,Somewhat-Bullish,OKTA
2025-10-08 10:46:00,"Tradr Launches First-to-Market Leveraged ETFs on AUR, CELH, LYFT, NET & OKTA - Celsius Holdings  ( NASDAQ:CELH ) , Aurora Innovation  ( NASDAQ:AUR ) ",0.062235,Neutral,OKTA
2025-10-07 14:46:00,Can New Falcon Identity Features Drive CrowdStrike's Growth?,0.216721,Somewhat-Bullish,OKTA
2025-09-23 13:24:00,CrowdStrike to Buy Pangea: Will AIDR Unlock a New Growth Engine?,0.176464,Somewhat-Bullish,OKTA
2025-09-22 12:09:49,"Jim Cramer: This Basic Materials Stock Has Gone Up So Much, Recommends Waiting For A 'Little Bit Of A Pullback' - CMS Energy  ( NYSE:CMS ) , Accenture  ( NYSE:ACN ) ",0.156427,Somewhat-Bullish,OKTA
2025-09-16 13:52:00,CrowdStrike Bets on Identity Security: Is it the Next Growth Engine?,0.145195,Neutral,OKTA
2025-09-12 15:12:00,"Okta Shares Rise 17% Year to Date: Buy, Sell or Hold the Stock?",0.318297,Somewhat-Bullish,OKTA
2025-09-08 14:26:00,Palo Alto Networks Rises 16% in a Month: Time to Hold or Book Profits?,0.302141,Somewhat-Bullish,OKTA
2025-09-02 17:36:00,OKTA Rides on New Solutions: Is the Growth Rate Sustainable?,0.321915,Somewhat-Bullish,OKTA
2025-08-28 18:27:00,OKTA's Subscription Revenue Growth Picks Up: A Sign of More Upside?,0.309877,Somewhat-Bullish,OKTA
2025-08-27 18:12:00,These Analysts Revise Their Forecasts On Okta After Upbeat Q2 Earnings - Okta  ( NASDAQ:OKTA ) ,0.236739,Somewhat-Bullish,OKTA
2025-08-27 18:06:16,"MongoDB To Rally Around 63%? Here Are 10 Top Analyst Forecasts For Wednesday - American Airlines Group  ( NASDAQ:AAL ) , Heico  ( NYSE:HEI ) ",0.265498,Somewhat-Bullish,OKTA
2025-08-27 17:32:14,"S&P 500 Tests Records Ahead Nvidia Results, MongoDB Rockets - MongoDB  ( NASDAQ:MDB ) ",0.125214,Neutral,OKTA
2025-08-27 16:08:00,"OKTA Q2 Earnings Surpass Estimates, Revenues Increase Y/Y, Shares Up",0.15368,Somewhat-Bullish,OKTA
2025-08-27 16:00:54,Okta Stock Rises On Strong Earnings And Upgraded Outlook - Okta  ( NASDAQ:OKTA ) ,0.318466,Somewhat-Bullish,OKTA
2025-08-27 14:02:00,CYBR Leans on AI Identity Security: Will It Unlock Next Growth Phase?,0.36109,Bullish,OKTA
2025-08-27 10:18:44,"Stock Market Today: Dow, S&P 500 Futures Tick Up As Wall Street Awaits Nvidia Earnings- MongoDB, nCino, Snowflake In Focus - NVIDIA  ( NASDAQ:NVDA ) ",0.123659,Neutral,OKTA
2025-08-26 23:14:16,Summary Notice of Proposed Settlement of Derivative Matters - Okta  ( NASDAQ:OKTA ) ,0.195015,Somewhat-Bullish,OKTA
2025-08-26 23:14:00,Summary Notice of Proposed Settlement of Derivative Matters,0.19754,Somewhat-Bullish,OKTA
2025-08-26 13:40:26,"Medtronic To Rally Around 25%? Here Are 10 Top Analyst Forecasts For Tuesday - Cemex  ( NYSE:CX ) , Albemarle  ( NYSE:ALB ) ",0.275091,Somewhat-Bullish,OKTA
2025-08-26 11:41:50,"This Henry Schein Analyst Turns Bullish; Here Are Top 5 Upgrades For Tuesday - Albemarle  ( NYSE:ALB ) , Domo  ( NASDAQ:DOMO ) ",0.360189,Bullish,OKTA
2025-08-26 10:15:57,"Jim Cramer Refuses To Chase Rally-Says 'We Sure Aren't Buying' Unless It's Discounted - American Woodmark  ( NASDAQ:AMWD ) , SPDR Dow Jones Industrial Average ETF  ( ARCA:DIA ) ",-0.252698,Somewhat-Bearish,OKTA
2025-08-26 10:10:19,"Stock Market Today: Dow Jones, Nasdaq 100 Futures Tumble After Trump Fires Fed Governor Lisa Cook-Interactive Brokers, PVH Corp, Okta In Focus - SPDR S&P 500  ( ARCA:SPY ) ",0.00974,Neutral,OKTA
2025-08-26 07:46:30,"Dow Tumbles More Than 300 Points: Investor Sentiment Decreases, Fear Index Remains In 'Greed' Zone - NVIDIA  ( NASDAQ:NVDA ) , American Woodmark  ( NASDAQ:AMWD ) ",-0.18864,Somewhat-Bearish,OKTA
2025-08-26 07:44:21,"American Woodmark, PVH And 3 Stocks To Watch Heading Into Tuesday - American Woodmark  ( NASDAQ:AMWD ) , NI Holdings  ( NASDAQ:NODK ) ",0.203741,Somewhat-Bullish,OKTA
2025-08-25 16:23:06,"This Okta Analyst Turns Bullish; Here Are Top 5 Upgrades For Monday - Alaska Air Gr  ( NYSE:ALK ) , FirstEnergy  ( NYSE:FE ) ",0.329925,Somewhat-Bullish,OKTA
2025-08-25 11:35:41,"NVIDIA, Webull, IREN And More Retail Trader Favorites Report Q2 - NVIDIA  ( NASDAQ:NVDA ) ",0.081426,Neutral,OKTA
2025-08-25 10:20:06,Okta Earnings Are Imminent; These Most Accurate Analysts Revise Forecasts Ahead Of Earnings Call - Okta  ( NASDAQ:OKTA ) ,0.056092,Neutral,OKTA
2025-08-22 16:06:00,"Buy, Sell or Hold OKTA Stock? Key Tips Ahead of Q2 Earnings",0.252041,Somewhat-Bullish,OKTA
2025-08-18 16:12:00,"Okta Plunges 27% in 3 Months: Buy, Sell or Hold the Stock?",0.263931,Somewhat-Bullish,OKTA
2025-08-18 15:01:00,"Should You Buy, Sell or Hold CyberArk Stock After a 27.2% YTD Rise?",0.397087,Bullish,OKTA
2025-08-14 14:43:00,Will ARR Surge & Customer Migration Drive CYBR Subscription Revenues?,0.307796,Somewhat-Bullish,OKTA
2025-07-31 19:58:53,"Palo Alto Networks Downgraded On Strategic Concerns Post CyberArk Deal; Stocks Slide Over 5% - Microsoft  ( NASDAQ:MSFT ) , CyberArk Software  ( NASDAQ:CYBR ) ",0.156396,Somewhat-Bullish,OKTA
2025-07-30 12:28:00,Palo Alto Plans CyberArk Buyout: Can This Boost PANW's Identity Edge?,0.205582,Somewhat-Bullish,OKTA
2025-07-25 12:30:00,Do Options Traders Know Something About Okta Stock We Don't?,0.090325,Neutral,OKTA
2025-07-25 11:09:00,Buy 3 Cybersecurity Stocks to Strengthen Portfolio Security in 2H25,0.296985,Somewhat-Bullish,OKTA
2025-07-24 15:57:00,OKTA Trades 25% Below 52-Week High: Right Time to Buy the Stock?,0.392494,Bullish,OKTA
2025-07-22 07:52:00,"The Zacks Analyst Blog Highlights HubSpot, Okta, Adobe, NICE and Teradata",0.301914,Somewhat-Bullish,OKTA
2025-07-21 12:01:00,Buy These 5 AI-Focused Stocks to Tap Double-Digit Short-Term Upside,0.336055,Somewhat-Bullish,OKTA
2025-07-18 12:47:00,CyberArk Bets on Secure AI Agents: Will This Unlock Next Growth Wave?,0.36131,Bullish,OKTA
2025-07-11 12:09:53,"Cramer Says Okta Is Solid-But There's One Cybersecurity Stock He Prefers - The Campbell's  ( NASDAQ:CPB ) , American Express  ( NYSE:AXP ) ",0.28762,Somewhat-Bullish,OKTA
2025-07-04 13:08:00,Zscaler's Product Expansions Drive Sales: Are Margins at Risk?,0.226468,Somewhat-Bullish,OKTA
2025-07-02 13:47:00,CYBR Rides the Machine Identity Wave: Can Pricing Models Keep Pace?,0.244637,Somewhat-Bullish,OKTA
2025-06-30 11:52:57,"Cramer Praises Monster Beverage As 'Smoking Hot,' Warns Investors About This AI Stock - Krispy Kreme  ( NASDAQ:DNUT ) , McDonald's  ( NYSE:MCD ) ",0.146365,Neutral,OKTA
