time_published,title,sentiment_score,sentiment_label,ticker
2025-11-17 23:15:03,RH  ( RH )  Sees a More Significant Dip Than Broader Market: Some Facts to Know,0.061664,Neutral,RH
2025-11-13 12:10:02,Edgewell Personal Care  ( EPC )  Misses Q4 Earnings Estimates,0.153026,Somewhat-Bullish,RH
2025-11-12 19:55:43,"15 Stocks To Consider Buying For The Supreme Court Ruling On Trump's Tariffs - Alcoa  ( NYSE:AA ) , Apple  ( NASDAQ:AAPL ) ",0.092915,Neutral,RH
2025-11-11 14:00:52,What Does the Market Think About RH? - RH  ( NYSE:RH ) ,0.280672,Somewhat-Bullish,RH
2025-11-10 23:15:02,RH  ( RH )  Stock Dips While Market Gains: Key Facts,0.140519,Neutral,RH
2025-11-03 23:15:04,RH  ( RH )  Stock Sinks As Market Gains: What You Should Know,0.103865,Neutral,RH
2025-10-31 14:07:34,Federal Realty  ( FRT )  Q3 2025 Earnings Transcript,0.275223,Somewhat-Bullish,RH
2025-10-30 17:04:30,"Burger King Powers Restaurant Brands' Q3 Beat As Sales, Royalties Rise - Restaurant Brands Intl  ( NYSE:QSR ) ",0.242329,Somewhat-Bullish,RH
2025-10-29 11:30:00,Medicus Pharma Ltd. Announces Collaboration with the Gorlin Syndrome Alliance to Pursue Compassionate Use Pathway for SKINJECT™ in Patients with Gorlin Syndrome,0.129306,Neutral,RH
2025-10-28 22:15:04,RH  ( RH )  Exceeds Market Returns: Some Facts to Consider,0.207794,Somewhat-Bullish,RH
2025-10-24 12:48:00,Do Options Traders Know Something About RH Stock We Don't?,0.016819,Neutral,RH
2025-10-24 07:20:00,2 Consumer Goods Stocks to Buy Now,0.393884,Bullish,RH
2025-10-22 09:45:00,2 Luxury Goods Companies With Looming Tariff Costs. Should Investors Be Worried?,-0.04997,Neutral,RH
2025-10-21 08:25:00,Why This California-Based Company's Stock Could Reward Patient Investors,0.038595,Neutral,RH
2025-10-17 22:15:02,RH  ( RH )  Stock Sinks As Market Gains: What You Should Know,0.096748,Neutral,RH
2025-10-16 08:30:00,Bear of the Day: RH  ( RH ) ,0.064066,Neutral,RH
2025-10-16 06:38:00,Micron Technology and RH have been highlighted as Zacks Bull and Bear of the Day,0.160072,Somewhat-Bullish,RH
2025-10-02 18:32:42,"This RH Analyst Is No Longer Bullish; Here Are Top 5 Downgrades For Thursday - Edison Intl  ( NYSE:EIX ) , American Tower  ( NYSE:AMT ) ",0.183918,Somewhat-Bullish,RH
2025-10-02 09:00:00,Which U.S. Companies Are Poised to Profit From Reshoring Supply Chains?,0.223249,Somewhat-Bullish,RH
2025-09-30 12:21:00,"StyleWeekOC® 2025 Takes Over Fashion Island with Star Power, Style Icons & Must-See Events",0.359289,Bullish,RH
2025-09-30 08:38:00,Is RH About to Get Hit by President Trump's Tariffs?,-0.050159,Neutral,RH
2025-09-29 19:01:58,Market Whales and Their Recent Bets on RH Options - RH  ( NYSE:RH ) ,0.173567,Somewhat-Bullish,RH
2025-09-27 12:00:00,3 Top Stocks to Buy in October,0.312464,Somewhat-Bullish,RH
2025-09-26 16:29:08,Why Is RH Stock Falling Friday? - RH  ( NYSE:RH ) ,0.007136,Neutral,RH
2025-09-26 15:05:54,"Consumers Splurge, Intel, GlobalFoundries, Lilly, Paccar, American Woodmark Benefit From New Tariffs - Apple  ( NASDAQ:AAPL ) ",0.185406,Somewhat-Bullish,RH
2025-09-26 06:39:55,Trump's New Furniture Tariffs Sends RH Stock Down After Hours: What You Should Know - RH  ( NYSE:RH ) ,0.059193,Neutral,RH
2025-09-22 20:01:02,Smart Money Is Betting Big In RH Options - RH  ( NYSE:RH ) ,0.154209,Somewhat-Bullish,RH
2025-09-20 11:45:00,1 Growth Stock Down 69% That Could Soar on Fed Interest Rate Cuts,0.173131,Somewhat-Bullish,RH
2025-09-18 09:22:00,"This Luxury CEO Just Said ""Big Inflation"" Is Coming Because of Trump Tariffs and Half His Industry Could Get ""Wiped Out."" But Could the Turmoil Be an Investment Opportunity?",0.024316,Neutral,RH
2025-09-17 15:02:23,RH's Options: A Look at What the Big Money is Thinking - RH  ( NYSE:RH ) ,0.101316,Neutral,RH
2025-09-17 01:05:00,RH Stock Sinks on Lower Guidance. Is It Time to Buy the Dip or Run for the Hills?,0.069693,Neutral,RH
2025-09-15 13:54:00,"Company News for Sep 15, 2025",0.223823,Somewhat-Bullish,RH
2025-09-15 12:07:54,"This BP Analyst Turns Bullish; Here Are Top 5 Upgrades For Monday - Array Technologies  ( NASDAQ:ARRY ) , BP  ( NYSE:BP ) ",0.35963,Bullish,RH
2025-09-15 09:44:27,Is RH Stock Likely To Underperform Through 2026? - RH  ( NYSE:RH ) ,0.128984,Neutral,RH
2025-09-14 20:34:35,Plunging Mortgage Rates Could Light Up These 9 Stocks - Rocket Companies  ( NYSE:RKT ) ,0.214884,Somewhat-Bullish,RH
2025-09-13 08:04:00,Why RH Stock Is Still Risky Even as Profit Soars,0.162051,Somewhat-Bullish,RH
2025-09-12 16:49:00,"RH Stock Down on Q2 Earnings and Revenue Miss, Guidance Lowered",0.007228,Neutral,RH
2025-09-12 16:24:55,RH Reports 8% Revenue Growth,0.076776,Neutral,RH
2025-09-12 13:47:56,RH Analysts Slash Their Forecasts Following Downbeat Q2 Results - RH  ( NYSE:RH ) ,-0.048195,Neutral,RH
2025-09-12 13:29:52,"General Motors To Rally More Than 24%? Here Are 10 Top Analyst Forecasts For Friday - Adobe  ( NASDAQ:ADBE ) , C3.ai  ( NYSE:AI ) ",0.240977,Somewhat-Bullish,RH
2025-09-12 12:44:20,"This Applied Materials Analyst Is No Longer Bullish; Here Are Top 5 Downgrades For Friday - Applied Mat  ( NASDAQ:AMAT ) , Array Technologies  ( NASDAQ:ARRY ) ",0.13536,Neutral,RH
2025-09-12 12:24:19,"RH Posts Downbeat Results, Joins Frequency Electronics, Tronox And Other Big Stocks Moving Lower In Friday's Pre-Market Session - Certara  ( NASDAQ:CERT ) , Abivax  ( NASDAQ:ABVX ) ",-0.249945,Somewhat-Bearish,RH
2025-09-12 09:42:19,"Stock Market Today: Dow, S&P 500 Futures Slip-Adobe, Warner Bros, Super Micro In Focus - SPDR S&P 500  ( ARCA:SPY ) ",0.13651,Neutral,RH
2025-09-12 09:19:19,"Why Adobe Shares Are Trading Higher By Over 4%; Here Are 20 Stocks Moving Premarket - Addex Therapeutics  ( NASDAQ:ADXN ) , Adobe  ( NASDAQ:ADBE ) ",0.141915,Neutral,RH
2025-09-12 07:17:55,"Adobe, RH And 3 Stocks To Watch Heading Into Friday - Adobe  ( NASDAQ:ADBE ) ",0.226623,Somewhat-Bullish,RH
2025-09-11 22:29:00,Markets Pricing-In 50 bps Next Week? Indexes at Record Highs,0.002415,Neutral,RH
2025-09-11 21:25:01,RH  ( RH )  Q2 Earnings and Revenues Lag Estimates,0.128056,Neutral,RH
2025-09-11 20:36:03,RH Stock Plunges After Q2 Earnings Disappoint: Here's What To Know - RH  ( NYSE:RH ) ,0.119575,Neutral,RH
2025-09-11 09:36:30,"Stock Market Today: S&P 500, Nasdaq Futures Rise Ahead Of August CPI Print-Kroger, RH, Adobe Earnings In Focus - SPDR S&P 500  ( ARCA:SPY ) ",0.105643,Neutral,RH
2025-09-11 07:14:27,"S&P 500 Settles At Record High After Inflation Data: Investor Sentiment Declines, Fear & Greed Index Remains In 'Neutral' Zone - Chewy  ( NYSE:CHWY ) ",-0.153953,Somewhat-Bearish,RH
