time_published,title,sentiment_score,sentiment_label,ticker
2025-11-19 02:49:35,"Hiring outlook improves for Hong Kong's financial sector, recruiters say",0.108386,Neutral,RHI
2025-11-17 13:34:00,"Wall Street's Most Accurate Analysts Give Their Take On 3 Industrials Stocks With Over 7% Dividend Yields - Insperity  ( NYSE:NSP ) , Karat Packaging  ( NASDAQ:KRT ) ",0.082315,Neutral,RHI
2025-11-11 13:39:00,Aris Mining and Robert Half have been highlighted as Zacks Bull and Bear of the Day,0.197031,Somewhat-Bullish,RHI
2025-11-11 11:06:00,Bear of the Day: Robert Half  ( RHI ) ,0.071816,Neutral,RHI
2025-11-03 16:16:10,"Would You Ditch Remote Work For A Pay Raise? Two-Thirds Of U.S. Workers Would, Survey Says",0.2927,Somewhat-Bullish,RHI
2025-10-31 12:37:45,"Wall Street's Most Accurate Analysts Spotlight On 3 Industrials Stocks With Over 6% Dividend Yields - Robert Half  ( NYSE:RHI ) , Karat Packaging  ( NASDAQ:KRT ) ",0.09594,Neutral,RHI
2025-10-29 01:30:12,"What AI means for young bankers: fewer entry roles, but faster career paths",0.298175,Somewhat-Bullish,RHI
2025-10-24 16:04:00,Robert Half International Stock Barely Moves Since Q3 Earnings,0.092166,Neutral,RHI
2025-10-22 21:15:03,Robert Half  ( RHI )  Q3 Earnings Match Estimates,0.152602,Somewhat-Bullish,RHI
2025-10-16 11:21:40,"Wall Street's Most Accurate Analysts Weigh In On 3 Industrials Stocks With Over 7% Dividend Yields - Robert Half  ( NYSE:RHI ) , Karat Packaging  ( NASDAQ:KRT ) ",0.110144,Neutral,RHI
2025-09-05 12:45:44,"Wall Street's Most Accurate Analysts Give Their Take On 3 Industrials Stocks Delivering High-Dividend Yields - Karat Packaging  ( NASDAQ:KRT ) , Kforce  ( NYSE:KFRC ) ",0.140376,Neutral,RHI
2025-08-22 15:30:12,Why Is Robert Half  ( RHI )  Down 9.7% Since Last Earnings Report?,0.061687,Neutral,RHI
2025-08-20 11:51:27,"Wall Street's Most Accurate Analysts Spotlight On 3 Industrials Stocks With Over 6% Dividend Yields - Robert Half  ( NYSE:RHI ) , Karat Packaging  ( NASDAQ:KRT ) ",0.141051,Neutral,RHI
2025-07-28 15:20:00,Robert Half International Stock Plunges 6.1% Since Q2 Earnings Beat,0.007153,Neutral,RHI
2025-07-23 21:25:04,Robert Half  ( RHI )  Tops Q2 Earnings and Revenue Estimates,0.159576,Somewhat-Bullish,RHI
2025-07-22 12:03:34,"Wall Street's Most Accurate Analysts Weigh In On 3 Industrials Stocks With Over 5% Dividend Yields - Robert Half  ( NYSE:RHI ) , Karat Packaging  ( NASDAQ:KRT ) ",0.160807,Somewhat-Bullish,RHI
2025-06-25 12:28:00,Limbach and Robert Half have been highlighted as Zacks Bull and Bear of the Day,0.121998,Neutral,RHI
2025-06-25 10:09:00,Bear of the Day: Robert Half  ( RHI ) ,-0.016962,Neutral,RHI
2025-06-20 11:37:25,"Wall Street's Most Accurate Analysts Spotlight On 3 Industrials Stocks Delivering High-Dividend Yields - Robert Half  ( NYSE:RHI ) , Copa Holdings  ( NYSE:CPA ) ",0.111626,Neutral,RHI
2025-06-05 14:45:00,Announcing the Executive Career Chat powered by Chameleon Resumes: conversations to empower senior-level professionals to successfully navigate the executive job market,0.244317,Somewhat-Bullish,RHI
2025-05-29 15:30:55,Insperity  ( NSP )  Down 1.2% Since Last Earnings Report: Can It Rebound?,0.009565,Neutral,RHI
2025-05-23 15:30:57,Why Is Robert Half  ( RHI )  Up 2.4% Since Last Earnings Report?,0.056865,Neutral,RHI
2025-05-23 13:16:47,"Wall Street's Most Accurate Analysts Give Their Take On 3 Industrial Stocks Delivering High-Dividend Yields - Robert Half  ( NYSE:RHI ) , Karat Packaging  ( NASDAQ:KRT ) ",0.143993,Neutral,RHI
2025-05-21 13:30:00,Interactive EQ Launches Zeppy: The AI-Powered Advisor Helping Companies Win the Talent War,0.269209,Somewhat-Bullish,RHI
2025-05-13 14:31:00,3 Beaten-Down Dividend Stocks With Yields Over 5% to Buy in May for Passive Income,0.125839,Neutral,RHI
2025-04-24 18:07:38,These Analysts Cut Their Forecasts On Robert Half After Downbeat Q1 Earnings - Robert Half  ( NYSE:RHI ) ,0.220935,Somewhat-Bullish,RHI
2025-04-24 15:49:00,"Robert Half Q1 Earnings & Revenues Miss Estimates, Decline Y/Y",0.023669,Neutral,RHI
2025-04-24 12:13:14,"IBM, Nokia, Alaska Air Group And Other Big Stocks Moving Lower In Thursday's Pre-Market Session - Alaska Air Gr  ( NYSE:ALK ) , Acacia Research  ( NASDAQ:ACTG ) ",-0.069865,Neutral,RHI
2025-04-24 09:30:36,"Why ServiceNow Shares Are Trading Higher By 9%; Here Are 20 Stocks Moving Premarket - Alpha Cognition  ( NASDAQ:ACOG ) , Acacia Research  ( NASDAQ:ACTG ) ",0.144793,Neutral,RHI
2025-04-23 21:35:08,Robert Half  ( RHI )  Q1 Earnings and Revenues Lag Estimates,0.105372,Neutral,RHI
2025-04-22 13:15:20,Robert Half  ( RHI )  Q1 Earnings on the Horizon: Analysts' Insights on Key Performance Measures,0.180549,Somewhat-Bullish,RHI
2025-04-07 12:12:33,"Wall Street's Most Accurate Analysts Spotlight On 3 Industrials Stocks Delivering High-Dividend Yields - ManpowerGroup  ( NYSE:MAN ) , Karat Packaging  ( NASDAQ:KRT ) ",0.175162,Somewhat-Bullish,RHI
2025-03-27 04:30:38,AI business technology takes on shoplifters and admin drag,0.050142,Neutral,RHI
2025-03-11 11:58:55,"Wall Street's Most Accurate Analysts Spotlight On 3 Industrials Stocks Delivering High-Dividend Yields - Robert Half  ( NYSE:RHI ) , ManpowerGroup  ( NYSE:MAN ) ",0.14313,Neutral,RHI
2025-02-28 16:30:51,Why Is Robert Half  ( RHI )  Down 9.5% Since Last Earnings Report?,0.016735,Neutral,RHI
2025-02-26 11:20:02,Should Vanguard S&P Small-Cap 600 Value ETF  ( VIOV )  Be on Your Investing Radar?,0.247592,Somewhat-Bullish,RHI
2025-02-24 19:30:21,How Is The Market Feeling About Robert Half? - Robert Half  ( NYSE:RHI ) ,0.292162,Somewhat-Bullish,RHI
2025-02-21 13:56:00,Are Options Traders Betting on a Big Move in Robert Half Inc.  ( RHI )  Stock?,0.059621,Neutral,RHI
2025-02-17 11:20:03,Should You Invest in the Invesco S&P SmallCap Industrials ETF  ( PSCI ) ?,0.167959,Somewhat-Bullish,RHI
2025-02-06 11:20:09,Is Invesco S&P SmallCap Quality ETF  ( XSHQ )  a Strong ETF Right Now?,0.223772,Somewhat-Bullish,RHI
2025-02-03 11:20:21,Should SPDR S&P 600 Small Cap Value ETF  ( SLYV )  Be on Your Investing Radar?,0.242242,Somewhat-Bullish,RHI
2025-01-30 15:02:00,"Robert Half Q4 Earnings & Revenues Miss Estimates, Decline Y/Y",0.100683,Neutral,RHI
2025-01-30 13:31:08,"UPS, Whirlpool, Microsoft And Other Big Stocks Moving Lower In Thursday's Pre-Market Session - Microsoft  ( NASDAQ:MSFT ) , Cigna  ( NYSE:CI ) ",0.041701,Neutral,RHI
2025-01-29 22:25:04,Robert Half  ( RHI )  Misses Q4 Earnings and Revenue Estimates,0.137078,Neutral,RHI
2025-01-28 11:20:08,Should Invesco S&P SmallCap Quality ETF  ( XSHQ )  Be on Your Investing Radar?,0.138196,Neutral,RHI
2025-01-27 16:36:00,Robert Half Gears up for Q4 Earnings: What's in the Cards?,0.120602,Neutral,RHI
2025-01-19 18:30:15,Why Americans Are Accepting Pay Cuts For Remote Jobs - And What It Means For The Economy,0.36314,Bullish,RHI
2025-01-15 15:58:00,Here's Why You Should Retain Robert Half Stock in Your Portfolio Now,0.23902,Somewhat-Bullish,RHI
2025-01-03 14:12:02,"Tesla To $351? Here Are 10 Top Analyst Forecasts For Friday - Citigroup  ( NYSE:C ) , Caesars Entertainment  ( NASDAQ:CZR ) ",0.269222,Somewhat-Bullish,RHI
2025-01-03 13:15:52,"This Block Analyst Turns Bullish; Here Are Top 5 Upgrades For Friday - Boyd Gaming  ( NYSE:BYD ) , Fidelity National Finl  ( NYSE:FNF ) ",0.392412,Bullish,RHI
