time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 00:00:00,"Flexible Packaging Market worth $369.6 billion in 2030, at a CAGR of 4.2%, says MarketsandMarkets™",0.543119,Bullish,SEE
2025-11-20 21:57:48,"Halper Sadeh LLC Encourages SEE, AXTA, SEMR, AKRO Shareholders to Contact the Firm to Discuss Their Rights - Akero Therapeutics  ( NASDAQ:AKRO ) , Axalta Coating Systems  ( NYSE:AXTA ) ",0.153843,Somewhat-Bullish,SEE
2025-11-20 13:00:45,Peering Into Sealed Air Corp's Recent Short Interest - Sealed Air  ( NYSE:SEE ) ,0.278426,Somewhat-Bullish,SEE
2025-11-18 17:55:00,Sealed Air Inks $10.3 Billion Agreement to Be Acquired by CD&R,0.281909,Somewhat-Bullish,SEE
2025-11-18 12:44:35,"Halper Sadeh LLC Encourages RPTX and SEE Shareholders to Contact the Firm to Discuss Their Rights - Sealed Air  ( NYSE:SEE ) , Repare Therapeutics  ( NASDAQ:RPTX ) ",0.138164,Neutral,SEE
2025-11-17 22:30:00,$HAREHOLDER ALERT: The M&A Class Action Firm Announces An Investigation of Sealed Air Corp.  ( NYSE: SEE ) ,0.208873,Somewhat-Bullish,SEE
2025-11-17 17:19:47,Johnson Fistel Investigates Potential Board Fiduciary Duty Breaches in the Sealed Air Buyout - Sealed Air  ( NYSE:SEE ) ,0.232512,Somewhat-Bullish,SEE
2025-11-17 16:51:06,"BRODSKY & SMITH SHAREHOLDER UPDATE: Notifying Investors of the Following Investigations: Sealed Air Corporation  ( NYSE - SEE ) , Movano Inc.  ( Nasdaq - MOVE ) , Gulf Island Inc.  ( Nasdaq - GIFI ) , Denny's Corporation  ( Nasdaq - DENN ) ",0.196821,Somewhat-Bullish,SEE
2025-11-17 16:17:09,Sealed Air Agrees To $10.3 Billion Takeover By CD&R Funds - Sealed Air  ( NYSE:SEE ) ,0.267296,Somewhat-Bullish,SEE
2025-11-17 14:42:26,SEE Alert: Monsey Firm of Wohl & Fruchter Investigating Fairness of the Sale of Sealed Air Corporation to CD&R - Sealed Air  ( NYSE:SEE ) ,0.136537,Neutral,SEE
2025-11-17 12:24:56,"Tesla To Rally Around 26%? Here Are 10 Top Analyst Forecasts For Monday - Blackstone Mortgage Trust  ( NYSE:BXMT ) , Vita Coco  ( NASDAQ:COCO ) ",0.227304,Somewhat-Bullish,SEE
2025-11-17 12:12:57,"This Dell Analyst Turns Bearish; Here Are Top 5 Downgrades For Monday - Adverum Biotechnologies  ( NASDAQ:ADVM ) , Ardent Health  ( NYSE:ARDT ) ",0.115751,Neutral,SEE
2025-11-14 20:34:39,"Deal Dispatch: WBD, Bill.com, C3 AI Auctions Shake Market - C3.ai  ( NYSE:AI ) , BILL Holdings  ( NYSE:BILL ) ",0.080807,Neutral,SEE
2025-11-13 14:59:19,"Spectrum Brands Posts Upbeat Q3 Earnings, Joins Ondas Holdings, Firefly Aerospace, Cellebrite DI And Other Big Stocks Moving Higher On Thursday - Dillard's  ( NYSE:DDS ) , Cellebrite DI  ( NASDAQ:CLBT ) ",0.450299,Bullish,SEE
2025-11-07 14:50:04,Why This 1 Momentum Stock Could Be a Great Addition to Your Portfolio,0.430767,Bullish,SEE
2025-11-06 18:19:00,"Amcor Earnings Meet Estimates in Q1, Revenues Increase Y/Y",0.145438,Neutral,SEE
2025-11-06 14:40:03,Why Sealed Air  ( SEE )  is a Top Value Stock for the Long-Term,0.452227,Bullish,SEE
2025-11-04 18:12:00,"BALL's Q3 Earnings Match Estimates, Sales Up Y/Y on Higher Volumes",0.114474,Neutral,SEE
2025-11-04 18:03:00,"Sealed Air Earnings & Sales Surpass Estimates in Q3, Increase Y/Y",0.090685,Neutral,SEE
2025-11-04 17:55:00,What to Note Ahead of Parker-Hannifin's Q1 Earnings Release?,0.30068,Somewhat-Bullish,SEE
2025-11-04 14:30:05,Here's What Key Metrics Tell Us About Sealed Air  ( SEE )  Q3 Earnings,0.232887,Somewhat-Bullish,SEE
2025-11-04 13:05:03,Sealed Air  ( SEE )  Tops Q3 Earnings and Revenue Estimates,0.159238,Somewhat-Bullish,SEE
2025-11-04 09:21:00,"The Zacks Analyst Blog Highlights Nvidia, ASML Holding, Morgan Stanley and Micron",0.265235,Somewhat-Bullish,SEE
2025-11-03 17:46:00,Emerson Gears Up to Report Q4 Earnings: Here's What to Expect,0.241854,Somewhat-Bullish,SEE
2025-11-03 15:44:00,Eaton to Post Q3 Earnings: What to Expect for the Stock This Season?,0.399195,Bullish,SEE
2025-10-31 18:38:00,Sealed Air Set to Report Q3 Earnings: What's in Store for the Stock?,0.052458,Neutral,SEE
2025-10-31 18:25:00,Stanley Black Gears Up to Report Q3 Earnings: What's in the Offing?,0.092402,Neutral,SEE
2025-10-31 17:38:00,Sealed Air Set to Report Q3 Earnings: What's in Store for the Stock?,0.052458,Neutral,SEE
2025-10-31 17:25:00,Stanley Black Gears Up to Report Q3 Earnings: What's in the Offing?,0.092402,Neutral,SEE
2025-10-31 07:33:00,"The Zacks Analyst Blog Highlights AptarGroup, Tennant and Sealed Air",0.267503,Somewhat-Bullish,SEE
2025-10-30 22:15:01,AptarGroup  ( ATR )  Q3 Earnings and Revenues Top Estimates,0.162173,Somewhat-Bullish,SEE
2025-10-30 16:44:00,Ball Corp Set to Report Q3 Earnings: What's in Store for the Stock?,0.186498,Somewhat-Bullish,SEE
2025-10-30 14:21:00,3 Industrial Stocks Set to Outshine Q3 Earnings Estimates,0.269961,Somewhat-Bullish,SEE
2025-10-29 17:59:00,Grainger Ready to Report Q3 Earnings: What's in Store for the Stock?,0.24185,Somewhat-Bullish,SEE
2025-10-29 14:00:07,Amcor  ( AMCR )  Reports Next Week: Wall Street Expects Earnings Growth,0.149313,Neutral,SEE
2025-10-28 16:50:00,Ingersoll Rand Gears Up to Report Q3 Earnings: What's in the Offing?,0.22884,Somewhat-Bullish,SEE
2025-10-28 14:00:39,Sealed Air  ( SEE )  Expected to Beat Earnings Estimates: What to Know Ahead of Q3 Release,0.158592,Somewhat-Bullish,SEE
2025-10-28 08:48:00,"Zacks Industry Outlook Highlights Brambles, Packaging Corporation, AptarGroup, Sealed Air and Karat Packaging",0.258305,Somewhat-Bullish,SEE
2025-10-27 15:57:00,5 Containers - Paper and Packaging Stocks to Watch in a Promising Industry,0.320746,Somewhat-Bullish,SEE
2025-10-27 15:50:00,SITE Gears Up to Report Q3 Earnings: What's in Store for the Stock?,0.158604,Somewhat-Bullish,SEE
2025-10-27 15:11:00,CAT to Report Q3 Earnings: Can Volume Recovery Offset Tariff Woes?,0.083223,Neutral,SEE
2025-10-27 13:36:00,IDEX Gears Up to Post Q3 Earnings: What's in the Offing?,0.186537,Somewhat-Bullish,SEE
2025-10-27 13:32:00,Zebra Technologies to Report Q3 Earnings: What's in the Offing?,0.299029,Somewhat-Bullish,SEE
