time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 20:30:00,Prediction: This Artificial Intelligence  ( AI )  Stock Will Crush Both Palantir and BigBear.ai in 2026,0.252608,Somewhat-Bullish,SNOW
2025-11-20 16:34:00,Snowflake vs. Teradata: Which Data Cloud Stock Has More Upside?,0.207351,Somewhat-Bullish,SNOW
2025-11-20 12:53:00,Salesforce Bets on Data Cloud: Will This Offset Slowing Growth Trends?,0.228894,Somewhat-Bullish,SNOW
2025-11-19 15:19:00,MongoDB Surges 59% in Three Months: Is the Stock Still Worth Buying?,0.214355,Somewhat-Bullish,SNOW
2025-11-17 22:45:05,Snowflake Inc.  ( SNOW )  Sees a More Significant Dip Than Broader Market: Some Facts to Know,0.171546,Somewhat-Bullish,SNOW
2025-11-17 17:48:00,SNOW's Multi-Cloud Strategy: Can Partners Power Sustained Expansion?,0.323952,Somewhat-Bullish,SNOW
2025-11-17 17:15:02,"Micron, Nvidia, Apple Among Q3's 'Hot List' As Hedge Funds Load Up On Tech All Over Again - ASML Holding  ( NASDAQ:ASML ) ",0.092678,Neutral,SNOW
2025-11-17 12:24:56,"Tesla To Rally Around 26%? Here Are 10 Top Analyst Forecasts For Monday - Blackstone Mortgage Trust  ( NYSE:BXMT ) , Vita Coco  ( NASDAQ:COCO ) ",0.227304,Somewhat-Bullish,SNOW
2025-11-14 17:29:25,Bearish On AI? Tell That To The $600 Billion Big Tech Is About To Spend - NVIDIA  ( NASDAQ:NVDA ) ,0.002411,Neutral,SNOW
2025-11-14 12:09:00,Palantir's Commercial Surge Becomes the Defining Catalyst,0.348215,Somewhat-Bullish,SNOW
2025-11-13 15:32:00,Can Snowflake's AI Data Cloud Architecture Deepen Its Market Edge?,0.289214,Somewhat-Bullish,SNOW
2025-11-12 14:00:05,Snowflake Inc.  ( SNOW )  is Attracting Investor Attention: Here is What You Should Know,0.228791,Somewhat-Bullish,SNOW
2025-11-11 14:30:04,Wall Street Bulls Look Optimistic About Snowflake  ( SNOW ) : Should You Buy?,0.278112,Somewhat-Bullish,SNOW
2025-11-11 06:19:00,"The Zacks Analyst Blog Palantir, Snowflake, Datadog, Atlassian and Zoom Communications",0.387993,Bullish,SNOW
2025-11-10 22:45:02,Snowflake Inc.  ( SNOW )  Surpasses Market Returns: Some Facts Worth Knowing,0.260812,Somewhat-Bullish,SNOW
2025-11-10 17:25:22,"Nvidia's $1 In AI Chips Fuels $10 in Tech Growth, Palantir, Snowflake, MongoDB Poised To Ride Next AI Growth Wave - Alphabet  ( NASDAQ:GOOGL ) , Amazon.com  ( NASDAQ:AMZN ) ",0.192097,Somewhat-Bullish,SNOW
2025-11-10 14:54:00,5 AI-Powered Internet Software Giants to Power Your Portfolio in 2026,0.406373,Bullish,SNOW
2025-11-10 13:15:03,Monday.com  ( MNDY )  Surpasses Q3 Earnings and Revenue Estimates,0.180132,Somewhat-Bullish,SNOW
2025-11-07 18:03:39,Snowflake Options Trading: A Deep Dive into Market Sentiment - Snowflake  ( NYSE:SNOW ) ,0.236991,Somewhat-Bullish,SNOW
2025-11-07 10:24:00,"The Zacks Analyst Blog Snowflake, Microsoft, Amazon and ServiceNow",0.437915,Bullish,SNOW
2025-11-06 22:30:03,VTEX  ( VTEX )  Meets Q3 Earnings Estimates,0.132524,Neutral,SNOW
2025-11-06 17:31:00,Will Atlas Momentum Help MDB Maintain Its Subscription Growth Trend?,0.241532,Somewhat-Bullish,SNOW
2025-11-06 17:02:00,3 Key Reasons to Buy Snowflake Stock Beyond the 71% Surge YTD,0.442392,Bullish,SNOW
2025-11-04 19:30:05,"Snowflake And SAP Bridge Enterprise Data Silos In Major AI Integration Push - SAP  ( NYSE:SAP ) , Snowflake  ( NYSE:SNOW ) ",0.273235,Somewhat-Bullish,SNOW
2025-11-04 17:33:00,BLZE Set to Report Q3 Earnings: How Should Investors Play the Stock?,0.245838,Somewhat-Bullish,SNOW
2025-11-04 12:35:02,Spotify  ( SPOT )  Q3 Earnings and Revenues Beat Estimates,0.157725,Somewhat-Bullish,SNOW
2025-11-02 19:53:40,Snowflake's CRO Mike Gannon's Instagram Interview With Influencer James Dumoulin Triggers SEC Filing - Snowflake  ( NYSE:SNOW ) ,0.125876,Neutral,SNOW
2025-10-31 13:00:04,Snowflake Inc.  ( SNOW )  Is a Trending Stock: Facts to Know Before Betting on It,0.233259,Somewhat-Bullish,SNOW
2025-10-30 18:11:00,"Microsoft Q1 Earnings & Revenues Beat on Cloud, AI Strength",0.235162,Somewhat-Bullish,SNOW
2025-10-29 16:50:00,Backblaze vs. Snowflake: Which Cloud Data Stock Is the Better Buy?,0.399822,Bullish,SNOW
2025-10-28 17:00:37,How Is The Market Feeling About Snowflake Inc? - Snowflake  ( NYSE:SNOW ) ,0.276201,Somewhat-Bullish,SNOW
2025-10-27 12:50:00,Can Salesforce's Data Cloud Business Offset Slowing Growth Trends?,0.2037,Somewhat-Bullish,SNOW
2025-10-27 12:27:48,Palantir Locks In Poland - And Maybe Its Next All-Time High - Palantir Technologies  ( NASDAQ:PLTR ) ,0.063625,Neutral,SNOW
2025-10-26 18:45:00,Prediction: 1 Growth Stock Set to Bounce Next Year,0.19576,Somewhat-Bullish,SNOW
2025-10-24 09:06:00,3 Top Artificial Intelligence  ( AI )  Stocks Ready for a Bull Run,0.276581,Somewhat-Bullish,SNOW
2025-10-24 07:55:00,3 Tech Stocks That Could Help Set You Up for Life,0.20365,Somewhat-Bullish,SNOW
2025-10-23 18:35:19,TransUnion  ( TRU )  Q3 2025 Earnings Call Transcript,0.341393,Somewhat-Bullish,SNOW
2025-10-23 12:23:00,Can This Stock Be the New Snowflake of the Next Decade?,0.174723,Somewhat-Bullish,SNOW
2025-10-23 08:11:00,"Meet the Spectacular Vanguard ETF With 43.6% of Its Portfolio Invested in Nvidia, Apple, and Microsoft",0.177952,Somewhat-Bullish,SNOW
2025-10-22 10:30:00,Prediction: 1 AI Stock Could Be Worth More Than Nvidia and Palantir Technologies Combined by 2030,0.178967,Somewhat-Bullish,SNOW
2025-10-21 14:56:00,SNOW Benefits From Expanding Partner Base: A Sign for More Upside?,0.226427,Somewhat-Bullish,SNOW
2025-10-20 21:45:03,Snowflake Inc.  ( SNOW )  Outpaces Stock Market Gains: What You Should Know,0.185128,Somewhat-Bullish,SNOW
2025-10-20 15:07:42,Snowflake Poised For Major AI Driven Growth: Analyst - Snowflake  ( NYSE:SNOW ) ,0.318435,Somewhat-Bullish,SNOW
2025-10-20 14:04:56,Snowflake Unusual Options Activity - Snowflake  ( NYSE:SNOW ) ,0.177923,Somewhat-Bullish,SNOW
2025-10-20 13:00:03,Investors Heavily Search Snowflake Inc.  ( SNOW ) : Here is What You Need to Know,0.226189,Somewhat-Bullish,SNOW
2025-10-18 12:00:00,Is Snowflake an Undervalued Stock to Buy in October?,-0.085433,Neutral,SNOW
2025-10-17 16:35:23,"Snowflake's Palantir Deal Is Key To Unlock Massive AI, Government Data Opportunities: Analyst - Snowflake  ( NYSE:SNOW ) ",0.275893,Somewhat-Bullish,SNOW
2025-10-17 16:14:00,"2 Growth Stocks to Invest $1,000 in Right Now",0.283228,Somewhat-Bullish,SNOW
2025-10-17 14:15:00,2 Millionaire-Maker Artificial Intelligence  ( AI )  Stocks,0.333517,Somewhat-Bullish,SNOW
2025-10-17 13:45:00,Better Artificial Intelligence  ( AI )  Stock: Snowflake vs. Palantir,0.418328,Bullish,SNOW
