time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 11:20:02,Should ALPS O'Shares U.S. Small-Cap Quality Dividend ETF  ( OUSM )  Be on Your Investing Radar?,0.120498,Neutral,SWKS
2025-11-18 12:02:16,"Wall Street's Most Accurate Analysts Give Their Take On 3 Tech Stocks With Over 4% Dividend Yields - HP  ( NYSE:HPQ ) , AudioCodes  ( NASDAQ:AUDC ) ",0.077429,Neutral,SWKS
2025-11-11 13:27:48,"Zoom To Rally Around 38%? Here Are 10 Top Analyst Forecasts For Tuesday - Bullish  ( NYSE:BLSH ) , Appian  ( NASDAQ:APPN ) ",0.239818,Somewhat-Bullish,SWKS
2025-11-11 12:11:53,"This Qorvo Analyst Is No Longer Bearish; Here Are Top 3 Upgrades For Tuesday - Bullish  ( NYSE:BLSH ) , Qorvo  ( NASDAQ:QRVO ) ",0.419681,Bullish,SWKS
2025-11-07 22:00:23,A Look Into Skyworks Solutions Inc's Price Over Earnings - Skyworks Solutions  ( NASDAQ:SWKS ) ,-0.087557,Neutral,SWKS
2025-11-06 13:55:02,How to Find Strong Computer and Technology Stocks Slated for Positive Earnings Surprises,0.352743,Bullish,SWKS
2025-11-06 13:01:00,"Skyworks Introduces New Programmable Bulk Acoustic Wave Clocks for 5G, 6G, and Data Center Applications - Skyworks Solutions  ( NASDAQ:SWKS ) ",0.18909,Somewhat-Bullish,SWKS
2025-11-06 13:01:00,"Skyworks Introduces New Programmable Bulk Acoustic Wave Clocks for 5G, 6G, and Data Center Applications",0.196527,Somewhat-Bullish,SWKS
2025-11-05 17:37:00,"Skyworks Q4 Earnings Top Estimates, Revenues Grow Y/Y, Shares Rise",0.126971,Neutral,SWKS
2025-11-04 14:00:33,"Wall Street's Most Accurate Analysts Give Their Take On 3 Tech Stocks Delivering High-Dividend Yields - HP  ( NYSE:HPQ ) , Microchip Technology  ( NASDAQ:MCHP ) ",0.088577,Neutral,SWKS
2025-10-31 18:58:00,Skyworks to Report Q4 Earnings: What's in Store for the Stock?,0.244265,Somewhat-Bullish,SWKS
2025-10-31 17:58:00,Skyworks to Report Q4 Earnings: What's in Store for the Stock?,0.244265,Somewhat-Bullish,SWKS
2025-10-30 12:35:28,"Halper Sadeh LLC Encourages ZEUS, CSGS, QRVO Shareholders to Contact the Firm to Discuss Their Rights - CSG Systems Intl  ( NASDAQ:CSGS ) , Qorvo  ( NASDAQ:QRVO ) ",0.12149,Neutral,SWKS
2025-10-29 16:47:38,"S&P 500 Tops 6,900 Ahead Fed Rate Move, Gold Reclaims $4,000 - iShares Semiconductor ETF  ( NASDAQ:SOXX ) ",0.170286,Somewhat-Bullish,SWKS
2025-10-29 13:20:25,"These Analysts Increase Their Forecasts On Skyworks Solutions - Skyworks Solutions  ( NASDAQ:SWKS ) , Qorvo  ( NASDAQ:QRVO ) ",0.268005,Somewhat-Bullish,SWKS
2025-10-29 11:43:31,"This Edwards Lifesciences Analyst Turns Bullish; Here Are Top 4 Upgrades For Wednesday - Edwards Lifesciences  ( NYSE:EW ) , Brookfield Infr Partners  ( NYSE:BIP ) ",0.294167,Somewhat-Bullish,SWKS
2025-10-29 10:20:02,Is ALPS O'Shares U.S. Small-Cap Quality Dividend ETF  ( OUSM )  a Strong ETF Right Now?,0.231167,Somewhat-Bullish,SWKS
2025-10-29 09:41:21,What's Going On With Qualcomm Stock Wednesday? - Qualcomm  ( NASDAQ:QCOM ) ,0.137064,Neutral,SWKS
2025-10-28 17:38:45,"Halper Sadeh LLC Encourages QRVO, SOHO, AWK Shareholders to Contact the Firm to Discuss Their Rights - Qorvo  ( NASDAQ:QRVO ) , American Water Works Co  ( NYSE:AWK ) ",0.100035,Neutral,SWKS
2025-10-28 17:23:51,"Nasdaq 100 Hits 26,000, Gold Falls Below $4,000: Markets Today - American Tower  ( NYSE:AMT ) , Ares Capital  ( NASDAQ:ARCC ) ",0.064002,Neutral,SWKS
2025-10-28 16:22:11,"Qorvo, Skyworks Strike $22B Merger To Tackle Next-Gen Connectivity - Skyworks Solutions  ( NASDAQ:SWKS ) , Qorvo  ( NASDAQ:QRVO ) ",0.225866,Somewhat-Bullish,SWKS
2025-10-28 16:00:03,Skyworks  ( SWKS )  Upgraded to Buy: What Does It Mean for the Stock?,0.302797,Somewhat-Bullish,SWKS
2025-10-28 14:14:02,"Wayfair, Qorvo, Celestica, United Parcel Service, Regeneron Pharmaceuticals And Other Big Stocks Moving Higher On Tuesday - Arcutis Biotherapeutics  ( NASDAQ:ARQT ) , Agilysys  ( NASDAQ:AGYS ) ",0.464833,Bullish,SWKS
2025-10-28 14:00:26,Analysts Estimate Skyworks Solutions  ( SWKS )  to Report a Decline in Earnings: What to Look Out for,0.138663,Neutral,SWKS
2025-10-28 11:02:00,Skyworks Reports Preliminary Q4 and Full Year FY25 Results,0.12426,Neutral,SWKS
