time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 16:42:00,TDOC vs. LFMD: Which Telehealth Stock Is Better for Your Portfolio?,0.485456,Bullish,TDOC
2025-11-19 20:32:44,Is Teladoc Stock a Buy After Oracle Investment Management Upped Its Stake?,0.279092,Somewhat-Bullish,TDOC
2025-11-19 17:24:00,TDOC Partners With TytoCare to Expand At-Home Exam Capabilities,0.320205,Somewhat-Bullish,TDOC
2025-11-18 16:43:00,Hims & Hers Plunges 15.6% in 3 Months: Time to Hold the Stock or Sell?,0.2908,Somewhat-Bullish,TDOC
2025-11-17 16:23:00,Is Teladoc Health Accelerating Growth Through Global Expansion?,0.411494,Bullish,TDOC
2025-11-11 18:26:00,Teladoc Health's Q3 Loss Widens Y/Y on Weak BetterHelp Unit,0.102505,Neutral,TDOC
2025-11-11 17:43:00,"Hims & Hers Scales Technology-Enabled, Vertically Integrated Care",0.402973,Bullish,TDOC
2025-11-10 17:47:00,How is Teladoc Health Placed in the Growing Telemedicine Market?,0.356581,Bullish,TDOC
2025-11-06 21:30:00,Teladoc Health Announces Employee Inducement Award under NYSE Rule 303A.08,0.484427,Bullish,TDOC
2025-11-05 17:23:00,"How to Play Teladoc Health Stock Post Q3 Results: Buy, Hold or Sell?",0.296003,Somewhat-Bullish,TDOC
2025-11-05 11:45:00,Why Teladoc Stock Zoomed Almost 12% Higher in October,0.325539,Somewhat-Bullish,TDOC
2025-11-04 02:24:00,Is This Beaten-Down Stock Finally on the Road to Recovery?,0.244175,Somewhat-Bullish,TDOC
2025-10-30 00:05:37,Teladoc  ( TDOC )  Q3 2025 Earnings Call Transcript,0.34545,Somewhat-Bullish,TDOC
2025-10-29 21:21:33,"Teladoc Health Posts Mixed Results For Q3, Shares Move Lower - Teladoc Health  ( NYSE:TDOC ) ",0.153885,Somewhat-Bullish,TDOC
2025-10-17 14:18:00,Danaher Gears Up to Post Q3 Earnings: What Lies Ahead for the Stock?,0.163547,Somewhat-Bullish,TDOC
2025-10-17 10:17:00,Better Beaten-Down Stock: Iovance Biotherapeutics vs. Teladoc Health,0.24271,Somewhat-Bullish,TDOC
