time_published,title,sentiment_score,sentiment_label,ticker
2025-11-19 16:42:00,Figma Benefits From Expanding Clientele: A Sign for More Upside?,0.253619,Somewhat-Bullish,TEAM
2025-11-13 18:42:00,Should You Hold on to Figma Despite the Stock's 32% One-Month Decline?,0.281649,Somewhat-Bullish,TEAM
2025-11-11 06:19:00,"The Zacks Analyst Blog Palantir, Snowflake, Datadog, Atlassian and Zoom Communications",0.387993,Bullish,TEAM
2025-11-10 14:54:00,5 AI-Powered Internet Software Giants to Power Your Portfolio in 2026,0.406373,Bullish,TEAM
2025-11-07 15:37:00,Is It Time to Buy Astera Labs Stock After Its Q3 Earnings Beat?,0.387967,Bullish,TEAM
2025-11-05 13:44:42,Why Is Dynatrace Stock Gaining Wednesday? - Dynatrace  ( NYSE:DT ) ,0.15764,Somewhat-Bullish,TEAM
2025-11-05 13:38:00,Buy These 3 Stocks With Upgraded Broker Ratings Right Now,0.289766,Somewhat-Bullish,TEAM
2025-10-31 15:37:57,"Cloudflare Posts Upbeat Q3 Results, Joins Amazon, Roku, Coinbase, Atlassian And Other Big Stocks Moving Higher On Friday - Astera Labs  ( NASDAQ:ALAB ) , Arcosa  ( NYSE:ACA ) ",0.445543,Bullish,TEAM
2025-10-31 15:32:00,"Atlassian Q1 Earnings Surpass Expectations, Revenues Rise Y/Y",0.124365,Neutral,TEAM
2025-10-31 14:32:00,"Atlassian Q1 Earnings Surpass Expectations, Revenues Rise Y/Y",0.124365,Neutral,TEAM
2025-10-31 12:33:16,Atlassian  ( TEAM )  Q1 2026 Earnings Call Transcript,0.280102,Somewhat-Bullish,TEAM
2025-10-30 22:35:41,Atlassian Stock Pops On Better-Than-Expected Q1 Results Driven By 'Relentless Pace Of AI Innovation' - Atlassian  ( NASDAQ:TEAM ) ,0.14739,Neutral,TEAM
2025-10-30 18:18:00,Figma's AI Tools Gain Traction: Is Innovation Driving Top-Line Growth?,0.302583,Somewhat-Bullish,TEAM
2025-10-29 22:00:03,"Udemy, Inc.  ( UDMY )  Beats Q3 Earnings and Revenue Estimates",0.148406,Neutral,TEAM
2025-10-29 13:15:04,Unveiling Atlassian  ( TEAM )  Q1 Outlook: Wall Street Estimates for Key Metrics,0.166354,Somewhat-Bullish,TEAM
2025-10-28 17:46:00,ServiceNow vs. Figma: Which Enterprise Software Stock Leads Now?,0.37259,Bullish,TEAM
2025-10-27 14:55:00,Atlassian to Report Q1 Earnings: What's in Store for the Stock?,0.171697,Somewhat-Bullish,TEAM
2025-10-24 17:45:00,Figma Drops 56% Since Going Public: Hold or Fold the FIG Stock?,0.289674,Somewhat-Bullish,TEAM
2025-10-23 07:55:00,"2 Artificial Intelligence  ( AI )  Stocks to Buy Before They Soar 100%, According to Select Wall Street Analysts",0.277957,Somewhat-Bullish,TEAM
2025-10-22 13:22:27,LayerX Becomes First Enterprise Browser Security Platform to Support OpenAI's New Agentic Atlas Browser,0.191742,Somewhat-Bullish,TEAM
2025-10-19 07:44:00,"History Says the Nasdaq Will Soar in 2026: 2 Brilliant AI Stocks to Buy Now, According to Wall Street",0.358514,Bullish,TEAM
2025-10-16 14:00:00,Will Application Software Strength Continue to Drive Roper's Growth?,0.348291,Somewhat-Bullish,TEAM
2025-10-07 13:25:00,"The Zacks Analyst Blog Highlights Delta Airlines, Levi Strauss, Pfizer, Zoom Communications , Fresnillo and Kyocera",0.094975,Neutral,TEAM
2025-09-23 13:18:50,"This AvePoint Analyst Begins Coverage On A Bullish Note; Here Are Top 5 Initiations For Tuesday - Alexandria Real Estate  ( NYSE:ARE ) , AvePoint  ( NASDAQ:AVPT ) ",0.202855,Somewhat-Bullish,TEAM
2025-09-18 17:06:00,Will Oracle's Expanding Cloud Partnerships Fuel Long-Term Upside?,0.185802,Somewhat-Bullish,TEAM
2025-09-18 13:00:00,"At TiDB SCaiLE 2025, Global Data Leaders Share Growth Strategies for the AI Era",0.207967,Somewhat-Bullish,TEAM
2025-09-18 07:54:00,"History Says the Nasdaq Will Soar: 2 Artificial Intelligence  ( AI )  Stocks to Buy Now, According to Wall Street",0.305416,Somewhat-Bullish,TEAM
2025-09-16 16:23:00,"Figma Drops 29% in a Month: Buy, Sell or Hold the FIG Stock?",0.327275,Somewhat-Bullish,TEAM
2025-09-11 14:00:00,Figma Stock Lost More Than Half Its Value Since July. Time to Buy?,0.154709,Somewhat-Bullish,TEAM
2025-09-09 14:39:00,MNDY's Spending Surge Intensifies: Is Margin Expansion at Risk?,0.12368,Neutral,TEAM
2025-09-06 11:45:00,Atlassian Stock Investors Need to Watch This!,-0.443612,Bearish,TEAM
2025-09-05 13:30:00,"Near Its 52-Week Low, What's Going on With Atlassian Stock?",-0.194785,Somewhat-Bearish,TEAM
2025-09-05 13:03:00,"Guidewire Q4 Earnings & Revenues Surpass Estimates, Stock Surges",0.239945,Somewhat-Bullish,TEAM
2025-08-28 13:46:59,Okta  ( OKTA )  Q2 2026 Earnings Call Transcript,0.308618,Somewhat-Bullish,TEAM
2025-08-20 08:25:00,2 Artificial Intelligence  ( AI )  Growth Stocks Hovering Around 52-Week Lows Even as the Nasdaq Hits New Highs,0.184455,Somewhat-Bullish,TEAM
