time_published,title,sentiment_score,sentiment_label,ticker
2025-11-17 14:15:11,"Unlocking Tapestry  ( TPR )  International Revenues: Trends, Surprises, and Prospects",0.192391,Somewhat-Bullish,TPR
2025-11-14 13:19:00,"Europe Weakens, APAC Booms: Is Abercrombie's Global Mix an Advantage?",0.239808,Somewhat-Bullish,TPR
2025-11-14 13:13:00,Here's How Saucony & Merrell Are Driving Wolverine's Growth in 2025,0.458707,Bullish,TPR
2025-11-13 17:45:02,"Is Tapestry  ( TPR )  a Solid Growth Stock? 3 Reasons to Think ""Yes""",0.451436,Bullish,TPR
2025-11-12 17:21:03,"4 Stocks To Consider Buying As Luxury Spending Keeps Rising - Lvmh Moet Hennessy Louis  ( OTC:LVMUY ) , Hermes International  ( OTC:HESAY ) ",0.199945,Somewhat-Bullish,TPR
2025-11-11 17:18:00,"Tapestry's Coach Delivers Powerful Start to FY26, Eyes $10B Target",0.366946,Bullish,TPR
2025-11-11 13:10:00,5 Stocks to Buy Despite a Subdued Holiday Shopping Forecast This Year,0.383726,Bullish,TPR
2025-11-10 22:15:39,Here's How Much You Would Have Made Owning Tapestry Stock In The Last 10 Years - Tapestry  ( NYSE:TPR ) ,0.158543,Somewhat-Bullish,TPR
2025-11-07 19:15:20,"Take-Two Interactive Software To Rally Around 19%? Here Are 10 Top Analyst Forecasts For Friday - Choice Hotels Intl  ( NYSE:CHH ) , Shift4 Payments  ( NYSE:FOUR ) ",0.229341,Somewhat-Bullish,TPR
2025-11-07 16:33:00,TPR Stock Falls 10% Despite Q1 Earnings Beat & Raised FY26 Outlook,0.195495,Somewhat-Bullish,TPR
2025-11-07 14:45:03,Why Tapestry  ( TPR )  is a Top Growth Stock for the Long-Term,0.413975,Bullish,TPR
2025-11-07 13:39:00,Bet on These 5 Dividend Growth Stocks Amid Volatile Market,0.346444,Somewhat-Bullish,TPR
2025-11-06 16:14:00,Earnings Data Deluge,0.165589,Somewhat-Bullish,TPR
2025-11-06 15:36:00,Pre-Markets Improve on Big Earnings Morning,0.170227,Somewhat-Bullish,TPR
2025-11-06 15:31:11,"Tapestry Stock Falls Despite Q1 Earnings Beat, Raised FY26 Guidance - Tapestry  ( NYSE:TPR ) ",0.178767,Somewhat-Bullish,TPR
2025-11-06 12:55:03,Tapestry  ( TPR )  Q1 Earnings and Revenues Top Estimates,0.19788,Somewhat-Bullish,TPR
2025-11-05 17:29:00,Hanesbrands to Report Q3 Earnings: What Should Investors Expect?,0.203241,Somewhat-Bullish,TPR
2025-11-05 12:17:00,Nu Skin to Report Q3 Earnings: What's in the Cards for NUS Stock?,0.224785,Somewhat-Bullish,TPR
2025-11-04 18:20:00,Can Boot Barn's Digital Investments Drive Future Growth?,0.426267,Bullish,TPR
