time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 14:15:03,What Analyst Projections for Key Metrics Reveal About Workday  ( WDAY )  Q3 Earnings,0.169909,Somewhat-Bullish,WDAY
2025-11-19 13:20:05,What's Going On With Workday Stock Wednesday? - Workday  ( NASDAQ:WDAY ) ,0.137995,Neutral,WDAY
2025-11-18 17:51:00,"Sea Limited Misses Q3 Estimates: Buy, Sell or Hold the Stock?",0.411684,Bullish,WDAY
2025-11-17 17:04:17,"Workday Stock Is 'Undervalued,' Poised For Growth: Analyst - Workday  ( NASDAQ:WDAY ) ",0.405736,Bullish,WDAY
2025-11-13 14:45:04,Why Workday  ( WDAY )  is a Top Growth Stock for the Long-Term,0.418343,Bullish,WDAY
2025-11-12 12:11:00,NOW Raises '25 Subscription Sales Outlook: Buy or Hold the Stock?,0.187095,Somewhat-Bullish,WDAY
2025-11-11 13:41:00,ASTS Reports Wider-Than-Expected Q3 Loss Despite Top-Line Expansion,0.007254,Neutral,WDAY
2025-11-10 18:00:00,TDS Q3 Earnings Beat Estimates on Solid Fiber Connection Growth,0.03574,Neutral,WDAY
2025-11-10 17:51:00,"Viasat Q2 Earnings Surpass Estimates, Revenues Increase Y/Y",0.152758,Somewhat-Bullish,WDAY
2025-11-07 17:44:00,"Akamai Q3 Earnings Surpass Estimates, Revenues Increase Y/Y",0.22131,Somewhat-Bullish,WDAY
2025-11-07 16:07:00,"OLED's Q3 Earnings Miss Estimates, Revenues Decline Y/Y",0.12428,Neutral,WDAY
2025-11-07 15:51:00,"Cogent Q3 Loss Narrower Than Expected, Revenues Decline Y/Y",0.0,Neutral,WDAY
2025-11-07 15:48:00,"Altice Q3 Earnings Miss Estimates, Revenues Decline Y/Y",0.098501,Neutral,WDAY
2025-11-05 16:16:00,Pinterest Q3 Earnings Miss Estimates Despite Y/Y Revenue Growth,0.344515,Somewhat-Bullish,WDAY
2025-11-05 13:11:00,Viasat Set to Report Q2 Results: Will Top-Line Growth Boost Earnings?,0.237559,Somewhat-Bullish,WDAY
2025-11-04 18:15:00,"Sanmina Q4 Earnings Surpass Estimates, Revenues Rise Y/Y",0.324194,Somewhat-Bullish,WDAY
2025-11-04 17:49:00,Lattice's Q3 Earnings Meet Estimates on Higher Revenues,0.228793,Somewhat-Bullish,WDAY
