time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 14:47:00,"Should You Buy, Sell or Hold Zscaler Stock Before Q1 Earnings?",0.263555,Somewhat-Bullish,ZS
2025-11-20 13:00:00,Zscaler to Present at Upcoming Investor Conferences,0.126352,Neutral,ZS
2025-11-20 13:00:00,Zscaler to Present at Upcoming Investor Conferences - Zscaler  ( NASDAQ:ZS ) ,0.118312,Neutral,ZS
2025-11-19 22:25:02,Palo Alto Networks  ( PANW )  Q1 Earnings and Revenues Top Estimates,0.16609,Somewhat-Bullish,ZS
2025-11-18 20:00:00,Zscaler Is a Proud Partner In The Microsoft Entra Agent ID Partner Ecosystem - Zscaler  ( NASDAQ:ZS ) ,0.389738,Bullish,ZS
2025-11-18 20:00:00,Zscaler Is a Proud Partner In The Microsoft Entra Agent ID Partner Ecosystem,0.358828,Bullish,ZS
2025-11-17 22:45:06,Zscaler  ( ZS )  Declines More Than Market: Some Information for Investors,0.161419,Somewhat-Bullish,ZS
2025-11-17 12:51:09,"Zscaler, Palo Alto Networks And More On CNBC's 'Final Trades' - Palo Alto Networks  ( NASDAQ:PANW ) , Raymond James Finl  ( NYSE:RJF ) ",0.19794,Somewhat-Bullish,ZS
2025-11-14 15:03:39,"Kranot Hishtalmut Loads Up on CheckPoint Software Technologies Stock With Nearly 87,000 Shares",0.146077,Neutral,ZS
2025-11-14 14:00:03,"Zscaler, Inc.  ( ZS )  is Attracting Investor Attention: Here is What You Should Know",0.237783,Somewhat-Bullish,ZS
2025-11-13 13:54:00,"Should You Buy, Sell or Hold PANW Stock Before Q1 Earnings Release?",0.312624,Somewhat-Bullish,ZS
2025-11-12 13:25:00,CrowdStrike Stock Rises 29% in 3 Months: Time to Hold or Book Profits?,0.283299,Somewhat-Bullish,ZS
2025-11-11 15:08:00,Palo Alto Networks Rises 23% in 3 Months: How to Play the Stock,0.284732,Somewhat-Bullish,ZS
2025-11-10 22:45:03,Zscaler  ( ZS )  Exceeds Market Returns: Some Facts to Consider,0.268243,Somewhat-Bullish,ZS
2025-11-10 14:30:02,Brokers Suggest Investing in Zscaler  ( ZS ) : Read This Before Placing a Bet,0.297583,Somewhat-Bullish,ZS
2025-11-10 13:37:49,"Zscaler To Rally More Than 9%? Here Are 10 Top Analyst Forecasts For Monday - Genmab  ( NASDAQ:GMAB ) , HubSpot  ( NYSE:HUBS ) ",0.192838,Somewhat-Bullish,ZS
2025-11-10 13:01:03,Looking Into Zscaler Inc's Recent Short Interest - Zscaler  ( NASDAQ:ZS ) ,0.250562,Somewhat-Bullish,ZS
2025-11-06 19:02:51,IGEL Catalyses a New Era of EUC Transformation and Trusted Endpoint Security,0.427822,Bullish,ZS
2025-11-06 08:05:00,1 Small-Cap Growth Stock Down 52% to Buy on the Dip,0.212907,Somewhat-Bullish,ZS
2025-11-05 18:01:14,This Is What Whales Are Betting On Zscaler - Zscaler  ( NASDAQ:ZS ) ,0.141659,Neutral,ZS
2025-11-04 22:40:04,Qualys  ( QLYS )  Tops Q3 Earnings and Revenue Estimates,0.155004,Somewhat-Bullish,ZS
2025-11-03 22:45:05,Zscaler  ( ZS )  Outpaces Stock Market Gains: What You Should Know,0.200923,Somewhat-Bullish,ZS
