,time_published,title,sentiment_score,sentiment_label
0,2025-11-18 18:56:00,10 Years Later: 5 Lesser-Known Rule Breakers,0.192373,Somewhat-Bullish
1,2025-11-17 17:40:53,"Alphabet Rallies To Record Highs, Bitcoin Falters At $94,000 - NVIDIA  ( NASDAQ:NVDA ) ",0.079485,Neutral
2,2025-11-14 14:38:00,PayPal vs. Block: Which Fintech Stock is a Better Buy Right Now?,0.268303,Somewhat-Bullish
3,2025-11-13 18:03:44,SharpLink Gaming  ( SBET )  Q3 2025 Earnings Call Transcript - SharpLink Gaming  ( NASDAQ:SBET ) ,0.302887,Somewhat-Bullish
4,2025-11-13 17:33:10,DLocal  ( DLO )  Q3 2025 Earnings Call Transcript,0.243689,Somewhat-Bullish
5,2025-11-11 16:24:24,Crypto x AI? The Blockchain Projects Offering A Fix for AI's ills,0.031624,Neutral
6,2025-11-11 03:47:15,Gemini Shares Drop in After-Hours Trading as First Earnings Since IPO Reveal Rising Costs,-0.028596,Neutral
7,2025-11-10 12:20:00,"Exodus Movement, Inc. Announces Acquisition of Grateful To Strengthen Stablecoin-Based Payments",0.382409,Bullish
8,2025-11-10 12:20:00,"Exodus Movement, Inc. Announces Acquisition of Grateful To Strengthen Stablecoin-Based Payments - Exodus Movement  ( AMEX:EXOD ) ",0.369869,Bullish
9,2025-11-10 11:58:28,Low-Risk DeFi or TradFi Trojan Horse? The Fight For Crypto's Soul,0.039821,Neutral
10,2025-11-10 03:21:14,Trump Media posts $55M Q3 loss as Bitcoin bet reaches $1.3B,0.208899,Somewhat-Bullish
11,2025-11-06 16:43:19,Remitly  ( RELY )  Q3 2025 Earnings Call Transcript,0.328528,Somewhat-Bullish
12,2025-11-06 07:52:00,Big Tech Breaks the Bank for AI,0.144772,Neutral
13,2025-11-05 18:23:19,"Taylor Swift, Elon Musk, Donald Trump, MrBeast - Robinhood Just Made Their Mojo Tradable - Robinhood Markets  ( NASDAQ:HOOD ) ",0.2337,Somewhat-Bullish
14,2025-11-05 03:33:20,Gemini Moves Toward Prediction Markets in Bid to Broaden Its Business: Report,0.085739,Neutral
15,2025-11-04 09:01:32,"Amazon, Google Deals Boosted Cipher Mining's Credibility, Says CEO, But Admits 'Bias' Linked To Bitcoin Mining Background - Cipher Mining  ( NASDAQ:CIFR ) ",0.091623,Neutral
16,2025-11-03 21:53:00,"Datavault AI, Music Dash and NFHITS Partner to Transform Music Data Tracking Display and Monetization Through Patented Inaudible Tones®, AI and Blockchain Technology",0.345747,Somewhat-Bullish
17,2025-11-03 20:39:00,"Datavault AI, Music Dash and NFHITS Partner to Transform Music Data Tracking Display and Monetization Through Patented Inaudible Tones®, AI and Blockchain Technology",0.343645,Somewhat-Bullish
18,2025-11-03 13:45:00,"Exodus Movement, Inc. to Announce Third Quarter 2025 Results on November 10, 2025",0.303015,Somewhat-Bullish
19,2025-11-03 13:45:00,"Exodus Movement, Inc. to Announce Third Quarter 2025 Results on November 10, 2025",0.303015,Somewhat-Bullish
20,2025-11-03 13:45:00,"Exodus Movement, Inc. to Announce Third Quarter 2025 Results on November 10, 2025 - Exodus Movement  ( AMEX:EXOD ) ",0.266043,Somewhat-Bullish
21,2025-11-01 16:53:32,"No Limit Casino 2025: JACKBIT Leads as the No Limit Online Casino for High-Roller Players & 7,000+ Games",0.451436,Bullish
22,2025-11-01 08:30:00,Crypto sleeps while AI builds the richest data set monopolies,0.065235,Neutral
23,2025-10-31 17:50:00,PYPL Shares Fall 7% Despite Impressive Earnings: Is the Stock a Buy?,0.292132,Somewhat-Bullish
24,2025-10-31 16:48:00,BITF vs. RZLV: Which High-Risk Tech Stock Should You Bet On?,0.166702,Somewhat-Bullish
25,2025-10-31 16:07:19,Coinbase Q3 FY2025 Earnings Call Transcript - Coinbase Global  ( NASDAQ:COIN ) ,0.29047,Somewhat-Bullish
26,2025-10-31 12:01:54,Cloudflare  ( NET )  Q3 2025 Earnings Call Transcript,0.258903,Somewhat-Bullish
27,2025-10-31 05:06:32,Nordic bank that once shunned crypto to soon offer a Bitcoin ETP,0.131227,Neutral
28,2025-10-31 02:40:06,Coinbase CEO's bizarre final words on Q3 call just paid off a lucky few,0.181555,Somewhat-Bullish
29,2025-10-30 23:32:50,Coinbase adds $300M Bitcoin as it pushes 'Everything Exchange' vision,0.19579,Somewhat-Bullish
30,2025-10-30 17:08:15,Mastercard Q3 2025 Earnings Call Transcript - Mastercard  ( NYSE:MA ) ,0.321562,Somewhat-Bullish
31,2025-10-30 14:52:01,Mastercard Q3 2025 Earnings Call Transcript,0.302623,Somewhat-Bullish
32,2025-10-29 15:21:01,Bitcoin Miner TeraWulf Aims to Raise $575 Million to Fund Google-Backed AI Ambitions,0.06806,Neutral
