,time_published,title,sentiment_score,sentiment_label
0,2025-11-18 12:00:00,Tech Slumps Before NVIDIA Earnings: Any ETF Winners in Tech Space?,0.206053,Somewhat-Bullish
1,2025-11-18 11:53:57,Why Is Bitcoin struggling At $90K? Follow The $42B In Corporate Debt - Grayscale Bitcoin Mini Trust  ( BTC )  Common units of fractional undivided beneficial interest  ( ARCA:BTC ) ,-0.14353,Neutral
2,2025-11-18 09:39:25,Global stocks sell-off as AI valuation concerns persist ahead of Nvidia earnings,-0.031274,Neutral
3,2025-11-18 02:23:31,"Bitcoin, Ethereum, XRP, Dogecoin Plunge As 'Extreme Fear' Sentiment Intensifies: Despite 'Terrible' Market Environment, Analyst Says 'Not Selling' - Grayscale Bitcoin Mini Trust  ( BTC )  Common units of fractional undivided beneficial interest  ( ARCA:BTC ) ",-0.060821,Neutral
4,2025-11-18 01:13:03,"NVDA, DELL, COIN, GRRR, ACHR: 5 Trending Stocks Today - NVIDIA  ( NASDAQ:NVDA ) ",-0.083741,Neutral
5,2025-11-17 17:40:53,"Alphabet Rallies To Record Highs, Bitcoin Falters At $94,000 - NVIDIA  ( NASDAQ:NVDA ) ",0.079485,Neutral
6,2025-11-17 17:30:00,Bullish to Report Q3 Earnings: What's in Store for the Stock?,0.237834,Somewhat-Bullish
7,2025-11-17 09:45:00,Is CoreWeave the Next Must-Own Artificial Intelligence Stock After Nvidia?,0.173149,Somewhat-Bullish
8,2025-11-17 02:04:25,"Bitcoin, Ethereum, Dogecoin Dip, While XRP Ticks Up: Analyst Assumes BTC Will Test New Lows In Upcoming Week - Grayscale Bitcoin Mini Trust  ( BTC )  Common units of fractional undivided beneficial interest  ( ARCA:BTC ) ",0.054024,Neutral
9,2025-11-15 13:48:30,"SoFi Tech, Opendoor, Rivian- Investors Couldn't Stop Talking About These And More Stocks This Week - NVIDIA  ( NASDAQ:NVDA ) , BigBear.ai Hldgs  ( NYSE:BBAI ) ",0.210098,Somewhat-Bullish
10,2025-11-14 08:06:00,This Is the Smartest Stock to Buy to Take Advantage of the $15.7 Trillion Artificial Intelligence  ( AI )  Revolution  ( Hint: It's Not Nvidia or Palantir ) ,0.254231,Somewhat-Bullish
11,2025-11-13 22:15:00,Digi Power X Achieves Positive Net Earnings for Q3 2025 and Reports Strong Balance Sheet to Support 2026 AI Infrastructure Development Plan,0.218973,Somewhat-Bullish
12,2025-11-12 16:55:00,Grab 3 Bitcoin-Centric Stocks Before the Cryptocurrency's Next Rally,0.152436,Somewhat-Bullish
13,2025-11-12 15:23:00,Top Wide-Moat Stocks to Invest in for Long-Term Wealth and Stability,0.343074,Somewhat-Bullish
14,2025-11-12 14:27:00,HIVE Digital to Report Q2 Earnings: What's in Store for the Stock?,0.150437,Somewhat-Bullish
15,2025-11-11 17:43:32,Michael Burry's Latest Warning Could Be Bad News for CoreWeave,0.117689,Neutral
16,2025-11-10 22:17:23,Bitdeer shares drop 20% after posting $266M quarterly loss,-0.05691,Neutral
17,2025-11-10 20:19:10,Why Rumble Stock Rallied Today,0.345564,Somewhat-Bullish
18,2025-11-10 17:44:00,BitFuFu to Report Q3 Earnings: What's in Store for the Stock?,0.168159,Somewhat-Bullish
19,2025-11-10 08:06:00,"""Big Short"" Investor Michael Burry Just Placed a Big Wager Against Artificial Intelligence  ( AI )  Giants Nvidia and Palantir -- and History Is on His Side",0.186301,Somewhat-Bullish
20,2025-11-10 05:53:40,Rumble to Acquire AI Infrastructure Company Northern Data - Rumble  ( NASDAQ:RUM ) ,0.212313,Somewhat-Bullish
21,2025-11-10 05:53:00,Rumble to Acquire AI Infrastructure Company Northern Data,0.212431,Somewhat-Bullish
22,2025-11-08 15:02:43,"TSLA, PLTR, IREN And More: 5 Stocks That Dominated Investor Buzz This Week - IREN  ( NASDAQ:IREN ) , Advanced Micro Devices  ( NASDAQ:AMD ) ",0.155431,Somewhat-Bullish
23,2025-11-07 17:55:00,VRT vs. APLD: Which Data Center Infrastructure Stock Has More Upside?,0.307302,Somewhat-Bullish
24,2025-11-06 08:51:00,"Palantir Just Exposed Nvidia's Biggest Weakness, Which Should Be on Full Display on Nov. 19",0.13968,Neutral
25,2025-11-06 07:52:00,Big Tech Breaks the Bank for AI,0.144772,Neutral
26,2025-11-05 18:37:00,Microsoft Just Gave Investors 9.7 Billion Reasons to Buy This Monster Artificial Intelligence  ( AI )  Data Center Stock Hand Over Fist,0.19151,Somewhat-Bullish
27,2025-11-05 11:15:00,Where Will CoreWeave Stock Be in 5 Years?,0.153736,Somewhat-Bullish
28,2025-11-05 09:15:00,Is Rocket Lab Stock the Next Nvidia?,0.223357,Somewhat-Bullish
29,2025-11-03 15:14:00,Best-Performing ETFs of October,0.237583,Somewhat-Bullish
30,2025-11-03 09:00:00,1 AI Stock That Could Soar in November,0.27308,Somewhat-Bullish
