time_published,title,sentiment_score,sentiment_label,ticker
2025-10-17 20:43:00,"Shareholders that lost money on C3.ai, Inc. ( AI )  should contact Levi & Korsinsky about pending Class Action - AI - C3.ai  ( NYSE:AI ) ",0.002461,Neutral,AI
2025-10-09 20:25:00,"Shareholders of C3.ai, Inc. Should Contact Levi & Korsinsky Before October 21, 2025 to Discuss Your Rights - AI - C3.ai  ( NYSE:AI ) ",0.002461,Neutral,AI
2025-10-08 16:00:00,"Deadline Alert: C3.ai, Inc.  ( AI )  Shareholders Who Lost Money Urged To Contact Glancy Prongay & Murray LLP About Securities Fraud Lawsuit - C3.ai  ( NYSE:AI ) ",0.041227,Neutral,AI
2025-10-06 20:54:00,"Lost Money on C3.ai, Inc. ( AI ) ? Join Class Action Suit Seeking Recovery - Contact Levi & Korsinsky - C3.ai  ( NYSE:AI ) ",0.002461,Neutral,AI
2025-10-01 20:24:00,"Contact Levi & Korsinsky by October 21, 2025 Deadline to Join Class Action Against C3.ai, Inc. ( AI )  - C3.ai  ( NYSE:AI ) ",0.002461,Neutral,AI
2025-09-29 20:49:40,"Shareholders who lost money in shares of C3.ai, Inc.  ( NYSE: AI )  Should Contact Wolf Haldenstein Immediately - C3.ai  ( NYSE:AI ) ",0.083487,Neutral,AI
2025-09-22 19:54:00,"Levi & Korsinsky Announces the Filing of a Securities Class Action on Behalf of C3.ai, Inc. ( AI )  Shareholders - C3.ai  ( NYSE:AI ) ",0.002462,Neutral,AI
2025-09-15 19:38:00,"Shareholders who lost money in shares of C3.ai, Inc.  ( NYSE: AI )  Should Contact Wolf Haldenstein Immediately - C3.ai  ( NYSE:AI ) ",0.095575,Neutral,AI
2025-09-11 20:25:00,"Shareholders that lost money on C3.ai, Inc.  ( AI )  should contact Levi & Korsinsky about pending Class Action - AI - C3.ai  ( NYSE:AI ) ",0.009836,Neutral,AI
2025-09-11 18:54:30,"C3.ai, Inc. Investors: Please contact the Portnoy Law Firm to recover your losses. October 21, 2025 Deadline to file Lead Plaintiff Motion - C3.ai  ( NYSE:AI ) ",0.00737,Neutral,AI
2025-09-08 20:18:00,"Levi & Korsinsky Reminds Shareholders of a Lead Plaintiff Deadline of October 21, 2025 in C3.ai Lawsuit - AI - C3.ai  ( NYSE:AI ) ",0.009836,Neutral,AI
2025-09-07 20:00:00,"AI INVESTOR ALERT: Bronstein, Gewirtz & Grossman LLC Announces that C3.ai, Inc. Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit - C3.ai  ( NYSE:AI ) ",0.021908,Neutral,AI
2025-09-06 12:00:09,"Bulls And Bears: Alphabet, Broadcom, Lululemon - And Gold Rush Continues - Broadcom  ( NASDAQ:AVGO ) , C3.ai  ( NYSE:AI ) ",0.034137,Neutral,AI
2025-09-05 21:03:00,"Investors who lost money on C3.ai, Inc. ( AI )  should contact Levi & Korsinsky about pending Class Action - AI - C3.ai  ( NYSE:AI ) ",0.009836,Neutral,AI
2025-09-03 21:07:00,"ATTENTION NYSE: AI INVESTORS: Contact Berger Montague About a C3.ai, Inc. Class Action Lawsuit - C3.ai  ( NYSE:AI ) ",0.100341,Neutral,AI
