time_published,title,sentiment_score,sentiment_label,ticker
2025-11-13 19:44:09,Why Bloomin' Brands Stock Continues to Nosedive,0.05077,Neutral,BLMN
2025-11-06 16:07:58,Why Is Bloomin' Brands Stock Tumbling Thursday? - Bloomin Brands  ( NASDAQ:BLMN ) ,-0.023899,Neutral,BLMN
2025-11-06 12:40:02,"Bloomin' Brands  ( BLMN )  Reports Q3 Loss, Beats Revenue Estimates",0.116828,Neutral,BLMN
2025-11-05 21:15:00,"BJ's Restaurants, Inc. Announces Appointment of Chief Financial Officer",0.438421,Bullish,BLMN
2025-11-05 21:15:00,"BJ's Restaurants, Inc. Announces Appointment of Chief Financial Officer - BJ's Restaurants  ( NASDAQ:BJRI ) ",0.428402,Bullish,BLMN
2025-11-05 21:15:00,"BJ's Restaurants, Inc. Announces Appointment of Chief Financial Officer - BJ's Restaurants  ( NASDAQ:BJRI ) ",0.428402,Bullish,BLMN
2025-11-03 15:00:09,Red Robin  ( RRGB )  May Report Negative Earnings: Know the Trend Ahead of Next Week's Release,0.112349,Neutral,BLMN
2025-10-30 17:35:30,Chipotle Stock Is Crashing 15% Today. Should You Buy the Dip?,-0.304143,Somewhat-Bearish,BLMN
2025-10-30 14:00:33,Earnings Preview: Bloomin' Brands  ( BLMN )  Q3 Earnings Expected to Decline,0.126543,Neutral,BLMN
2025-10-24 11:47:08,"Wall Street's Most Accurate Analysts Spotlight On 3 Consumer Stocks With Over 6% Dividend Yields - Bloomin Brands  ( NASDAQ:BLMN ) , Oxford Industries  ( NYSE:OXM ) ",0.03522,Neutral,BLMN
2025-10-21 13:03:00,Bear of the Day: Bloomin' Brands  ( BLMN ) ,-0.051477,Neutral,BLMN
2025-10-21 10:22:00,Shopify and Bloomin' Brands have been highlighted as Zacks Bull and Bear of the Day,0.271306,Somewhat-Bullish,BLMN
2025-10-15 12:23:00,Innodata and Bloomin Brands have been highlighted as Zacks Bull and Bear of the Day,0.151782,Somewhat-Bullish,BLMN
2025-10-15 11:09:00,Bear Of The Day: Bloomin Brands  ( BLMN ) ,-0.09453,Neutral,BLMN
2025-10-10 11:34:01,"Wall Street's Most Accurate Analysts Spotlight On 3 Utilities Stocks Delivering High-Dividend Yields - Bloomin Brands  ( NASDAQ:BLMN ) , Designer Brands  ( NYSE:DBI ) ",0.033045,Neutral,BLMN
2025-10-06 08:00:00,Bear of the Day: Cracker Barrel  ( CBRL ) ,0.014585,Neutral,BLMN
2025-10-03 06:59:00,New Strong Sell Stocks for October 3rd,-0.068224,Neutral,BLMN
