time_published,title,sentiment_score,sentiment_label,ticker
2025-11-17 13:30:00,"Blink Charging Awarded Sourcewell Contract, Expanding Access to EV Charging Solutions for Public Sector Entities",0.228371,Somewhat-Bullish,BLNK
2025-11-07 01:20:01,"Blink Charging  ( BLNK )  Reports Q3 Loss, Lags Revenue Estimates",0.11246,Neutral,BLNK
2025-11-05 17:00:00,Blink Charging Streamlines Operations with Strategic Production Shift,0.19622,Somewhat-Bullish,BLNK
2025-11-04 18:00:59,"Blink Charging Expands In U.K., Launches Affordable EV Chargers - Blink Charging  ( NASDAQ:BLNK ) ",0.381887,Bullish,BLNK
2025-11-04 15:20:00,Blink Charging Teams with Karbon Homes to Offer Expanded EV Infrastructure,0.355614,Bullish,BLNK
2025-11-03 18:45:00,Blink Charging Launches Shasta: New Level 2 EV Chargers Designed for Fleet and Multifamily Markets,0.22546,Somewhat-Bullish,BLNK
2025-11-03 14:14:07,"Top Stocks With Earnings This Week: Joby, IonQ, AMD and More - Palantir Technologies  ( NASDAQ:PLTR ) ",0.11162,Neutral,BLNK
2025-10-30 18:45:00,"Blink Charging to Host Third Quarter Conference Call on Thursday, November 6, 2025",0.028184,Neutral,BLNK
2025-10-29 19:00:00,Blink Charging Teams with Miami World Tower to Install EV Chargers for Residents and Guests,0.182806,Somewhat-Bullish,BLNK
2025-10-27 22:15:02,Blink Charging  ( BLNK )  Stock Drops Despite Market Gains: Important Facts to Note,0.205092,Somewhat-Bullish,BLNK
2025-10-17 22:15:03,Blink Charging  ( BLNK )  Stock Falls Amid Market Uptick: What Investors Need to Know,0.217671,Somewhat-Bullish,BLNK
2025-10-16 10:38:00,New Strong Sell Stocks for Oct. 16th,-0.147148,Neutral,BLNK
2025-10-13 17:06:22,Blink Powers Ahead In UK EV Race With Bradford Rollout - Blink Charging  ( NASDAQ:BLNK ) ,0.16051,Somewhat-Bullish,BLNK
2025-10-13 14:30:00,"EV Charging App Market to Reach USD 137.77 Billion by 2031, Driven by Digital Mobility and Smart Energy Integration | Valuates Reports",0.439345,Bullish,BLNK
2025-10-13 12:30:00,Blink Charging UK Selected by Bradford Council to Support Expansion of Public EV Charging Infrastructure,0.341212,Somewhat-Bullish,BLNK
2025-10-08 12:30:00,Wakefield Council Selects Blink Charging UK to Support Development and Expansion of Public EV Charging Infrastructure,0.257406,Somewhat-Bullish,BLNK
2025-10-06 15:16:47,Why Blink Charging Shares Are Surging on Monday? - Blink Charging  ( NASDAQ:BLNK ) ,0.265004,Somewhat-Bullish,BLNK
2025-10-06 12:30:00,West Yorkshire Combined Authority Selects Blink Charging to Deliver £1.4 Million Electric Vehicle Charging Infrastructure Project,0.342936,Somewhat-Bullish,BLNK
2025-10-01 15:00:00,Blink Charging Awarded Contract to Develop EV Charging Infrastructure for City of Richmond,0.440875,Bullish,BLNK
2025-09-22 12:30:00,Hubject Teams with Blink Charging to Further Expand Intercharge Network Across North America,0.404278,Bullish,BLNK
2025-09-16 15:36:00,What's Going On With Blink Charging Stock Tuesday? - Blink Charging  ( NASDAQ:BLNK ) ,0.282803,Somewhat-Bullish,BLNK
2025-09-16 13:20:00,Blink Charging Achieves OCPP 2.0.1 Certification for EV Chargers,0.197583,Somewhat-Bullish,BLNK
2025-09-15 22:15:02,Blink Charging  ( BLNK )  Outperforms Broader Market: What You Need to Know,0.246315,Somewhat-Bullish,BLNK
2025-09-11 15:52:24,What's Going On With Blink Charging Stock Today? - Blink Charging  ( NASDAQ:BLNK ) ,0.258712,Somewhat-Bullish,BLNK
2025-09-11 12:30:00,Blink Charging Regains Compliance with Nasdaq Listing Requirements,0.077718,Neutral,BLNK
2025-09-08 14:00:00,"Blink Charging and City of Porterville, CA, Complete Major EV Charging Infrastructure Project",0.322084,Somewhat-Bullish,BLNK
2025-09-05 19:48:00,"Blink Charging President and CEO, Mike Battaglia, to Present at the H.C. Wainwright 27th Annual Global Investment Conference on Tuesday, September 9, 2025",0.168425,Somewhat-Bullish,BLNK
2025-09-04 14:45:00,Blink Charging to Accept Crypto Payment at EV Chargers,0.175397,Somewhat-Bullish,BLNK
2025-09-04 12:00:00,"Terra Innovatum Announces Post-Closing Board of Directors and Nominates Former Framatome CEO Katherine Williams as Chair - ChargePoint Hldgs  ( NYSE:CHPT ) , Blink Charging  ( NASDAQ:BLNK ) ",0.299228,Somewhat-Bullish,BLNK
2025-09-02 20:17:00,"Blink Charging to Host 'A New Era of Leadership & Innovation' Fireside Chat with CEO, CFO, and CTO on Thursday, September 4",0.06845,Neutral,BLNK
2025-08-21 15:12:50,What's Going On With Blink Charging Stock Today? - Blink Charging  ( NASDAQ:BLNK ) ,0.283054,Somewhat-Bullish,BLNK
2025-08-21 12:30:00,Blink and Presto Announce Strategic Collaboration to Provide Advanced Tools for EV Fleet Charging,0.356836,Bullish,BLNK
2025-08-18 21:35:01,"Blink Charging  ( BLNK )  Reports Q2 Loss, Tops Revenue Estimates",0.093957,Neutral,BLNK
2025-08-18 20:40:11,Blink Charging Reports 38 Percent Gain,0.155209,Somewhat-Bullish,BLNK
2025-08-18 20:23:58,Blink Charging Stock Sinks After Mixed Q2 Earnings Report - Blink Charging  ( NASDAQ:BLNK ) ,0.158759,Somewhat-Bullish,BLNK
2025-08-18 20:02:00,BLINK CHARGING ANNOUNCES SECOND QUARTER 2025 RESULTS,0.207333,Somewhat-Bullish,BLNK
2025-08-18 12:02:05,"Top Stocks With Earnings This Week: Baidu, XPeng And More - Palo Alto Networks  ( NASDAQ:PANW ) ",0.092994,Neutral,BLNK
2025-08-08 22:15:01,Blink Charging  ( BLNK )  Stock Drops Despite Market Gains: Important Facts to Note,0.184221,Somewhat-Bullish,BLNK
2025-08-06 12:40:00,Blink Charging Reschedules Release of Second Quarter 2025 Results and Conference Call to August 18,0.035269,Neutral,BLNK
2025-08-06 12:30:00,"Blink Charging and Envoy Reach Agreement, Releasing Blink from all Payment Obligations and Liability",0.274901,Somewhat-Bullish,BLNK
2025-08-04 12:30:00,Houston American Energy Corp. Appoints Martha J. Crawford to Board of Directors,0.373937,Bullish,BLNK
2025-07-31 22:15:02,Blink Charging  ( BLNK )  Sees a More Significant Dip Than Broader Market: Some Facts to Know,0.223309,Somewhat-Bullish,BLNK
2025-07-28 14:34:41,"Blink Charging, dfYOUNG Partner For Simplified EV Fleet Management - Blink Charging  ( NASDAQ:BLNK ) ",0.271506,Somewhat-Bullish,BLNK
2025-07-28 12:30:00,Blink Charging Teams with dfYOUNG to Offer Streamlined EV Charger and Fleet Management Services for Corporate Salesforce Customers,0.164532,Somewhat-Bullish,BLNK
2025-07-25 22:15:02,Blink Charging  ( BLNK )  Stock Sinks As Market Gains: Here's Why,0.204076,Somewhat-Bullish,BLNK
2025-07-24 13:20:00,"Blink Charging to Host Second Quarter Conference Call on Thursday, August 7, 2025",0.039932,Neutral,BLNK
2025-07-23 12:30:00,"Universal Media Teams with Blink Charging to Launch First ""EV Totem"" Installations in Salt Lake City",0.318705,Somewhat-Bullish,BLNK
2025-07-23 10:27:00,New Strong Sell Stocks for July 23rd,-0.063568,Neutral,BLNK
2025-07-21 15:20:21,What's Going On With Blink Charging Stock On Monday? - Blink Charging  ( NASDAQ:BLNK ) ,0.276481,Somewhat-Bullish,BLNK
2025-07-16 22:15:03,Blink Charging  ( BLNK )  Stock Sinks As Market Gains: What You Should Know,0.24124,Somewhat-Bullish,BLNK
