time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 03:20:00,"If You'd Invested $500 in Beyond Meat Stock 1 Year Ago, Here's How Much You'd Have Today",-0.023838,Neutral,BYND
2025-11-19 14:23:00,Thinking of Buying Beyond Meat Stock? These Are 3 Numbers You'll Want to Think About First,-0.079774,Neutral,BYND
2025-11-19 12:00:00,3 Things to Know About Beyond Meat Stock Before You Buy,0.004863,Neutral,BYND
2025-11-18 21:14:15,Beyond Meat  ( BYND )  Stock Tumbles 30% In 1 Month: What's Going On? - Beyond Meat  ( NASDAQ:BYND ) ,-0.009819,Neutral,BYND
2025-11-17 21:01:43,What's Going On With Beyond Meat Shares Monday? - Beyond Meat  ( NASDAQ:BYND ) ,-0.053747,Neutral,BYND
2025-11-15 09:15:00,Was Beyond Meat's Extraordinary 596% Rally the Result of a Short Squeeze?,0.13486,Neutral,BYND
2025-11-14 18:55:05,"INVESTIGATION ALERT: Edelson Lechtzin LLP Announces Investigation of Beyond Meat, Inc.  ( NASDAQ: BYND )  and Encourages Investors with Substantial Losses or Witnesses with Relevant Information to Contact the Firm - Beyond Meat  ( NASDAQ:BYND ) ",-0.041333,Neutral,BYND
2025-11-14 14:54:48,"Legence, Cidara Therapeutics, Avadel Pharmaceuticals, Omeros And Other Big Stocks Moving Higher On Friday - Beyond Meat  ( NASDAQ:BYND ) , Avadel Pharmaceuticals  ( NASDAQ:AVDL ) ",0.300006,Somewhat-Bullish,BYND
2025-11-13 13:33:00,"BYND ALERT: Did Beyond Meat, Inc. Mislead Investors? BFA Law Reminds Investors with Losses to Contact the Firm - Beyond Meat  ( NASDAQ:BYND ) ",0.215405,Somewhat-Bullish,BYND
2025-11-13 08:51:00,Beyond Meat: Dilution Is the Only Solution,0.118223,Neutral,BYND
2025-11-12 22:01:46,"Bragar Eagel & Squire, P.C. Is Investigating Regencell, Beyond Meat, Alvotech, and Camping World and Encourages Investors to Contact the Firm - Beyond Meat  ( NASDAQ:BYND ) , Alvotech  ( NASDAQ:ALVO ) ",0.01673,Neutral,BYND
2025-11-12 16:48:00,Beyond Meat Stock Falls 12% on Wider Q3 Loss & Weak Q4 Outlook,-0.00975,Neutral,BYND
2025-11-12 14:40:00,"BYND Investors Have Opportunity to Join Beyond Meat, Inc. Fraud Investigation with the Schall Law Firm - Beyond Meat  ( NASDAQ:BYND ) ",-0.072055,Neutral,BYND
2025-11-11 16:27:44,"Beyond Meat Stock Slides On Q3 Earnings Miss, Weak Q4 Outlook - Beyond Meat  ( NASDAQ:BYND ) ",-0.017155,Neutral,BYND
2025-11-11 16:06:00,Small Business Optimism for October Comes in Negative,0.097756,Neutral,BYND
2025-11-11 15:34:00,"Mixed Pre-Markets on Weaker Jobs & Hiring Data, More Q3 Earnings",0.086258,Neutral,BYND
2025-11-11 13:48:53,No Bottom in Sight for Beyond Meat's Crashing Sales,-0.190583,Somewhat-Bearish,BYND
2025-11-11 13:29:07,"Outset Medical, Gemini Space Station, CoreWeave And Other Big Stocks Moving Lower In Tuesday's Pre-Market Session - Beyond Meat  ( NASDAQ:BYND ) , Century Aluminum  ( NASDAQ:CENX ) ",-0.259814,Somewhat-Bearish,BYND
2025-11-10 23:50:01,"Beyond Meat  ( BYND )  Reports Q3 Loss, Tops Revenue Estimates",0.096356,Neutral,BYND
2025-11-10 23:09:00,Big Bounceback Trading Day for AI & Tech,0.2029,Somewhat-Bullish,BYND
2025-11-10 22:39:23,"Beyond Meat Q3: Shares Sink On Earnings, Guidance As CEO Touts 'Three Important Building Blocks' - Beyond Meat  ( NASDAQ:BYND ) ",-0.019147,Neutral,BYND
2025-11-10 22:38:00,Beyond Meat® Reports Third Quarter 2025 Financial Results,0.100879,Neutral,BYND
2025-11-10 13:45:02,Tyson Foods  ( TSN )  Beats Q4 Earnings Estimates,0.125866,Neutral,BYND
2025-11-10 13:38:37,"Top Stocks With Earnings This Week: Plug, Oklo, Circle And More - Rigetti Computing  ( NASDAQ:RGTI ) ",0.046858,Neutral,BYND
2025-11-09 12:30:00,3 Things I'm Learning From Beyond Meat's Roller-Coaster Ride,0.082756,Neutral,BYND
2025-11-09 12:07:00,"BYND INVESTIGATION REMINDER: Beyond Meat, Inc. Investors with Losses May have been Affected by Fraud - Contact BFA Law - Beyond Meat  ( NASDAQ:BYND ) ",0.228396,Somewhat-Bullish,BYND
2025-11-09 11:26:00,"Sinking 77%, Beyond Meat Stock Seems Like a Bad Buy",-0.281506,Somewhat-Bearish,BYND
2025-11-08 20:20:00,Is There a Future for Beyond Meat?,0.022455,Neutral,BYND
2025-11-08 11:18:00,"BYND SECURITIES ALERT: Beyond Meat, Inc. Investors with Losses Are Notified to Contact BFA Law About Its Pending Securities Class Action Investigation",0.240399,Somewhat-Bullish,BYND
2025-11-07 23:00:00,"Beyond Meat® to Report Third Quarter 2025 Financial Results on November 10, 2025 and Hold Conference Call on November 11, 2025",0.090224,Neutral,BYND
2025-11-07 23:00:00,"Beyond Meat® to Report Third Quarter 2025 Financial Results on November 10, 2025 and Hold Conference Call on November 11, 2025 - Beyond Meat  ( NASDAQ:BYND ) ",0.085419,Neutral,BYND
2025-11-06 20:00:00,Is Beyond Meat Stock Your Ticket to Becoming a Millionaire?,0.082099,Neutral,BYND
2025-11-06 15:47:19,"Beyond Meat  ( BYND )  Stock Reverses Course, But Weak Guidance Looms - Beyond Meat  ( NASDAQ:BYND ) ",0.068358,Neutral,BYND
2025-11-06 14:00:00,Prediction: Beyond Meat Stock Will Underperform for the Year Despite Its Recent 440% Rally,0.171236,Somewhat-Bullish,BYND
2025-11-06 01:02:00,Diamond Hands vs. Paper Hands: Beyond Meat Stock,0.063506,Neutral,BYND
2025-11-05 13:00:59,What Does the Market Think About Beyond Meat Inc? - Beyond Meat  ( NASDAQ:BYND ) ,0.252824,Somewhat-Bullish,BYND
2025-11-05 12:00:00,Why Sweetgreen Stock Lost 21% in October,-0.176288,Somewhat-Bearish,BYND
2025-11-05 11:55:00,Why Is Wall Street So Bearish on Beyond Meat? There's 1 Key Reason.,-0.245154,Somewhat-Bearish,BYND
2025-11-05 01:00:00,"Beyond Meat, Inc. INVESTIGATION: Kirby McInerney LLP Announces Investigation Into Potential Securities Fraud on behalf of Investors  ( BYND )  - Beyond Meat  ( NASDAQ:BYND ) ",0.138406,Neutral,BYND
2025-11-04 16:07:28,"EXCLUSIVE: October's 12 Most-Searched Tickers On Pro - Where Do Apple, Beyond Meat, Tesla Rank? - Apple  ( NASDAQ:AAPL ) , Advanced Micro Devices  ( NASDAQ:AMD ) ",0.171981,Somewhat-Bullish,BYND
2025-11-04 14:15:00,Beyond Meat® Teams Up With Hard Rock Cafe to Bring the Latest Beyond Burger® to Fans Nationwide - Beyond Meat  ( NASDAQ:BYND ) ,0.180069,Somewhat-Bullish,BYND
2025-11-04 12:27:58,Retail Favorite Beyond Meat Grilled As Momentum Gains Fizzle Out After Results Delay - Stock Slides - Beyond Meat  ( NASDAQ:BYND ) ,-0.027127,Neutral,BYND
2025-11-04 11:50:00,Why Beyond Meat Sank 12% in October,-0.100881,Neutral,BYND
2025-11-04 02:30:00,Where Will Beyond Meat Stock Be in 3 Years?,-0.073407,Neutral,BYND
2025-11-03 15:57:39,Why Is Beyond Meat Stock Down Monday? - Beyond Meat  ( NASDAQ:BYND ) ,0.016938,Neutral,BYND
2025-11-03 14:15:00,Beyond Meat® Introduces New Value Pack of Its Latest Beyond Beef® at Retailers Across Canada - Beyond Meat  ( NASDAQ:BYND ) ,0.178924,Somewhat-Bullish,BYND
2025-11-03 13:58:01,One-time meme stock Beyond Meat falls 8% after delaying financial results due to impairment charge,-0.071668,Neutral,BYND
2025-11-03 11:00:00,"Beyond Meat® Reschedules Reporting of Third Quarter 2025 Financial Results to November 11, 2025",0.092418,Neutral,BYND
2025-11-03 11:00:00,"Beyond Meat® Reschedules Reporting of Third Quarter 2025 Financial Results to November 11, 2025 - Beyond Meat  ( NASDAQ:BYND ) ",0.089996,Neutral,BYND
2025-11-03 10:40:00,Better Meme Trade: Beyond Meat vs. Dogecoin,0.093941,Neutral,BYND
