time_published,title,sentiment_score,sentiment_label,ticker
2025-11-12 21:15:00,Cal-Maine Foods to Participate in Stephens Annual Investment Conference,0.361474,Bullish,CALM
2025-11-12 21:15:00,Cal-Maine Foods to Participate in Stephens Annual Investment Conference - Cal-Maine Foods  ( NASDAQ:CALM ) ,0.333691,Somewhat-Bullish,CALM
2025-11-06 17:56:19,"5 Value Stocks To Consider As Markets Wobble - Fluor  ( NYSE:FLR ) , Ecopetrol  ( NYSE:EC ) ",0.229508,Somewhat-Bullish,CALM
2025-10-21 16:33:42,"Cal-Maine Foods'  ( CALM )  Chief Strategy Officer Bets on Rapid Recovery With a 2,800 Share Purchase",0.279089,Somewhat-Bullish,CALM
2025-10-13 16:00:54,How Do Investors Really Feel About Cal-Maine Foods Inc? - Cal-Maine Foods  ( NASDAQ:CALM ) ,0.278426,Somewhat-Bullish,CALM
2025-10-01 17:06:46,What's Going On With Cal-Maine Foods Stock Wednesday? - Cal-Maine Foods  ( NASDAQ:CALM ) ,0.356573,Bullish,CALM
2025-10-01 12:16:06,"Cal-Maine Foods Posts Downbeat Earnings, Joins Enanta Pharmaceuticals, AAR And Other Big Stocks Moving Lower In Wednesday's Pre-Market Session - Cal-Maine Foods  ( NASDAQ:CALM ) , AAR  ( NYSE:AIR ) ",-0.197501,Somewhat-Bearish,CALM
2025-10-01 10:00:00,Cal-Maine Foods Reports Strongest First Quarter in Company History,0.289809,Somewhat-Bullish,CALM
2025-10-01 07:13:12,Cal-Maine Foods Gears Up For Q1 Print; Here Are The Recent Forecast Changes From Wall Street's Most Accurate Analysts - Cal-Maine Foods  ( NASDAQ:CALM ) ,0.083624,Neutral,CALM
2025-09-11 19:00:38,Price Over Earnings Overview: Cal-Maine Foods - Cal-Maine Foods  ( NASDAQ:CALM ) ,0.088002,Neutral,CALM
2025-07-25 14:44:39,Cal-Maine Foods Beats Q4 EPS Estimates,0.198036,Somewhat-Bullish,CALM
2025-07-23 15:00:07,"GE Vernova Posts Better-Than-Expected Earnings, Joins Thermo Fisher Scientific, Lennox International, General Dynamics And Other Big Stocks Moving Higher On Wednesday - Arrowhead Pharma  ( NASDAQ:ARWR ) , Abivax  ( NASDAQ:ABVX ) ",0.369568,Bullish,CALM
2025-07-01 15:18:00,3 Agriculture - Products Stocks to Watch Despite Industry Concerns,0.244286,Somewhat-Bullish,CALM
