time_published,title,sentiment_score,sentiment_label,ticker
2025-11-18 13:00:00,Ginkgo Bioworks Partners on Illinois-Led Team to Develop Innovative New Treatments for Oral Health - Ginkgo Bioworks Holdings  ( NYSE:DNA ) ,0.20381,Somewhat-Bullish,DNA
2025-11-14 21:30:00,XWELL Reports Third Quarter 2025 Results,0.280695,Somewhat-Bullish,DNA
2025-11-07 19:31:54,"Ginkgo Bioworks Stock Plummets Following Q3 Estimates Miss, Reaffirms FY2025 Outlook Below Consensus - Ginkgo Bioworks Holdings  ( NYSE:DNA ) ",-0.054875,Neutral,DNA
2025-10-28 22:15:04,"Ginkgo Bioworks Holdings, Inc.  ( DNA )  Stock Dips While Market Gains: Key Facts",0.177701,Somewhat-Bullish,DNA
2025-10-22 22:15:02,"Ginkgo Bioworks Holdings, Inc.  ( DNA )  Suffers a Larger Drop Than the General Market: Key Insights",0.16625,Somewhat-Bullish,DNA
2025-10-16 22:15:03,"Ginkgo Bioworks Holdings, Inc.  ( DNA )  Dips More Than Broader Market: What You Should Know",0.174952,Somewhat-Bullish,DNA
2025-10-09 22:15:02,"Ginkgo Bioworks Holdings, Inc.  ( DNA )  Registers a Bigger Fall Than the Market: Important Facts to Note",0.215388,Somewhat-Bullish,DNA
2025-10-08 14:39:06,"Dell, Select Medical, Century Aluminum And Other Big Stocks Moving Higher On Wednesday - Century Aluminum  ( NASDAQ:CENX ) , Absci  ( NASDAQ:ABSI ) ",0.246086,Somewhat-Bullish,DNA
2025-10-03 22:15:03,"Ginkgo Bioworks Holdings, Inc.  ( DNA )  Outpaces Stock Market Gains: What You Should Know",0.22655,Somewhat-Bullish,DNA
2025-09-23 22:15:02,"Ginkgo Bioworks Holdings, Inc.  ( DNA )  Advances While Market Declines: Some Information for Investors",0.090329,Neutral,DNA
2025-08-21 12:24:39,"5 Healthcare Stocks On Fire This Week - Ginkgo Bioworks Holdings  ( NYSE:DNA ) , Sonoma Pharmaceuticals  ( NASDAQ:SNOA ) ",0.358286,Bullish,DNA
2025-08-14 20:30:00,XWELL Reports Second Quarter 2025 Results,0.249217,Somewhat-Bullish,DNA
2025-08-13 13:30:02,"Ginkgo Bioworks Holdings, Inc.  ( DNA )  Recently Broke Out Above the 50-Day Moving Average",0.403028,Bullish,DNA
2025-08-13 11:30:00,"[Latest] Global AI in Synthetic Biology Market Size/Share Worth USD 192.95 Billion by 2034 at a 28.63% CAGR: Custom Market Insights  ( Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth Rate, Value, SWOT Analysis ) ",0.26963,Somewhat-Bullish,DNA
2025-07-30 13:01:00,Ginkgo to Deploy Modular Automation Technology to the Environmental Molecular Sciences Laboratory  ( EMSL )  at Pacific Northwest National Labs  ( PNNL )  to Accelerate Microbial Research for the Bioeconomy - Ginkgo Bioworks Holdings  ( NYSE:DNA ) ,0.263911,Somewhat-Bullish,DNA
2025-07-25 22:15:02,"Ginkgo Bioworks Holdings, Inc.  ( DNA )  Stock Falls Amid Market Uptick: What Investors Need to Know",0.254265,Somewhat-Bullish,DNA
2025-07-16 22:15:04,"Ginkgo Bioworks Holdings, Inc.  ( DNA )  Outperforms Broader Market: What You Need to Know",0.287245,Somewhat-Bullish,DNA
2025-07-10 22:15:04,"Ginkgo Bioworks Holdings, Inc.  ( DNA )  Stock Sinks As Market Gains: Here's Why",0.266242,Somewhat-Bullish,DNA
2025-07-01 10:53:00,Ginkgo Bioworks  ( DNA )  Soars 18.9%: Is Further Upside Left in the Stock?,0.191623,Somewhat-Bullish,DNA
